section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why,raw_canonical,family_canonical_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_exact_straight,is_vtrac_boxed
Midday,Set1,Draw2,4,33466,boxed,17.5,"R4,R8",False,False,False,False,False,False,False,False,False,1,2,0,4,66334,1,24,True,4,4,1,0.0,1,0,0,1,0,0.0,2,0.5,0,0,4,1,5,0,False,boxed|cov2|hp_repeat4|hot1|perm2|hidden3v|draw_chain5,33466,689,202,968,False,False,True
Midday,Set1,Draw2,3,33466,boxed,17.5,"R4,R8",False,False,False,False,False,False,False,False,False,1,2,0,4,66334,1,24,True,4,4,1,0.0,1,0,0,1,0,0.0,2,0.5,0,0,4,1,5,0,False,boxed|cov2|hp_repeat4|hot1|perm2|hidden3v|draw_chain5,33466,689,202,968,False,False,True
Midday,Set1,Draw2,3,3346,straight,17.5,R4,False,False,False,False,False,False,False,False,False,1,1,0,4,6334,1,24,True,2,4,0,0.0,3,0,0,1,0,0.0,1,0.5,2,0,4,1,5,0,False,straight|cov1|hp_repeat4|hot1|hidden3v|vtrac_straight|draw_chain5,3346,689,202,968,False,False,True
Midday,Set1,Draw2,5,3466,straight,17.5,R8,False,False,False,False,False,False,False,False,False,0,1,0,5,3664,1,24,True,2,5,0,0.0,3,0,0,0,0,0.0,1,0.5,0,0,6,1,7,0,False,straight|cov1|hp_repeat5|hidden3v|draw_chain7,3466,689,202,968,False,False,True
Midday,Set1,Draw4,3,3466,straight,17.5,R8,False,False,False,False,False,False,False,False,False,0,1,0,3,3664,1,24,True,2,3,0,0.0,3,0,0,0,0,0.0,1,0.5,2,0,6,1,7,0,False,straight|cov1|hp_repeat3|hidden3v|vtrac_straight|draw_chain7,3466,689,202,968,False,False,True
Midday,Set1,Draw5,1,34466,boxed,17.5,"R4,R8",False,False,False,False,False,False,False,False,False,2,2,0,3,66344,1,24,True,4,3,1,0.0,1,0,0,4,0,0.0,2,0.5,0,0,2,1,3,0,False,boxed|cov2|hp_repeat3|hot2|perm2|hidden3v|draw_chain3,34466,689,202,968,False,False,True
Midday,Set1,Draw5,3,3466,straight,17.5,R8,False,False,False,False,False,False,False,False,False,0,1,0,3,3664,1,24,True,2,3,0,0.0,3,0,0,0,0,0.0,1,0.5,2,0,6,1,7,0,False,straight|cov1|hp_repeat3|hidden3v|vtrac_straight|draw_chain7,3466,689,202,968,False,False,True
Midday,Set1,Draw5,2,3446699,straight,17.5,R8,True,False,False,False,False,False,False,False,False,2,1,0,2,9936644,1,24,True,2,2,0,0.0,3,0,0,2,1,0.0,4,0.5,2,0,1,1,2,0,False,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2,3446699,689,202,968,False,False,True
Midday,Set1,Draw6,1,3466,boxed,17.5,"R4,R8",False,False,False,False,False,False,False,False,False,1,2,0,2,6634,1,24,True,4,2,1,0.0,1,0,0,2,0,0.0,1,0.5,0,0,6,1,7,0,False,boxed|cov2|hp_repeat2|hot1|perm2|hidden3v|draw_chain7,3466,689,202,968,False,False,True
Evening,Set1,Draw2,4,577,straight,17.0,R6,False,False,False,False,False,False,False,False,False,1,1,0,4,775,1,10,False,2,4,0,0.0,3,0,0,1,0,0.0,0,0.0,0,0,6,1,7,1,True,straight|cov1|hp_repeat4|hot1|double_mirror|draw_chain7,577,022,202,968,False,False,True
