section,set_name,draw_name,column_index,triad,vt_triad,vertical_support,horizontal_span,set_span,variant_echo,has_straight,has_vt_straight,vt_only_lane,col1_arrival,precol1_funnel,ls_col_42,ls2_lane,is_starred,star_count,is_superhot_slot,is_set1,guard_injected,score,reasons
Combined,Set1,Draw1,3,238,344,2,5,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,239,345,2,6,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,245,135,2,7,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,338,44,2,5,2,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,339,45,2,6,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,345,145,2,7,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,358,144,2,5,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,359,145,2,6,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,378,344,2,5,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,389,445,2,5,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,458,145,2,5,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,478,345,2,6,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,488,45,2,6,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,459,155,2,6,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,489,455,2,6,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,589,145,2,5,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,234,345,2,7,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,249,355,2,6,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,479,355,2,6,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,248,345,2,5,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,289,345,2,5,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,379,345,2,5,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,037,134,2,4,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,3,258,134,2,4,3,3,0,1,1,0,1,0,1,1,20,0,1,0,27.4,hot20|vertical2|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Evening,Set1,Draw2,3,259,135,1,4,3,3,1,1,0,0,1,0,1,1,16,0,1,0,27.1,hot16|literal_draw|vertical1|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw2,2,033,14,4,6,3,3,1,1,0,0,1,1,0,1,16,1,1,0,26.95,hot16|superhot_set1|vertical4|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw2,2,016,122,4,5,3,3,1,1,0,0,1,1,0,1,16,1,1,0,26.95,hot16|superhot_set1|vertical4|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw2,2,013,124,4,5,3,3,1,1,0,0,1,1,0,1,16,1,1,0,26.95,hot16|superhot_set1|vertical4|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw3,2,226,23,4,6,3,3,1,1,0,0,1,1,0,1,12,1,1,0,26.95,hot12|superhot_set1|literal_draw|vertical4|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw3,1,334,45,3,3,3,3,1,1,0,1,0,0,1,1,12,1,1,0,26.85,hot12|superhot_set1|literal_draw|vertical3|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Evening,Set3,Draw1,2,666,2,3,1,3,2,1,1,0,0,1,1,0,1,16,0,0,0,26.85,hot16|literal_draw|vertical3|funnel_precol1|ls_col_42|vt_straight|straight_lane
