results_date,state_key,variant,top_event,priority,watchlist_tags,candidate_alert_ids,promoter_alert_ids,a11_star_level_max,a11_star_score_max,a12_pack_sizes,min_implied_set_size,min_cap_lines,strength_max,decay_min,decay_max,merged_rows_total,merged_hits,merged_any_hit_within_decay,merged_hit_types,merged_any_hit_types
2026-01-01,Michigan4,Combined,ENGINE_GOV,85,ENGINE_GOV,"A01,A04,A11",A03,2,36.550,,3,8,5,2,3,2,0,N,,
2026-01-01,Connecticut4,Combined,STRAIGHT_GATE,80,STRAIGHT_GATE|CLAMP_4|CLAMP_ANY,"A02,A06,A10,A11,A12",,2,35.950,4,3,3,5,2,3,4,0,N,,
2026-01-01,Ohio4,Combined,STRAIGHT_GATE,80,STRAIGHT_GATE,"A02,A05,A11",,2,35.450,,3,3,5,2,2,1,0,N,,
2026-01-01,NorthCarolina4,Midday,CARRY_PERM,70,CARRY_PERM,"A04,A05",,0,0.000,,3,3,4,2,3,2,0,N,,
2026-01-01,Pennsylvania4,Midday,CARRY_PERM,70,CARRY_PERM|CLAMP_4|CLAMP_ANY,"A04,A05,A12",,0,0.000,4,3,3,4,2,3,3,0,N,,
2026-01-01,SouthCarolina4,Midday,CARRY_PERM,70,CARRY_PERM|CLAMP_4|CLAMP_ANY,"A04,A05,A12",A08,0,0.000,4,3,0,4,2,3,3,0,N,,
2026-01-01,PuertoRico4,Evening,IDX_ECHO_CLAMP,65,IDX_ECHO_CLAMP|IDX_ECHO_BASE,"A01,A05,A09",,0,0.000,,3,3,4,1,3,3,0,N,,
2026-01-01,Indiana4,Combined,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A05,A12",,0,0.000,4,3,3,4,2,2,2,0,N,,
2026-01-01,Florida4,Combined,CLAMP_4,25,CLAMP_4|CLAMP_ANY,A12,A08,0,0.000,4,4,0,3,2,2,1,0,N,,
2026-01-01,Michigan4,Midday,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A01,A12",A08,0,0.000,4,4,0,4,2,3,2,0,N,,
