State,StateKey,Variant,BA-Score,Status,Triggers,#Candidates,Examples,Winner Midday,Winner Evening,Midday Hits,Evening Hits
North Carolina,NorthCarolina4,Evening,4,ALERT,"Mirror, Root 7, SSS/TTT, Float 24, Pairs 0",12,025 034 124,416,053,-,-
North Carolina,NorthCarolina4,Combined,3,ALERT,"Mirror, SSS/TTT, Float 23, Pairs 0",12,012 013 023,416,053,-,"Boxed, VTRAC"
New York,NewYork4,Midday,3,ALERT,"Mirror, SSS/TTT, Float 67, Pairs 0",12,016 027 056,117,174,VTRAC,-
New York,NewYork4,Evening,3,ALERT,"Mirror, Root 7, Float 478, Pairs 1",12,349 358 016,117,174,-,VTRAC
Florida,Florida4,Combined,2,WATCH,"Root 5, Float 569, Pairs 0",12,059 068 149,195,291,VTRAC,-
New York,NewYork4,Combined,2,WATCH,"Mirror, Float 78, Pairs 0",12,027 038 057,117,174,VTRAC,-
Ontario,OntarioCanada4,Combined,2,WATCH,"Root 1, Float 56, Pairs 0",12,046 136 145,528,546,VTRAC,VTRAC
Connecticut,Connecticut4,Midday,2,WATCH,"Root 3, Float 78, Pairs 0",12,048 057 138,228,109,VTRAC,-
Michigan,Michigan4,Midday,2,WATCH,"Mirror, Float 69, Pairs 0",12,016 049 056,032,204,-,-
Ohio,Ohio4,Midday,2,WATCH,"Root 8, Float 245, Pairs 0",12,026 035 125,746,416,"Boxed, VTRAC, VTRAC",-
South Carolina,SouthCarolina4,Midday,2,WATCH,"Root 8, Float 089, Pairs 0",12,017 026 035,910,821,-,-
Virginia,Virginia4,Midday,2,WATCH,"Root 3, Float 137, Pairs 0",12,012 039 057,019,354,-,-
Connecticut,Connecticut4,Combined,1,OFF,"Mirror, Pairs 0",12,038 058 138,228,109,VTRAC,-
Delaware,Delaware4,Combined,1,OFF,"Float 149, Pairs 1",12,012 013 014,149,937,-,-
Indiana,Indiana4,Combined,1,OFF,"Root 1, Pairs 0",12,037 127 379,474,909,-,-
New Jersey,NewJersey4,Combined,1,OFF,"Float 079, Pairs 0",12,012 013 014,770,504,-,-
Pennsylvania,Pennsylvania4,Combined,1,OFF,"Float 59, Pairs 0",12,015 019 025,322,328,-,-
South Carolina,SouthCarolina4,Combined,1,OFF,"Float 128, Pairs 0",12,012 013 014,910,821,"Boxed, VTRAC, VTRAC",-
Virginia,Virginia4,Combined,1,OFF,"Float 2457, Pairs 0",12,012 014 015,019,354,VTRAC,VTRAC
Delaware,Delaware4,Midday,1,OFF,"Float 14, Pairs 0",12,012 013 014,149,937,-,-
Florida,Florida4,Midday,1,OFF,"Float 168, Pairs 1",12,012 013 014,195,291,VTRAC,-
Indiana,Indiana4,Midday,1,OFF,"Float 67, Pairs 1",12,016 017 026,474,909,-,-
North Carolina,NorthCarolina4,Midday,1,OFF,"Float 0123, Pairs 1",12,012 013 014,416,053,-,-
Ontario,OntarioCanada4,Midday,1,OFF,"Float 257, Pairs 0",12,012 015 017,528,546,VTRAC,-
Pennsylvania,Pennsylvania4,Midday,1,OFF,"SSS/TTT, Pairs 0",12,567 578 579,322,328,-,-
Connecticut,Connecticut4,Evening,1,OFF,"Mirror, Pairs 0",12,015 016 025,228,109,-,-
Delaware,Delaware4,Evening,1,OFF,"Float 149, Pairs 0",12,012 013 014,149,937,-,-
Florida,Florida4,Evening,1,OFF,"Float 46, Pairs 2",12,014 016 024,195,291,-,-
Indiana,Indiana4,Evening,1,OFF,"Float 47, Pairs 0",12,014 017 024,474,909,-,VTRAC
Michigan,Michigan4,Evening,1,OFF,"Float 35, Pairs 0",12,013 015 023,032,204,-,-
New Jersey,NewJersey4,Evening,1,OFF,"Float 279, Pairs 0",12,012 017 019,770,504,-,-
Ohio,Ohio4,Evening,1,OFF,"Float 058, Pairs 0",12,012 013 014,746,416,-,-
Ontario,OntarioCanada4,Evening,1,OFF,"Float 158, Pairs 0",12,012 013 014,528,546,-,VTRAC
Pennsylvania,Pennsylvania4,Evening,1,OFF,"Float 89, Pairs 0",12,018 019 028,322,328,-,-
Puerto Rico,PuertoRico4,Evening,1,OFF,"Root 3, Pairs 0",12,012 039 048,-,-,-,-
South Carolina,SouthCarolina4,Evening,1,OFF,"Root 9, Pairs 0",12,018 126 135,910,821,-,-
Virginia,Virginia4,Evening,1,OFF,"Float 27, Pairs 0",12,012 017 023,019,354,-,-
Michigan,Michigan4,Combined,0,OFF,Pairs 0,0,-,032,204,-,-
Ohio,Ohio4,Combined,0,OFF,Pairs 0,12,015 025 035,746,416,-,-
Puerto Rico,PuertoRico4,Combined,0,OFF,Pairs 1,12,012 023 024,-,-,-,-
New Jersey,NewJersey4,Midday,0,OFF,Pairs 0,12,019 029 039,770,504,-,-
Puerto Rico,PuertoRico4,Midday,0,OFF,Pairs 1,0,-,-,-,-,-
