section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Midday,03368,8.0,30.5,22.0,1,2,1,False,1,2,1,0,0,1,0,5,boxed|cov4|hp_repeat4|mirror|hot2|perm4|draw_chain2;boxed|cov4|hp_repeat4|mirror|hot1|perm4|draw_chain2,draw_chain2|col1x1|hot1x1|hot2x2|vstrx1
Midday,01133,8.0,30.5,18.0,1,3,0,False,1,2,3,0,0,6,0,6,straight|cov1|hp_repeat3|hot2|vtrac_straight|draw_chain3;straight|cov1|hp_repeat3|hot2|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx6
Midday,1688,18.0,30.5,18.0,1,3,0,False,1,2,3,0,0,6,0,6,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|draw_chain3;straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx6
Midday,01188,8.0,30.5,18.0,1,3,0,False,1,2,3,0,0,6,0,6,straight|cov1|hp_repeat3|hot2|vtrac_straight|draw_chain3;straight|cov1|hp_repeat3|hot2|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx6
Midday,233,29.0,30.5,16.5,1,5,0,False,2,0,2,0,0,6,9,9,straight|cov1|hp_repeat3|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain5;straight|cov1|hp_repeat2|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain5,draw_chain5|col1x2|hot1x2|vstrx6|dblmirrorx9
Midday,113889,24.0,30.0,19.5,1,2,0,False,1,2,2,0,0,5,0,5,straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain2|col1x2|hot1x1|hot2x2|vstrx5
Midday,133889,24.0,30.0,19.5,1,2,0,False,1,2,2,0,0,5,0,5,straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain2|col1x2|hot1x1|hot2x2|vstrx5
Midday,03349,14.0,30.0,17.0,1,2,0,False,0,4,2,0,0,4,0,4,straight|cov1|hp_repeat2|mirror|hot2|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|mirror|hot2|vtrac_straight|draw_chain2,draw_chain2|col1x2|hot2x4|vstrx4
Midday,11334,24.0,29.5,17.5,1,3,0,False,1,2,3,0,0,5,0,5,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx5
Midday,1133,18.0,29.5,17.0,1,3,0,False,1,2,3,0,0,6,0,6,straight|cov1|hp_repeat3|hot2|vtrac_straight|draw_chain3;straight|cov1|hp_repeat3|hot2|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx6
Midday,1188,18.0,29.5,17.0,1,3,0,False,1,2,3,0,0,6,0,6,straight|cov1|hp_repeat3|hot2|vtrac_straight|draw_chain3;straight|cov1|hp_repeat3|hot2|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx6
Midday,344,34.0,29.5,16.5,1,4,0,True,3,0,0,0,0,4,10,10,straight|cov1|hp_repeat4|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain4;straight|cov1|hp_repeat3|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain4,draw_chain4|hot1x3|vstrx4|dblmirrorx10
Midday,0149,9.0,29.5,16.5,1,2,0,False,0,4,2,0,0,4,0,4,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain2|col1x2|hot2x4|vstrx4
Midday,3349,33.0,29.5,16.5,1,2,0,False,0,4,2,0,0,4,0,4,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain2|col1x2|hot2x4|vstrx4
Midday,13889,24.0,29.0,18.5,1,2,0,False,1,2,2,0,0,5,0,5,straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain2|col1x2|hot1x1|hot2x2|vstrx5
Midday,023,11.0,29.0,17.0,3,2,0,True,5,0,0,0,0,2,0,9,straight|cov1|hp_repeat5|hot1|vtrac_straight|set_chain3;straight|cov1|hp_repeat5|hot1|set_chain3,set_chain3|draw_chain2|hot1x5|vstrx2
Midday,044,15.0,29.0,16.0,1,4,0,True,3,0,0,0,0,4,10,10,straight|cov1|hp_repeat4|hot1|double_mirror|vtrac_straight|draw_chain4;straight|cov1|hp_repeat3|hot1|double_mirror|vtrac_straight|draw_chain4,draw_chain4|hot1x3|vstrx4|dblmirrorx10
Midday,1134,24.0,28.5,16.5,1,3,0,False,1,2,3,0,0,5,0,5,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx5
Midday,249,31.0,28.0,18.0,1,7,0,False,2,0,2,0,0,5,0,9,straight|cov1|hp_repeat2|mirror|hot1|vtrac_straight|draw_chain7;straight|cov1|hp_repeat2|mirror|vtrac_straight|draw_chain7,draw_chain7|col1x2|hot1x2|vstrx5
Midday,11889,24.0,28.0,17.5,1,2,0,False,1,2,2,0,0,5,0,5,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain2|col1x2|hot1x1|hot2x2|vstrx5
Midday,0368,8.0,28.0,17.0,2,3,1,False,1,2,1,0,0,1,0,7,boxed|cov2|hp_repeat4|mirror|hot2|perm2|set_chain2|draw_chain2;straight|cov1|mirror|hot2|vtrac_straight|set_chain2|draw_chain2,set_chain2|draw_chain3|col1x1|hot1x1|hot2x2|vstrx1
Midday,049,15.0,28.0,15.0,1,2,0,False,0,4,2,0,0,4,0,4,straight|cov1|hp_repeat2|mirror|hot2|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|mirror|hot2|vtrac_straight|draw_chain2,draw_chain2|col1x2|hot2x4|vstrx4
Midday,266,17.0,27.5,16.0,3,3,0,True,0,0,0,0,0,3,7,7,straight|cov1|hp_repeat2|double_mirror|vtrac_straight|set_chain3|draw_chain3;straight|cov1|double_mirror|vtrac_straight|set_chain3|draw_chain3,set_chain3|draw_chain3|vstrx3|dblmirrorx7
Midday,3346,24.0,27.5,15.5,1,3,1,False,0,3,2,0,0,3,0,3,straight|cov1|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov1|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|col1x2|hot2x3|vstrx3
Midday,33689,24.0,27.0,19.5,1,2,0,False,0,2,1,0,0,3,0,5,straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain2|col1x1|hot2x2|vstrx3
Midday,033688,8.0,27.0,18.0,1,3,0,False,1,1,3,0,0,3,0,3,straight|cov1|mirror|hot2|vtrac_straight|draw_chain3;straight|cov1|mirror|hot1|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x1|vstrx3
Midday,3688,23.0,27.0,17.5,1,3,0,False,1,2,3,0,0,0,0,6,boxed|cov2|hp_repeat3|mirror|hot2|perm2|hidden3v|draw_chain3;boxed|cov2|hp_repeat3|mirror|hot2|perm2|hidden3v|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2
Midday,0119,9.0,27.0,16.5,1,3,0,False,1,2,3,0,0,2,0,6,boxed|cov2|hp_repeat3|hot2|perm2|hidden3v|draw_chain3;boxed|cov2|hp_repeat3|hot2|perm2|hidden3v|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx2
Midday,1189,24.0,27.0,16.5,1,2,0,False,1,2,2,0,0,5,0,5,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain2|col1x2|hot1x1|hot2x2|vstrx5
Midday,1889,24.0,27.0,16.5,1,2,0,False,1,2,2,0,0,5,0,5,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain2|col1x2|hot1x1|hot2x2|vstrx5
Midday,33668,23.0,26.5,19.5,1,3,0,False,0,2,0,0,0,3,0,6,boxed|cov3|hp_repeat3|mirror|hot2|perm3|hidden3v|draw_chain3;boxed|cov3|hp_repeat3|mirror|perm3|hidden3v|draw_chain3,draw_chain3|hot2x2|vstrx3
Midday,133689,24.0,26.5,19.5,1,1,0,False,0,2,1,0,0,3,0,4,straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight;straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight,draw_chain1|col1x1|hot2x2|vstrx3
Midday,03668,8.0,26.5,19.0,3,1,0,False,0,1,0,0,0,2,0,5,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|set_chain3;straight|cov1|hp_repeat3|mirror|vtrac_straight|set_chain3,set_chain3|draw_chain1|hot2x1|vstrx2
Midday,013,8.0,26.5,17.0,2,2,0,False,0,2,1,0,0,3,0,6,straight|cov1|hp_repeat4|hot2|vtrac_straight|set_chain2;straight|cov1|hp_repeat4|hot2|vtrac_straight|set_chain2,set_chain2|draw_chain2|col1x1|hot2x2|vstrx3
Midday,013368,8.0,26.0,19.0,1,1,0,False,0,2,1,0,0,3,0,4,straight|cov1|hp_repeat4|mirror|hot2|vtrac_straight;straight|cov1|hp_repeat4|mirror|hot2|vtrac_straight,draw_chain1|col1x1|hot2x2|vstrx3
Midday,3389,33.0,26.0,18.5,1,2,0,False,0,2,1,0,0,3,0,5,straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain2|col1x1|hot2x2|vstrx3
Midday,23349,30.0,26.0,18.0,1,5,0,False,1,0,2,0,0,5,0,7,straight|cov1|hp_repeat2|mirror|hot1|vtrac_straight|draw_chain5;straight|cov1|hp_repeat2|mirror|vtrac_straight|draw_chain5,draw_chain5|col1x2|hot1x1|vstrx5
Midday,018,8.0,26.0,17.0,2,1,0,False,0,2,1,0,0,3,0,5,straight|cov1|hp_repeat4|hot2|vtrac_straight|set_chain2;straight|cov1|hp_repeat4|hot2|vtrac_straight|set_chain2,set_chain2|draw_chain1|col1x1|hot2x2|vstrx3
Midday,03688,8.0,26.0,17.0,1,3,0,False,1,1,3,0,0,3,0,3,straight|cov1|mirror|hot2|vtrac_straight|draw_chain3;straight|cov1|mirror|hot1|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x1|vstrx3
Midday,226,20.0,26.0,15.0,3,2,0,False,1,0,0,0,0,0,10,10,straight|cov1|hp_repeat4|hot1|double_mirror|set_chain3;straight|cov1|hp_repeat4|double_mirror|set_chain3,set_chain3|draw_chain2|hot1x1|dblmirrorx10
Midday,599,15.0,25.5,23.0,1,1,0,False,0,0,1,0,0,1,1,1,straight|cov3|vstr2|vstr3|single_left|double_mirror|vtrac_straight,draw_chain1|col1x1|vstrx1|dblmirrorx1
Midday,038,13.0,25.5,19.0,1,1,0,False,1,2,1,0,0,0,0,4,boxed|cov3|hp_repeat4|vstr2|mirror|hot2|perm2;boxed|cov2|hp_repeat4|mirror|hot2|perm2,draw_chain1|col1x1|hot1x1|hot2x2
Midday,13368,23.0,25.5,18.5,1,1,0,False,0,2,1,0,0,3,0,4,straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight;straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight,draw_chain1|col1x1|hot2x2|vstrx3
Midday,13389,24.0,25.5,18.5,1,1,0,False,0,2,1,0,0,3,0,4,straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight;straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight,draw_chain1|col1x1|hot2x2|vstrx3
Midday,1668,18.0,25.5,18.0,3,1,0,False,0,1,0,0,0,2,0,5,straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|set_chain3;straight|cov1|hp_repeat3|mirror|vtrac_straight|set_chain3,set_chain3|draw_chain1|hot2x1|vstrx2
Midday,389,33.0,25.5,17.5,1,3,0,False,0,2,1,0,0,3,0,6,straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain3|col1x1|hot2x2|vstrx3
Midday,2334,30.0,25.5,16.0,1,5,0,False,2,0,2,0,0,6,0,9,straight|cov1|hp_repeat3|hot1|vtrac_straight|draw_chain5;straight|cov1|hp_repeat2|hot1|vtrac_straight|draw_chain5,draw_chain5|col1x2|hot1x2|vstrx6
Midday,01338,8.0,25.0,18.0,1,1,0,False,0,2,1,0,0,3,0,4,straight|cov1|hp_repeat4|mirror|hot2|vtrac_straight;straight|cov1|hp_repeat4|mirror|hot2|vtrac_straight,draw_chain1|col1x1|hot2x2|vstrx3
Midday,1389,24.0,25.0,17.5,1,2,0,False,0,2,1,0,0,3,0,5,straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight;straight|cov1|hp_repeat4|mirror|hot2|hidden3v|vtrac_straight,draw_chain2|col1x1|hot2x2|vstrx3
Midday,2366,21.0,24.5,16.5,3,3,0,True,0,0,0,0,0,3,0,6,straight|cov1|hp_repeat2|hidden3v|vtrac_straight|set_chain3|draw_chain3;straight|cov1|hidden3v|vtrac_straight|set_chain3|draw_chain3,set_chain3|draw_chain3|vstrx3
Midday,3668,23.0,24.0,17.5,3,1,0,False,0,1,0,0,0,0,0,5,boxed|cov2|hp_repeat3|mirror|hot2|perm2|hidden3v|set_chain3;boxed|cov3|mirror|perm3|hidden3v|set_chain3,set_chain3|draw_chain1|hot2x1
