section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,788,29.0,105.0,34.0,3,5,13,11,7,0,0,12,33,33,boxed|cov4|hp_repeat7|vstr2|vstr3|hot1|dom_last|perm2|double_mirror|set_chain3;straight|cov3|hp_repeat7|vstr2|vstr3|hot1|double_mirror|vtrac_straight|set_chain3,set_chain3|draw_chain5|col1x7|hot1x13|hot2x11|vstrx12|dblmirrorx33
Combined,688,23.0,95.5,32.5,2,7,10,11,8,0,0,0,35,35,boxed|cov4|hp_repeat7|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain7;boxed|cov4|hp_repeat6|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain7,set_chain2|draw_chain7|col1x8|hot1x10|hot2x11|dblmirrorx35
Combined,6788,21.0,77.5,34.0,2,5,9,11,6,0,0,4,0,31,boxed|cov4|hp_repeat7|vstr2|hot2|dom_last|perm3|set_chain2|draw_chain5;boxed|cov4|hp_repeat6|vstr2|hot2|dom_last|perm3|set_chain2|draw_chain5,set_chain2|draw_chain5|col1x6|hot1x9|hot2x11|vstrx4
Combined,889,33.0,72.5,29.5,3,7,7,4,1,0,0,11,28,28,straight|cov2|hp_repeat5|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7;straight|cov2|hp_repeat4|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7,set_chain3|draw_chain7|col1x1|hot1x7|hot2x4|vstrx11|dblmirrorx28
Combined,678,21.0,58.5,22.0,2,3,9,7,4,0,0,12,0,24,straight|cov1|hp_repeat7|hot2|vtrac_straight|set_chain2|draw_chain3;straight|cov1|hp_repeat6|hot2|vtrac_straight|set_chain2|draw_chain3,set_chain2|draw_chain3|col1x4|hot1x9|hot2x7|vstrx12
Combined,088,13.0,53.5,29.0,3,4,7,1,0,0,0,7,12,12,straight|cov3|hp_repeat6|vstr2|vstr3|hot1|double_mirror|vtrac_straight|set_chain3;straight|cov2|hp_repeat6|vstr2|hot1|double_mirror|vtrac_straight|set_chain3,set_chain3|draw_chain4|hot1x7|hot2x1|vstrx7|dblmirrorx12
Combined,6889,24.0,49.5,26.5,2,7,5,4,1,0,0,7,0,19,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|set_chain2|draw_chain7;boxed|cov3|hp_repeat4|vstr2|hot2|perm2|hidden3v|set_chain2|draw_chain7,set_chain2|draw_chain7|col1x1|hot1x5|hot2x4|vstrx7
Combined,668,18.0,49.0,26.5,2,4,1,4,4,0,0,0,11,11,boxed|cov4|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain4;boxed|cov4|hp_repeat3|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x1|hot2x4|dblmirrorx11
Combined,559,5.0,48.5,28.5,1,5,1,3,1,0,0,8,11,11,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5;straight|cov3|hp_repeat4|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain5,draw_chain5|col1x1|hot1x1|hot2x3|vstrx8|dblmirrorx11
Combined,667,17.0,48.0,21.0,2,4,1,4,4,0,0,9,11,11,straight|cov1|hp_repeat4|hot2|double_mirror|vtrac_straight|set_chain2|draw_chain4;straight|cov1|hp_repeat3|hot2|double_mirror|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x1|hot2x4|vstrx9|dblmirrorx11
Combined,188,23.0,47.5,23.5,3,6,5,0,2,0,0,0,20,20,boxed|cov3|hp_repeat4|vstr2|hot1|perm2|hidden3v|double_mirror|set_chain3|draw_chain4;boxed|cov3|hp_repeat2|vstr2|hot1|perm2|hidden3v|double_mirror|set_chain3|draw_chain4,set_chain3|draw_chain6|col1x2|hot1x5|dblmirrorx20
