section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,559,5,63.0,33.5,3,4,0,False,1,4,4,0,0,9,12,12,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain4;straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain4,set_chain3|draw_chain4|col1x4|hot1x1|hot2x4|vstrx9|dblmirrorx12
Combined,445,15,58.5,24.5,1,5,0,False,2,6,5,0,0,10,15,15,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain5;straight|cov1|hp_repeat4|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5,draw_chain5|col1x5|hot1x2|hot2x6|vstrx10|dblmirrorx15
Combined,889,33,52.5,24.5,1,5,0,False,2,4,4,0,0,10,13,13,straight|cov2|hp_repeat4|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5;straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5,draw_chain5|col1x4|hot1x2|hot2x4|vstrx10|dblmirrorx13
Combined,449,35,49.5,24.0,1,4,0,False,2,4,3,0,0,9,12,12,straight|cov2|hp_repeat4|vstr2|mirror|hot2|double_mirror|vtrac_straight|draw_chain4;straight|cov2|hp_repeat3|vstr2|mirror|hot2|double_mirror|vtrac_straight|draw_chain4,draw_chain4|col1x3|hot1x2|hot2x4|vstrx9|dblmirrorx12
Combined,455,5,48.5,21.5,2,4,0,False,1,4,4,0,0,9,11,11,straight|cov1|hp_repeat4|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain4;straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x1|hot2x4|vstrx9|dblmirrorx11
Combined,346,24,47.5,21.5,2,6,0,False,4,6,0,0,0,10,0,16,boxed|cov3|hp_repeat3|hot2|perm3|hidden3v|set_chain2|draw_chain6;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain6,set_chain2|draw_chain6|hot1x4|hot2x6|vstrx10
Combined,459,15,44.0,23.5,2,4,0,False,2,4,3,0,0,7,0,10,straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain4;straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x3|hot1x2|hot2x4|vstrx7
Combined,447,31,42.5,18.5,1,5,1,False,2,3,2,0,0,9,12,12,straight|cov1|hp_repeat4|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5;straight|cov1|hp_repeat4|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain5,draw_chain5|col1x2|hot1x2|hot2x3|vstrx9|dblmirrorx12
Combined,4559,15,42.0,23.5,2,3,0,False,1,4,3,0,0,6,0,7,straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain3;straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain3,set_chain2|draw_chain3|col1x3|hot1x1|hot2x4|vstrx6
Combined,336,23,41.5,22.5,1,5,0,False,5,1,0,0,0,4,15,15,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain5;boxed|cov3|hp_repeat5|vstr2|hot1|perm2|hidden3v|double_mirror|draw_chain5,draw_chain5|hot1x5|hot2x1|vstrx4|dblmirrorx15
Combined,788,29,41.5,20.5,1,5,1,False,2,3,2,0,0,7,8,8,straight|cov2|hp_repeat2|vstr2|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain5;straight|cov1|hp_repeat2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5,draw_chain5|col1x2|hot1x2|hot2x3|vstrx7|dblmirrorx8
Combined,4459,15,41.0,22.5,1,4,0,False,2,4,3,0,0,7,0,9,straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|draw_chain4;straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain4|col1x3|hot1x2|hot2x4|vstrx7
Combined,44588,14,40.0,25.5,1,4,0,False,1,3,4,0,0,3,0,4,boxed|cov4|hot2|dom_last|perm4|hidden3v|draw_chain4;straight|cov1|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x3|vstrx3
Combined,334,33,40.0,22.5,1,5,0,False,5,1,0,0,0,1,15,15,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain5;straight|cov2|hp_repeat5|vstr2|hot1|hidden3v|double_mirror|draw_chain5,draw_chain5|hot1x5|hot2x1|vstrx1|dblmirrorx15
Combined,44559,15,39.0,22.5,1,3,0,False,1,4,3,0,0,6,0,6,straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x4|vstrx6
Combined,4455,15,39.0,19.5,1,4,0,False,1,4,4,0,0,9,0,10,straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|draw_chain4;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx9
Combined,688,23,38.5,21.5,1,5,1,False,1,3,1,0,0,0,11,11,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain5;boxed|cov3|hp_repeat4|vstr2|hot1|perm2|hidden3v|double_mirror|draw_chain5,draw_chain5|col1x1|hot1x1|hot2x3|dblmirrorx11
Combined,366,18,38.0,21.0,3,3,0,False,4,0,0,0,0,0,15,15,boxed|cov3|hp_repeat5|vstr2|hot1|perm2|double_mirror|set_chain3;boxed|cov3|hp_repeat5|vstr2|hot1|perm2|double_mirror|set_chain3,set_chain3|draw_chain3|hot1x4|dblmirrorx15
Combined,488,33,38.0,20.5,1,5,0,False,1,3,5,0,0,1,5,5,boxed|cov3|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain5;boxed|cov3|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain5,draw_chain5|col1x5|hot1x1|hot2x3|vstrx1|dblmirrorx5
Combined,356,8,37.5,23.0,3,1,0,False,5,2,1,0,0,0,0,7,boxed|cov4|hp_repeat2|hot1|dom_last|perm4|set_chain3;boxed|cov4|hp_repeat2|hot1|perm4|set_chain3,set_chain3|draw_chain1|col1x1|hot1x5|hot2x2
Combined,448,34,37.5,20.0,1,5,0,False,1,3,5,0,0,1,5,5,boxed|cov3|vstr2|hot2|perm2|double_mirror|draw_chain5;boxed|cov3|vstr2|hot2|perm2|double_mirror|draw_chain5,draw_chain5|col1x5|hot1x1|hot2x3|vstrx1|dblmirrorx5
Combined,678,21,37.5,17.5,1,6,1,False,3,4,1,0,0,8,0,13,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain6;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain6,draw_chain6|col1x1|hot1x3|hot2x4|vstrx8
Combined,4455889,14,37.0,27.5,1,3,0,False,1,2,3,0,0,0,0,3,boxed|cov4|mirror|hot2|dom_last|perm4|hidden3v|draw_chain3;boxed|cov4|mirror|hot2|dom_last|perm4|hidden3v|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2
Combined,368,23,36.0,21.5,1,5,0,False,2,4,0,0,0,4,0,9,boxed|cov3|hp_repeat5|mirror|hot2|perm3|hidden3v|draw_chain5;boxed|cov2|hp_repeat5|mirror|hot1|perm2|hidden3v|draw_chain5,draw_chain5|hot1x2|hot2x4|vstrx4
Combined,388,32,35.0,21.0,1,4,0,False,1,3,0,0,0,0,10,10,boxed|cov3|hp_repeat4|vstr2|mirror|hot2|perm2|double_mirror|draw_chain4;boxed|cov3|hp_repeat4|vstr2|mirror|hot1|perm2|double_mirror|draw_chain4,draw_chain4|hot1x1|hot2x3|dblmirrorx10
Combined,4488,34,35.0,20.0,1,5,0,False,1,3,5,0,0,1,0,5,boxed|cov3|vstr2|hot2|perm2|draw_chain5;boxed|cov3|vstr2|hot2|perm2|draw_chain5,draw_chain5|col1x5|hot1x1|hot2x3|vstrx1
Combined,446,25,35.0,17.5,1,4,0,False,1,3,0,0,0,7,10,10,straight|cov1|hp_repeat4|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4;straight|cov1|hp_repeat4|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain4,draw_chain4|hot1x1|hot2x3|vstrx7|dblmirrorx10
Combined,344,34,34.5,20.0,1,4,0,False,1,3,0,0,0,1,10,10,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|double_mirror|draw_chain4;boxed|cov3|hp_repeat4|vstr2|hot1|perm2|double_mirror|draw_chain4,draw_chain4|hot1x1|hot2x3|vstrx1|dblmirrorx10
Combined,578,11,34.5,15.0,1,5,1,False,3,4,1,0,0,8,0,8,straight|cov1|hp_repeat2|hot2|vtrac_straight|draw_chain5;straight|cov1|hp_repeat2|hot2|vtrac_straight|draw_chain5,draw_chain5|col1x1|hot1x3|hot2x4|vstrx8
Combined,166,16,34.0,19.0,3,1,0,False,4,0,0,0,0,1,12,12,straight|cov1|hp_repeat5|mirror|hot1|double_mirror|vtrac_straight|set_chain3;straight|cov1|hp_repeat5|mirror|hot1|double_mirror|set_chain3,set_chain3|draw_chain1|hot1x4|vstrx1|dblmirrorx12
Combined,3346,24,33.0,21.5,1,5,0,False,5,1,0,0,0,4,0,12,boxed|cov3|hp_repeat5|hot2|perm3|hidden3v|draw_chain5;boxed|cov2|hp_repeat5|hot1|perm2|hidden3v|draw_chain5,draw_chain5|hot1x5|hot2x1|vstrx4
Combined,4458,14,33.0,18.5,1,4,0,False,1,3,4,0,0,3,0,4,boxed|cov3|hot2|perm3|hidden3v|draw_chain4;straight|cov1|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x3|vstrx3
Combined,13566,8,32.5,24.0,3,1,0,False,4,0,0,0,0,0,0,7,boxed|cov4|hp_repeat4|mirror|hot1|perm4|set_chain3;boxed|cov4|hp_repeat2|mirror|hot1|perm4|set_chain3,set_chain3|draw_chain1|hot1x4
Combined,056,2,32.0,24.0,3,2,0,False,2,0,1,0,0,0,0,8,boxed|cov4|hp_repeat2|vstr2|mirror|hot1|dom_last|perm2|set_chain3;straight|cov1|hp_repeat2|mirror|hot1|set_chain3,set_chain3|draw_chain2|col1x1|hot1x2
Combined,456,9,32.0,17.0,2,2,0,False,4,3,0,0,0,4,0,11,straight|cov1|hp_repeat5|hot2|vtrac_straight|set_chain2|draw_chain2;straight|cov1|hp_repeat5|hot2|vtrac_straight|set_chain2|draw_chain2,set_chain2|draw_chain2|hot1x4|hot2x3|vstrx4
Combined,1356,8,31.5,21.0,3,1,0,False,6,0,0,0,0,0,0,6,boxed|cov4|hp_repeat2|mirror|hot1|perm4|set_chain3;boxed|cov4|hp_repeat2|mirror|hot1|perm4|set_chain3,set_chain3|draw_chain1|hot1x6
Combined,359,14,31.5,18.5,3,4,0,False,1,2,0,0,0,4,0,8,straight|cov1|hp_repeat3|hot1|hidden3v|vtrac_straight|set_chain3|draw_chain4;straight|cov1|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain4,set_chain3|draw_chain4|hot1x1|hot2x2|vstrx4
Combined,4889,34,31.0,20.0,1,3,0,False,1,2,3,0,0,3,0,3,straight|cov2|vstr2|mirror|hot2|vtrac_straight|draw_chain3;straight|cov2|vstr2|mirror|hot2|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx3
Combined,133,23,31.0,19.5,1,5,0,False,3,0,0,0,0,1,11,11,straight|cov2|hp_repeat4|vstr2|hot1|hidden3v|double_mirror|draw_chain5;straight|cov2|hp_repeat4|vstr2|hot1|hidden3v|double_mirror|draw_chain5,draw_chain5|hot1x3|vstrx1|dblmirrorx11
Combined,3468,24,31.0,18.5,1,5,0,False,0,4,0,0,0,4,0,5,boxed|cov3|mirror|hot2|perm3|hidden3v|draw_chain5;straight|cov1|mirror|hot2|hidden3v|vtrac_straight|draw_chain5,draw_chain5|hot2x4|vstrx4
Combined,045,5,30.5,26.5,1,2,0,False,0,1,1,0,0,0,0,3,boxed|cov4|vstr2|vstr3|mirror|hot2|dom_last|perm2|hidden3v|draw_chain2;straight|cov1|mirror|hidden3v|draw_chain2,draw_chain2|col1x1|hot2x1
Combined,36788,21,30.5,18.5,1,4,0,False,1,3,0,0,0,6,0,9,straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|draw_chain4;straight|cov1|hp_repeat3|mirror|hot1|hidden3v|vtrac_straight|draw_chain4,draw_chain4|hot1x1|hot2x3|vstrx6
Combined,6889,24,30.5,17.5,1,5,1,False,1,2,1,0,0,7,0,9,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain5;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain5,draw_chain5|col1x1|hot1x1|hot2x2|vstrx7
Combined,445889,14,30.0,20.5,1,3,0,False,1,2,3,0,0,0,0,3,boxed|cov3|mirror|hot2|perm3|hidden3v|draw_chain3;boxed|cov3|mirror|hot2|perm3|hidden3v|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2
Combined,338,32,30.0,20.0,1,4,0,False,3,0,0,0,0,0,10,10,boxed|cov3|hp_repeat4|vstr2|mirror|hot1|perm2|double_mirror|draw_chain4;boxed|cov3|hp_repeat4|vstr2|mirror|hot1|perm2|double_mirror|draw_chain4,draw_chain4|hot1x3|dblmirrorx10
Combined,5788,11,30.0,15.0,1,4,1,False,2,3,1,0,0,6,0,6,straight|cov1|hp_repeat2|hot2|vtrac_straight|draw_chain4;straight|cov1|hp_repeat2|hot2|vtrac_straight|draw_chain4,draw_chain4|col1x1|hot1x2|hot2x3|vstrx6
Combined,557,3,30.0,15.0,1,3,1,False,1,2,1,0,0,6,7,7,straight|cov1|hp_repeat3|hot2|double_mirror|vtrac_straight|draw_chain3;straight|cov1|hp_repeat2|hot2|double_mirror|vtrac_straight|draw_chain3,draw_chain3|col1x1|hot1x1|hot2x2|vstrx6|dblmirrorx7
Combined,3688,23,29.5,20.5,1,4,0,False,1,3,0,0,0,0,0,10,boxed|cov3|hp_repeat4|mirror|hot2|perm3|hidden3v|draw_chain4;boxed|cov3|hp_repeat3|mirror|hot2|perm3|hidden3v|draw_chain4,draw_chain4|hot1x1|hot2x3
Combined,44889,34,29.5,20.0,1,3,0,False,1,2,3,0,0,0,0,3,boxed|cov3|vstr2|mirror|hot2|perm2|draw_chain3;boxed|cov3|vstr2|mirror|hot2|perm2|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2
Combined,3447,30,29.5,17.0,1,4,0,False,1,3,0,0,0,7,0,10,straight|cov1|hp_repeat4|hot2|vtrac_straight|draw_chain4;straight|cov1|hp_repeat4|hot1|vtrac_straight|draw_chain4,draw_chain4|hot1x1|hot2x3|vstrx7
Combined,4456,9,29.5,17.0,1,4,0,False,1,3,0,0,0,7,0,10,straight|cov1|hp_repeat4|hot2|vtrac_straight|draw_chain4;straight|cov1|hp_repeat4|hot1|vtrac_straight|draw_chain4,draw_chain4|hot1x1|hot2x3|vstrx7
