state,analyzer_label,analyzer_json,picked_html,combined_overlap_count,combined_overlap_tokens,combined_hot,combined_superhot,combined_consensus_col1,combined_consensus_col2,combined_stable_columns,combined_mask_drop,combined_reduction_hits,combined_mirror_supported,combined_double_hits,combined_analyzer_top_straights,midday_overlap_count,midday_overlap_tokens,midday_hot,midday_superhot,midday_consensus_col1,midday_consensus_col2,midday_stable_columns,midday_mask_drop,midday_reduction_hits,midday_mirror_supported,midday_double_hits,midday_analyzer_top_straights,evening_overlap_count,evening_overlap_tokens,evening_hot,evening_superhot,evening_consensus_col1,evening_consensus_col2,evening_stable_columns,evening_mask_drop,evening_reduction_hits,evening_mirror_supported,evening_double_hits,evening_analyzer_top_straights
Connecticut4,primary,data/outputs/analysis/vtrac/Connecticut4/Connecticut4_vtrac_enhanced_20260105_055534.json,reports/stable/winners_by_date/2026-01-04/Connecticut4/Connecticut4_vtrac18_winner_311_20260105_055125.html,3,V1x1_4x1_5x1;V1x2_4x1_5x1;V1x2_5x1,8,12,0,0,4;3;2;1,19,196,20,285,645;590;364;546;634;564,1,V2x1_4x1_5x1,8,12,0,0,1,15,162,18,218,645;590;364;546;634;564,2,V1x1_3x1_4x1;V1x2_3x1,8,12,0,0,3;2;1,18,180,20,264,645;590;364;546;634;564
Delaware4,primary,data/outputs/analysis/vtrac/Delaware4/Delaware4_vtrac_enhanced_20260105_055534.json,reports/stable/winners_by_date/2026-01-04/Delaware4/Delaware4_vtrac22_winner_269_20260105_055127.html,3,V1x1_4x1_5x1;V1x2_4x1;V1x2_4x1_5x1,8,12,0,0,4;3;2;1,11,198,2,132,058;085;208;087;537;708,2,V1x2_5x1;V5x2_2x1,8,12,0,0,4;3;2,11,197,3,136,058;085;208;087;537;708,2,V2x2_5x2_1x1;V5x3_2x2_1x1,8,12,0,0,3;2;1,7,177,1,133,058;085;208;087;537;708
Florida4,primary,data/outputs/analysis/vtrac/Florida4/Florida4_vtrac_enhanced_20260105_055535.json,reports/stable/winners_by_date/2026-01-04/Florida4/Florida4_vtrac21_winner_871_20260105_055129.html,2,V4x2_2x1_5x1;V4x2_5x1,8,12,0,0,3;2;1,14,126,15,432,683;836;386;634;467;647,5,V2x2_4x1;V2x2_4x2;V2x3_4x3;V2x4_4x3;V2x4_4x3_1x1,8,12,0,0,5;4;3;2;1,15,157,15,479,683;836;386;762;267;672,2,V1x1_3x1_5x1;V2x1_3x1_5x1,8,12,0,0,2;1,16,172,16,267,683;836;386;634;467;647
Indiana4,primary,data/outputs/analysis/vtrac/Indiana4/Indiana4_vtrac_enhanced_20260105_055536.json,reports/stable/winners_by_date/2026-01-04/Indiana4/Indiana4_vtrac7_winner_517_20260105_055132.html,4,V2x2_4x2;V2x3_4x2;V2x3_4x3;V2x3_4x3_3x1,8,12,0,0,5;4;3;2;1,11,74,17,365,386;836;683;681;138;831,1,V2x2_4x2_1x1,8,12,0,0,1,17,139,29,543,386;836;683;681;138;831,2,V3x3_2x2_5x2;V3x3_5x2_2x1,8,12,0,0,5;4;3;2;1,10,96,13,265,216;162;261;612;906;561
Michigan4,primary,data/outputs/analysis/vtrac/Michigan4/Michigan4_vtrac_enhanced_20260105_055537.json,reports/stable/winners_by_date/2026-01-04/Michigan4/Michigan4_vtrac30_winner_324_20260105_055136.html,3,V2x2_1x1;V2x2_5x1;V2x3_4x1_5x1,8,12,0,0,4;3;2;1,18,243,10,305,681;186;516;615;561;165,4,V2x2_1x1;V2x3;V2x3_1x1;V2x3_4x2_1x1,8,12,0,0,5;4;3;2;1,6,169,5,312,681;186;516;615;561;165,2,V1x2_2x2_4x2;V2x2_1x1_4x1,8,12,0,0,4;3;2;1,15,290,10,466,681;186;516;615;561;165
NewJersey4,primary,data/outputs/analysis/vtrac/NewJersey4/NewJersey4_vtrac_enhanced_20260105_055538.json,reports/stable/winners_by_date/2026-01-04/NewJersey4/NewJersey4_vtrac17_winner_261_20260105_055139.html,3,V1x1_3x1_4x1;V3x1_4x1_5x1;V3x2_5x2_4x1,8,12,0,0,3;2;1,12,97,16,557,924;982;984;928;824;418,1,V5x2_2x1_4x1,8,12,0,0,1,16,115,18,621,924;982;984;928;824;418,3,V3x3_5x1;V3x3_5x2;V3x3_5x3_1x1,8,12,0,0,4;3;2;1,13,92,12,589,924;982;984;928;824;418
NewYork4,primary,data/outputs/analysis/vtrac/NewYork4/NewYork4_vtrac_enhanced_20260105_055538.json,reports/stable/winners_by_date/2026-01-04/NewYork4/NewYork4_vtrac34_winner_489_20260105_055141.html,2,V1x3_4x1;V1x3_4x2,8,12,0,0,3;2;1,12,102,22,489,206;520;625;062;038;250,4,V1x2_2x1_3x1;V1x2_3x2_2x1;V1x4_3x3_2x2;V3x3_1x2_2x1,8,12,0,0,6;5;4;3;2;1,11,99,22,501,206;520;625;062;038;250,2,V4x2_1x1;V4x2_3x1_5x1,8,12,0,0,2;1,8,65,24,575,520;038;250;052;083;834
NorthCarolina4,primary,data/outputs/analysis/vtrac/NorthCarolina4/NorthCarolina4_vtrac_enhanced_20260105_055539.json,reports/stable/winners_by_date/2026-01-04/NorthCarolina4/NorthCarolina4_vtrac29_winner_887_20260105_055144.html,3,V3x2_2x1_5x1;V3x2_5x1;V3x2_5x2_2x1,8,12,0,0,4;3;2;1,10,199,5,562,093;503;035;290;932;053,1,V3x2_1x1_5x1,8,12,0,0,2;1,10,204,7,665,093;503;035;290;932;053,2,V1x2_5x2_4x1;V5x2_1x1,8,12,0,0,4;3;2;1,10,211,3,554,093;503;035;053;903;590
Ohio4,primary,data/outputs/analysis/vtrac/Ohio4/Ohio4_vtrac_enhanced_20260105_055540.json,reports/stable/winners_by_date/2026-01-04/Ohio4/Ohio4_vtrac31_winner_492_20260105_055147.html,0,,8,12,0,0,,16,155,23,378,805;592;508;520;908;590,2,V1x2_3x2_2x1;V3x2_1x1_2x1,8,12,0,0,3;2;1,15,133,19,404,805;592;508;520;590;025,3,V1x2_4x2;V4x3_1x2;V4x3_1x2_2x1,8,12,0,0,4;3;2;1,15,137,20,270,805;592;508;908;590;920
OntarioCanada4,primary,data/outputs/analysis/vtrac/OntarioCanada4/OntarioCanada4_vtrac_enhanced_20260105_055541.json,reports/stable/winners_by_date/2026-01-04/OntarioCanada4/OntarioCanada4_vtrac29_winner_382_20260105_055149.html,1,V1x1_3x1_5x1,8,12,0,0,3;2;1,16,147,18,216,617;167;671;716;164;047,3,V3x2_1x1;V3x2_1x1_2x1;V3x2_2x1,8,12,0,0,3;2;1,14,126,14,178,617;167;671;716;164;047,2,V1x1_2x1_4x1;V2x2_4x2,8,12,0,0,3;2;1,14,184,12,244,617;167;671;716;164;416
