section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Evening,Set3,Draw1,7,21,3,1,0.0,2,0.0,False,False,False,False,False,False,True,2,1,2,1,14,0,0,0,1136778:1;11678:1;2368:1,1138677:1;68117:1;8362:1,6,2,0,0.0,0,0,0,0,0,0,0.5,0,2,4,1,0.0,15.5,40.5,3,True,False,562,682,True,True,True
Combined,Set1,Draw1,7,21,1,1,0.0,2,0.0,False,False,False,False,False,False,True,3,2,3,2,5,0,0,0,12336688:1;233668:1;2336688:1,18833662:1;833662:1;8833662:1,2,2,0,0.0,0,0,0,0,0,0,0.5,0,5,4,1,0.0,14.5,40.5,3,True,False,562,682,True,True,True
Combined,Set3,Draw1,6,21,3,2,0.0,2,0.0,False,False,False,False,False,False,True,3,1,3,1,11,0,0,0,233668:1;11233668:1;23366:1,266833:1;66811332:1;33662:1,6,2,1,0.0,0,0,0,0,0,0,0.5,0,4,1,0,0.0,14.5,40.5,2,False,False,562,682,True,True,True
Midday,Set1,Draw6,2,21,1,1,0.0,1,0.0,False,False,False,False,False,True,True,3,3,3,3,4,0,0,0,2366:1;2336688:1;233668:1,3662:1;8833662:1;833662:1,2,1,0,0.0,0,0,0,0,0,1,0.5,0,6,4,0,0.0,14.5,40.5,3,False,False,562,682,True,True,True
Midday,Set2,Draw1,6,21,3,1,0.0,5,0.0,False,False,False,False,False,False,True,2,1,2,1,11,0,0,0,236:1;13678:1;22368:1,362:1;13867:1;83622:1,6,5,0,0.0,0,0,0,0,0,0,0.5,0,2,0,1,0.0,14.5,40.5,1,True,False,562,682,True,True,True
Midday,Set2,Draw1,3,7,1,1,0.0,5,1.0,False,False,False,False,False,True,False,3,1,3,1,0,1,0,0,026:1,206:1,2,5,0,0.0,0,1,0,0,0,1,0.0,0,4,0,1,0.0,14.0,36.0,1,True,False,562,682,True,True,True
Evening,Set1,Draw1,4,7,2,1,0.0,2,1.0,False,False,False,False,False,False,False,2,4,2,4,0,6,0,0,2556:1;112556:1;25566:1,2556:1;611552:1;25566:1,4,2,0,0.0,0,1,0,0,0,0,0.0,0,5,1,1,0.0,14.0,36.0,2,True,False,562,682,True,True,True
Midday,Set2,Draw1,4,7,1,1,0.0,5,1.0,False,False,False,False,False,False,False,3,1,3,1,0,1,0,0,026:1,206:1,2,5,0,0.0,0,1,0,0,0,0,0.0,0,4,1,1,0.0,14.0,36.0,2,True,False,562,682,True,True,True
Evening,Set1,Draw4,4,21,3,2,0.0,1,0.0,False,False,False,False,False,False,True,2,3,2,3,16,0,0,0,11336678:1;11233668:1;1336678:1,11338667:1;11833662:1;1338667:1,6,1,1,0.0,0,0,0,0,0,0,0.5,0,4,1,0,0.0,13.5,40.5,2,False,False,562,682,True,True,True
Combined,Set3,Draw1,7,21,1,1,0.0,2,0.0,False,False,False,False,False,False,True,3,1,3,1,5,0,0,0,233668:1;11233668:1;23366:1,833662:1;11833662:1;33662:1,2,2,0,0.0,0,0,0,0,0,0,0.5,0,4,4,1,0.0,13.5,40.5,3,True,False,562,682,True,True,True
