state,analyzer_label,analyzer_json,picked_html,combined_overlap_count,combined_overlap_tokens,combined_hot,combined_superhot,combined_consensus_col1,combined_consensus_col2,combined_stable_columns,combined_mask_drop,combined_reduction_hits,combined_mirror_supported,combined_double_hits,combined_analyzer_top_straights,midday_overlap_count,midday_overlap_tokens,midday_hot,midday_superhot,midday_consensus_col1,midday_consensus_col2,midday_stable_columns,midday_mask_drop,midday_reduction_hits,midday_mirror_supported,midday_double_hits,midday_analyzer_top_straights,evening_overlap_count,evening_overlap_tokens,evening_hot,evening_superhot,evening_consensus_col1,evening_consensus_col2,evening_stable_columns,evening_mask_drop,evening_reduction_hits,evening_mirror_supported,evening_double_hits,evening_analyzer_top_straights
Connecticut4,primary,data/outputs/analysis/vtrac/Connecticut4/Connecticut4_vtrac_enhanced_20260105_053042.json,reports/stable/winners_by_date/2025-12-31/Connecticut4/Connecticut4_vtrac18_winner_361_20260105_052142.html,2,V1x2_4x1;V2x1_3x1_4x1,8,12,0,0,2;1,19,123,23,231,986;968;687;867;918;936,3,V1x1_4x1_5x1;V1x2_4x1;V1x2_5x2_4x1,8,12,0,0,4;3;2;1,13,87,16,207,986;968;918;936;913;193,3,V2x2_1x1;V2x3_1x1_5x1;V2x3_5x1,8,12,0,0,3;2;1,13,110,14,250,986;968;687;867;918;936
Delaware4,primary,data/outputs/analysis/vtrac/Delaware4/Delaware4_vtrac_enhanced_20260105_053043.json,reports/stable/winners_by_date/2025-12-31/Delaware4/Delaware4_vtrac29_winner_337_20260105_052144.html,2,V2x2_5x2;V2x2_5x2_3x1,8,12,0,0,4;3;2;1,20,146,30,555,471;137;173;371;617;174,1,V1x1_2x1_5x1,8,12,0,0,2;1,20,154,26,462,471;137;173;371;617;174,1,V2x2_3x1_5x1,8,12,0,0,1,17,138,21,442,471;137;173;371;617;174
Florida4,primary,data/outputs/analysis/vtrac/Florida4/Florida4_vtrac_enhanced_20260105_053044.json,reports/stable/winners_by_date/2025-12-31/Florida4/Florida4_vtrac17_winner_211_20260105_052147.html,4,V2x3;V2x3_3x2;V2x3_3x2_4x1;V2x3_3x3_4x1,8,12,0,0,5;4;3;2;1,11,166,13,527,867;371;173;718;817;687,2,V2x2_4x2;V4x3_2x2_3x1,8,12,0,0,3;2;1,18,204,21,556,867;371;173;718;817;687,5,V1x2_3x1;V1x2_3x2_4x1;V1x3_3x2_4x2;V3x2_1x1;V3x2_1x1_4x1,8,12,0,0,5;4;3;2;1,18,194,20,551,867;371;173;718;817;687
Indiana4,primary,data/outputs/analysis/vtrac/Indiana4/Indiana4_vtrac_enhanced_20260105_053044.json,reports/stable/winners_by_date/2025-12-31/Indiana4/Indiana4_vtrac14_winner_539_20260105_052149.html,4,V3x3_2x1;V3x4_1x2_2x2;V3x4_2x1;V3x4_2x3_1x2,8,12,0,0,5;4;3;2;1,13,141,5,715,267;016;165;561;061;506,3,V1x2_2x2_4x2;V1x3_2x2_4x2;V2x2_1x1_4x1,8,12,0,0,5;4;3;2;1,13,105,6,604,016;165;561;061;506;681,4,V2x2_5x2;V2x3_5x2;V2x4_1x2_5x2;V2x4_1x3_5x2,8,12,0,0,5;4;3;2;1,14,121,7,686,016;165;561;061;506;681
Michigan4,primary,data/outputs/analysis/vtrac/Michigan4/Michigan4_vtrac_enhanced_20260105_053045.json,reports/stable/winners_by_date/2025-12-31/Michigan4/Michigan4_vtrac28_winner_477_20260105_052152.html,2,V1x1_2x1_4x1;V2x2_4x1,8,12,0,0,2;1,13,232,13,403,136;613;631;213;362;263,2,V1x1_2x1_3x1;V1x2_2x1,8,12,0,0,2;1,11,140,13,257,136;613;631;213;362;263,4,V1x2_4x2;V1x2_4x2_2x1;V4x3_1x2_2x2;V4x4_1x2_2x2,8,12,0,0,5;4;3;2;1,15,229,18,406,136;613;631;063;036;193
NewJersey4,primary,data/outputs/analysis/vtrac/NewJersey4/NewJersey4_vtrac_enhanced_20260105_053046.json,reports/stable/winners_by_date/2025-12-31/NewJersey4/NewJersey4_vtrac24_winner_418_20260105_052154.html,3,V5x3_3x1;V5x4_3x2;V5x4_3x2_2x1,8,12,0,0,5;4;3;2;1,11,153,3,524,924;186;681;792;281;862,3,V2x1_3x1_4x1;V2x2_3x2_4x1;V2x3_3x2_4x1,8,12,0,0,3;2;1,12,163,8,405,186;681;281;862;182;268,2,V3x2_4x2_5x2;V3x2_5x2_4x1,8,12,0,0,5;4;3;2;1,15,271,7,755,924;186;681;792;982;928
NewYork4,primary,data/outputs/analysis/vtrac/NewYork4/NewYork4_vtrac_enhanced_20260105_053047.json,reports/stable/winners_by_date/2025-12-31/NewYork4/NewYork4_vtrac16_winner_116_20260105_052157.html,3,V2x2_3x2;V3x3_2x2;V3x4_2x2,8,12,0,0,5;4;3;2;1,16,243,7,525,267;762;261;162;732;237,6,V1x2_2x1;V2x2_1x1;V2x3_3x1;V2x3_3x1_5x1;V2x3_5x2_3x1;V2x4_5x3_3x1,8,12,0,0,6;5;4;3;2;1,10,185,5,459,267;762;261;162;732;237,3,V3x2_4x1_5x1;V3x2_5x2_4x1;V4x3_3x2_5x2,8,12,0,0,4;3;2;1,16,259,6,586,267;762;261;162;732;237
NorthCarolina4,primary,data/outputs/analysis/vtrac/NorthCarolina4/NorthCarolina4_vtrac_enhanced_20260105_053048.json,reports/stable/winners_by_date/2025-12-31/NorthCarolina4/NorthCarolina4_vtrac3_winner_057_20260105_052159.html,2,V1x2_4x1_5x1;V1x3_5x2_4x1,8,12,0,0,4;3;2;1,21,142,23,380,034;064;093;403;406;906,2,V1x2_3x2;V1x2_3x2_5x1,8,12,0,0,2;1,20,184,22,517,034;240;290;064;092;093,3,V1x4;V1x4_2x1;V1x4_2x2_4x1,8,12,0,0,5;4;3;2;1,22,186,26,575,034;240;290;064;092;093
Ohio4,primary,data/outputs/analysis/vtrac/Ohio4/Ohio4_vtrac_enhanced_20260105_053048.json,reports/stable/winners_by_date/2025-12-31/Ohio4/Ohio4_vtrac22_winner_197_20260105_052201.html,2,V1x1_2x1_3x1;V1x2_2x1,8,12,0,0,2;1,16,144,16,188,567;675;765;256;521;625,3,V1x2_3x1;V1x2_3x2_5x2;V3x2_1x1,8,12,0,0,4;3;2;1,22,165,23,209,567;675;765;256;521;625,2,V1x2_5x1;V5x2_1x1_2x1,8,12,0,0,4;3;2;1,19,149,19,195,567;675;765;256;521;625
OntarioCanada4,primary,data/outputs/analysis/vtrac/OntarioCanada4/OntarioCanada4_vtrac_enhanced_20260105_053049.json,reports/stable/winners_by_date/2025-12-31/OntarioCanada4/OntarioCanada4_vtrac30_winner_932_20260105_052205.html,1,V4x2_1x1_2x1,8,12,0,0,1,20,216,20,405,258;524;852;752;528;875,4,V2x2_3x2;V2x2_3x2_1x1;V3x2_1x1;V3x2_2x1,8,12,0,0,5;4;3;2;1,19,146,22,337,258;524;852;752;528;875,2,V2x2_4x1_5x1;V2x2_5x2_4x1,8,12,0,0,3;2;1,21,156,23,362,524;752;267;672;762;248
