final.canon3,hits,methods,score_sum,sections
144,18,1,1711.15,1
77,16,2,1599.42,1
66,12,2,1200.0,1
7,6,2,600.0,1
1,6,1,600.0,1
1144,4,1,371.08,1
49,3,1,300.0,1
4,2,1,200.0,1
