date,state,variant,winner,exact_straight,exact_boxed,vt_boxed,vt_straight,best_compound_rank,winner_family_rank,vt_only_lane,funnel_precol1,vtrac_index,vtrac_source
2025-06-24,Connecticut4,Midday,494,True,True,True,False,305.0,1321.0,False,0.0,35,sharepacks/2025-06-24/Connecticut4/winners/Connecticut4_vtrac35_winner_494_20251113_215234.html
2025-06-24,Connecticut4,Evening,858,True,True,True,False,590.0,1327.0,False,0.0,13,sharepacks/2025-06-24/Connecticut4/winners/Connecticut4_vtrac13_winner_858_20251113_215235.html
2025-06-24,Delaware4,Midday,999,False,False,False,False,,,,,None,sharepacks/2025-06-24/Delaware4/winners/Delaware4_vtracNone_winner_999_20251113_215235.html
2025-06-24,Delaware4,Evening,271,False,False,True,False,,1453.0,,,20,sharepacks/2025-06-24/Delaware4/winners/Delaware4_vtrac20_winner_271_20251113_215235.html
2025-06-24,Florida4,Midday,733,True,True,True,False,60.0,1302.0,,,29,sharepacks/2025-06-24/Florida4/winners/Florida4_vtrac29_winner_733_20251113_215235.html
2025-06-24,Florida4,Evening,271,False,False,True,False,,1330.0,,,20,sharepacks/2025-06-24/Florida4/winners/Florida4_vtrac20_winner_271_20251113_215236.html
2025-06-24,Indiana4,Midday,273,True,True,True,False,31.0,1231.0,False,0.0,27,sharepacks/2025-06-24/Indiana4/winners/Indiana4_vtrac27_winner_273_20251113_215236.html
2025-06-24,Indiana4,Evening,167,True,True,True,False,1684.0,1200.0,,,17,sharepacks/2025-06-24/Indiana4/winners/Indiana4_vtrac17_winner_167_20251113_215237.html
2025-06-24,Michigan4,Midday,106,False,False,True,False,,1254.0,,,6,sharepacks/2025-06-24/Michigan4/winners/Michigan4_vtrac6_winner_106_20251113_215237.html
2025-06-24,Michigan4,Evening,213,False,False,True,False,,1174.0,,,21,sharepacks/2025-06-24/Michigan4/winners/Michigan4_vtrac21_winner_213_20251113_215238.html
2025-06-24,NewJersey4,Midday,229,True,True,True,False,96.0,1357.0,False,0.0,28,sharepacks/2025-06-24/NewJersey4/winners/NewJersey4_vtrac28_winner_229_20251113_215238.html
2025-06-24,NewJersey4,Evening,431,True,True,True,False,1616.0,1380.0,,,24,sharepacks/2025-06-24/NewJersey4/winners/NewJersey4_vtrac24_winner_431_20251113_215239.html
2025-06-24,NewYork4,Midday,885,False,False,True,False,,1349.0,,,13,sharepacks/2025-06-24/NewYork4/winners/NewYork4_vtrac13_winner_885_20251113_215240.html
2025-06-24,NewYork4,Evening,587,False,False,True,False,,1388.0,,,11,sharepacks/2025-06-24/NewYork4/winners/NewYork4_vtrac11_winner_587_20251113_215240.html
2025-06-24,NorthCarolina4,Midday,562,True,True,True,False,1296.0,1422.0,False,0.0,7,sharepacks/2025-06-24/NorthCarolina4/winners/NorthCarolina4_vtrac7_winner_562_20251113_215241.html
2025-06-24,NorthCarolina4,Evening,682,True,True,True,True,722.0,1342.0,False,0.0,21,sharepacks/2025-06-24/NorthCarolina4/winners/NorthCarolina4_vtrac21_winner_682_20251113_215242.html
2025-06-24,Ohio4,Midday,697,False,False,True,False,,1499.0,,,22,sharepacks/2025-06-24/Ohio4/winners/Ohio4_vtrac22_winner_697_20251113_215243.html
2025-06-24,Ohio4,Evening,403,True,True,True,False,432.0,1445.0,,,14,sharepacks/2025-06-24/Ohio4/winners/Ohio4_vtrac14_winner_403_20251113_215243.html
2025-06-24,OntarioCanada4,Midday,290,True,True,True,False,86.0,1010.0,,,12,sharepacks/2025-06-24/OntarioCanada4/winners/OntarioCanada4_vtrac12_winner_290_20251113_215244.html
2025-06-24,OntarioCanada4,Evening,771,False,True,True,False,564.0,1098.0,,,20,sharepacks/2025-06-24/OntarioCanada4/winners/OntarioCanada4_vtrac20_winner_771_20251113_215245.html
2025-06-24,Pennsylvania4,Midday,893,True,True,True,True,13.0,1454.0,False,0.0,33,sharepacks/2025-06-24/Pennsylvania4/winners/Pennsylvania4_vtrac33_winner_893_20251113_215246.html
2025-06-24,Pennsylvania4,Evening,222,False,False,False,False,,,,,None,sharepacks/2025-06-24/Pennsylvania4/winners/Pennsylvania4_vtracNone_winner_222_20251113_215246.html
2025-06-24,PuertoRico4,Midday,138,True,True,True,False,293.0,1332.0,False,0.0,23,sharepacks/2025-06-24/PuertoRico4/winners/PuertoRico4_vtrac23_winner_138_20251113_215246.html
2025-06-24,PuertoRico4,Evening,70,False,False,False,False,,,,,,
2025-06-24,SouthCarolina4,Midday,5,False,False,False,True,,,False,0.0,,
2025-06-24,SouthCarolina4,Evening,584,True,True,True,False,911.0,1425.0,False,0.0,14,sharepacks/2025-06-24/SouthCarolina4/winners/SouthCarolina4_vtrac14_winner_584_20251113_215247.html
2025-06-24,Virginia4,Midday,188,False,True,True,False,847.0,1193.0,False,0.0,23,sharepacks/2025-06-24/Virginia4/winners/Virginia4_vtrac23_winner_188_20251113_215248.html
2025-06-24,Virginia4,Evening,775,True,True,True,False,197.0,1277.0,False,0.0,10,sharepacks/2025-06-24/Virginia4/winners/Virginia4_vtrac10_winner_775_20251113_215248.html
