section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Midday,139,24.0,21.5,14.0,2,5,0,True,1,0,0,0,0,2,0,6,straight|cov1|vtrac_straight|set_chain2|draw_chain5;straight|cov1|vtrac_straight|set_chain2|draw_chain5,set_chain2|draw_chain5|hot1x1|vstrx2
Midday,889,33.0,21.5,13.0,3,2,0,False,0,0,0,0,0,0,7,7,straight|cov1|hp_repeat3|double_mirror|set_chain3;straight|cov1|hp_repeat3|double_mirror|set_chain3,set_chain3|draw_chain2|dblmirrorx7
Midday,00138,8.0,21.0,16.5,1,4,0,False,1,0,1,0,0,1,0,4,boxed|cov3|mirror|hot1|perm3|hidden3v|draw_chain3;straight|cov1|mirror|hidden3v|vtrac_straight|draw_chain3,draw_chain4|col1x1|hot1x1|vstrx1
Midday,224559,12.0,21.0,16.5,1,2,0,False,0,1,0,0,0,3,0,3,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|mirror|hidden3v|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx3
Midday,022459,12.0,21.0,16.5,1,2,0,False,0,1,0,0,0,3,0,3,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|mirror|hidden3v|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx3
Midday,022559,12.0,21.0,16.5,1,2,0,False,0,1,0,0,0,3,0,3,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|mirror|hidden3v|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx3
Midday,113889,24.0,21.0,16.0,3,2,0,False,0,0,0,0,0,0,0,5,boxed|cov2|hp_repeat2|mirror|perm2|set_chain3;straight|cov1|hp_repeat2|mirror|set_chain3,set_chain3|draw_chain2
Midday,018,8.0,21.0,14.5,2,2,0,False,2,0,1,0,0,1,0,3,boxed|cov3|vstr2|hot1|perm2|hidden3v|set_chain2;boxed|cov2|hot1|perm2|hidden3v|set_chain2,set_chain2|draw_chain2|col1x1|hot1x2|vstrx1
Midday,259,12.0,21.0,14.5,2,2,0,False,0,1,0,0,0,3,0,4,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain2;straight|cov1|hp_repeat2|hidden3v|vtrac_straight|set_chain2|draw_chain2,set_chain2|draw_chain2|hot2x1|vstrx3
Midday,113,18.0,21.0,13.0,3,2,0,False,0,0,0,0,0,0,6,6,straight|cov1|hp_repeat2|double_mirror|set_chain3|draw_chain2;straight|cov1|hp_repeat2|double_mirror|set_chain3|draw_chain2,set_chain3|draw_chain2|dblmirrorx6
Midday,033459,14.0,20.5,16.0,1,2,0,False,0,1,0,0,0,3,0,3,straight|cov1|hp_repeat2|mirror|hot2|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|mirror|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx3
Midday,1388,23.0,20.5,15.5,3,2,0,False,0,0,0,0,0,0,0,6,boxed|cov2|hp_repeat2|mirror|perm2|hidden3v|set_chain3|draw_chain2;straight|cov1|hp_repeat2|mirror|hidden3v|set_chain3|draw_chain2,set_chain3|draw_chain2
Midday,2249,28.0,20.5,15.5,1,3,0,False,0,1,0,0,0,3,0,4,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov1|hp_repeat2|mirror|hidden3v|vtrac_straight|draw_chain3,draw_chain3|hot2x1|vstrx3
