section,set_name,draw_name,column_index,triad,vt_triad,vertical_support,horizontal_span,set_span,variant_echo,has_straight,has_vt_straight,vt_only_lane,col1_arrival,precol1_funnel,ls_col_42,ls2_lane,is_starred,star_count,is_superhot_slot,is_set1,guard_injected,score,reasons
Combined,Set1,Draw1,1,226,23,1,6,3,3,1,1,0,1,0,0,1,1,20,1,1,1,34.65,hot20|superhot_set1|literal_draw|guard_set1|vertical1|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,2,345,145,1,5,3,3,1,1,0,0,1,1,0,1,20,1,1,1,34.15,hot20|superhot_set1|literal_draw|guard_set1|vertical1|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,1,345,145,1,6,3,3,1,1,0,1,0,0,1,1,20,1,1,0,33.65,hot20|superhot_set1|literal_draw|vertical1|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,1,226,23,1,4,3,3,1,1,0,1,0,0,1,1,20,1,1,0,33.65,hot20|superhot_set1|literal_draw|vertical1|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,2,014,125,1,5,3,3,1,1,0,0,1,1,0,1,20,1,1,0,33.15,hot20|superhot_set1|literal_draw|vertical1|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,2,468,245,1,4,3,3,1,1,0,0,1,1,0,1,20,1,1,0,33.15,hot20|superhot_set1|literal_draw|vertical1|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,3,567,123,4,5,3,3,1,1,0,0,1,0,1,1,20,0,1,0,32.9,hot20|literal_draw|vertical4|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw2,1,226,23,4,4,3,3,1,1,0,1,0,0,1,1,16,1,1,0,31.45,hot16|superhot_set1|literal_draw|vertical4|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,3,459,155,1,1,3,3,1,1,0,0,1,0,1,1,20,0,1,0,31.1,hot20|literal_draw|vertical1|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,468,245,1,4,3,3,1,1,0,0,1,0,1,1,20,0,1,0,31.1,hot20|literal_draw|vertical1|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
