date,state,section,overlap,stable_cols_count,stable_cols,consensus_col1,consensus_col2,cross_section_echo,hot_count,superhot_count,mask_drop,mirror_supported,double_hits,confidence_score,tier,flags,top_tokens,recommended_tokens,top_straights,section_prior,state_prior,why,source
,Connecticut4,Midday,3,4,"[4,3,2,1]",false,false,0,8,12,19,true,476,20.516,B+,[],"[""V1x2_3x1"",""V1x3_3x1_5x1"",""V1x2_3x1_5x1""]","[""V1x2_3x1"",""V1x2_3x1_5x1"",""V1x3_3x1_5x1""]","[""834"",""438"",""983""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.500*0.80->0.40; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Connecticut4,Evening,2,4,"[4,3,2,1]",false,false,0,8,12,14,true,425,19.429,B,[],"[""V2x2_4x2_5x2"",""V5x2_2x1_4x1""]","[""V2x2_4x2_5x2"",""V5x2_2x1_4x1""]","[""834"",""438"",""983""]",1.0,1.0,overlap=1.099*1.00->1.10; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Connecticut4,Combined,2,3,"[3,2,1]",false,false,0,8,12,24,true,467,21.238,B,[],"[""V4x2_5x2"",""V4x2_5x2_1x1""]","[""V4x2_5x2"",""V4x2_5x2_1x1""]","[""834"",""438"",""983""]",1.15,1.0,overlap=1.099*1.00->1.10; stable=6.000*1.90->11.40; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=0.824*0.40->0.33; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,Delaware4,Midday,1,1,[1],false,false,0,8,12,9,false,288,13.533,C,[],"[""V2x1_3x1_5x1""]","[""V2x1_3x1_5x1""]","[""610"",""671"",""617""]",1.0,1.0,overlap=0.693*1.00->0.69; stable=2.400*1.90->4.56; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; recency_lane=1.000*1.50->1.50; vt_lane_rescue=0.700*1.20->0.84; winner_lane_rescue=1.400*2.50->3.50; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Delaware4,Evening,3,4,"[4,3,2,1]",false,false,0,8,12,11,true,310,20.251,B+,[],"[""V4x3_5x2"",""V4x3_5x3_2x1"",""V4x2_1x1""]","[""V4x2_1x1"",""V4x3_5x2"",""V4x3_5x3_2x1""]","[""136"",""013"",""631""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.400*0.80->0.32; mirror=1.000*0.60->0.60; doubles=0.537*0.40->0.21; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Delaware4,Combined,4,5,"[5,4,3,2,1]",false,false,0,8,12,14,true,329,26.277,A,[],"[""V1x3_2x3_4x2"",""V2x3_1x2_4x2"",""V2x2_4x2_1x1"",""V2x2_1x1_4x1""]","[""V2x2_4x2_1x1"",""V1x3_2x3_4x2"",""V2x2_1x1_4x1""]","[""136"",""013"",""631""]",1.15,1.0,overlap=1.609*1.00->1.61; stable=8.000*1.90->15.20; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,Florida4,Midday,3,5,"[5,4,3,2,1]",false,false,0,8,12,5,true,632,21.826,B+,[],"[""V2x2_4x2_1x1"",""V2x2_1x1"",""V1x3_2x3_4x2""]","[""V2x2_4x2_1x1"",""V1x3_2x3_4x2"",""V2x2_1x1""]","[""037"",""908"",""709""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=8.000*1.90->15.20; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Florida4,Evening,3,4,"[4,3,2,1]",false,false,0,8,12,5,true,563,19.716,B+,[],"[""V1x2_3x1_4x1"",""V1x2_3x2_4x1"",""V1x1_3x1_4x1""]","[""V1x1_3x1_4x1"",""V1x2_3x1_4x1"",""V1x2_3x2_4x1""]","[""037"",""908"",""013""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Florida4,Combined,2,2,"[2,1]",false,false,0,8,12,8,true,620,17.743,B,[],"[""V4x2_1x1_3x1"",""V4x2_3x1""]","[""V4x2_1x1_3x1"",""V4x2_3x1""]","[""037"",""908"",""709""]",1.15,1.0,overlap=1.099*1.00->1.10; stable=4.400*1.90->8.36; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=0.826*0.40->0.33; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,Indiana4,Midday,3,4,"[4,3,2,1]",false,false,0,8,12,22,true,335,20.636,B+,[],"[""V1x2_4x1_5x1"",""V1x2_4x2_5x1"",""V1x1_4x1_5x1""]","[""V1x1_4x1_5x1"",""V1x2_4x1_5x1"",""V1x2_4x2_5x1""]","[""240"",""548"",""024""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=0.300*0.40->0.12; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
