state,analyzer_label,analyzer_json,picked_html,combined_overlap_count,combined_overlap_tokens,combined_hot,combined_superhot,combined_consensus_col1,combined_consensus_col2,combined_stable_columns,combined_mask_drop,combined_reduction_hits,combined_mirror_supported,combined_double_hits,combined_analyzer_top_straights,midday_overlap_count,midday_overlap_tokens,midday_hot,midday_superhot,midday_consensus_col1,midday_consensus_col2,midday_stable_columns,midday_mask_drop,midday_reduction_hits,midday_mirror_supported,midday_double_hits,midday_analyzer_top_straights,evening_overlap_count,evening_overlap_tokens,evening_hot,evening_superhot,evening_consensus_col1,evening_consensus_col2,evening_stable_columns,evening_mask_drop,evening_reduction_hits,evening_mirror_supported,evening_double_hits,evening_analyzer_top_straights
Connecticut4,primary,data/outputs/analysis/vtrac/Connecticut4/Connecticut4_vtrac_enhanced_20251221_222519.json,reports/stable/winners_by_date/2025-06-22/Connecticut4/Connecticut4_vtrac13_winner_835_20251221_222109.html,2,V4x2_5x2;V4x2_5x2_1x1,8,12,0,0,3;2;1,24,276,23,467,834;438;983;597;934;984,3,V1x2_3x1;V1x2_3x1_5x1;V1x3_3x1_5x1,8,12,0,0,4;3;2;1,19,245,18,476,834;438;983;597;934;984,2,V2x2_4x2_5x2;V5x2_2x1_4x1,8,12,0,0,4;3;2;1,14,212,12,425,834;438;983;597;934;984
Delaware4,primary,data/outputs/analysis/vtrac/Delaware4/Delaware4_vtrac_enhanced_20251221_222520.json,reports/stable/winners_by_date/2025-06-22/Delaware4/Delaware4_vtrac20_winner_127_20251221_222110.html,4,V1x3_2x3_4x2;V2x2_1x1_4x1;V2x2_4x2_1x1;V2x3_1x2_4x2,8,12,0,0,5;4;3;2;1,14,279,3,329,136;013;631;610;671;617,1,V2x1_3x1_5x1,8,12,0,0,1,9,148,0,288,610;671;617;016;506;501,3,V4x2_1x1;V4x3_5x2;V4x3_5x3_2x1,8,12,0,0,4;3;2;1,11,271,2,310,136;013;631;610;671;617
Florida4,primary,data/outputs/analysis/vtrac/Florida4/Florida4_vtrac_enhanced_20251221_222521.json,reports/stable/winners_by_date/2025-06-22/Florida4/Florida4_vtrac31_winner_924_20251221_222112.html,2,V4x2_1x1_3x1;V4x2_3x1,8,12,0,0,2;1,8,45,27,620,037;908;709;013;093;386,3,V1x3_2x3_4x2;V2x2_1x1;V2x2_4x2_1x1,8,12,0,0,5;4;3;2;1,5,31,25,632,037;908;709;013;093;386,3,V1x1_3x1_4x1;V1x2_3x1_4x1;V1x2_3x2_4x1,8,12,0,0,4;3;2;1,5,31,23,563,037;908;013;093;386;683
Indiana4,primary,data/outputs/analysis/vtrac/Indiana4/Indiana4_vtrac_enhanced_20251221_222521.json,reports/stable/winners_by_date/2025-06-22/Indiana4/Indiana4_vtrac10_winner_702_20251221_222115.html,4,V1x1_3x1_5x1;V1x2_3x1_5x1;V1x4_3x1_5x1;V1x4_3x2_5x2,8,12,0,0,5;4;3;2;1,13,78,13,290,240;024;590;504;204;052,3,V1x1_4x1_5x1;V1x2_4x1_5x1;V1x2_4x2_5x1,8,12,0,0,4;3;2;1,22,167,22,335,240;548;024;590;504;584,2,V3x3_4x1_5x1;V3x3_5x1,8,12,0,0,2;1,21,183,21,440,240;548;024;590;504;584
Michigan4,primary,data/outputs/analysis/vtrac/Michigan4/Michigan4_vtrac_enhanced_20251221_222522.json,reports/stable/winners_by_date/2025-06-22/Michigan4/Michigan4_vtrac3_winner_700_20251221_222118.html,2,V1x1_3x1_4x1;V1x2_3x1,8,12,0,0,2;1,13,186,7,264,792;240;407;709;047;024,3,V3x2_1x1;V3x3;V3x3_5x1,8,12,0,0,3;2;1,17,204,8,312,792;240;407;709;047;024,2,V1x1_3x1_5x1;V3x2_1x1_5x1,8,12,0,0,3;2;1,14,200,6,299,792;240;407;709;047;024
NewJersey4,primary,data/outputs/analysis/vtrac/NewJersey4/NewJersey4_vtrac_enhanced_20251221_222523.json,reports/stable/winners_by_date/2025-06-22/NewJersey4/NewJersey4_vtrac29_winner_887_20251221_222120.html,2,V2x1_3x1_4x1;V2x2_4x2_3x1,8,12,0,0,3;2;1,17,196,17,442,867;687;586;186;681;685,2,V2x2_1x1;V2x2_1x1_4x1,8,12,0,0,4;3;2;1,16,158,13,502,867;687;586;186;681;685,0,,8,12,0,0,,20,207,20,463,867;687;186;681;817;871
NewYork4,primary,data/outputs/analysis/vtrac/NewYork4/NewYork4_vtrac_enhanced_20251221_222524.json,reports/stable/winners_by_date/2025-06-22/NewYork4/NewYork4_vtrac24_winner_968_20251221_222122.html,2,V5x4_2x1;V5x4_2x1_4x1,8,12,0,0,4;3;2;1,15,94,17,524,934;347;943;834;983;734,1,V2x2_4x1_5x1,8,12,0,0,2;1,12,81,16,576,934;347;943;834;983;734,1,V3x2_1x1_5x1,8,12,0,0,2;1,17,100,21,537,934;347;943;834;983;734
NorthCarolina4,primary,data/outputs/analysis/vtrac/NorthCarolina4/NorthCarolina4_vtrac_enhanced_20251221_222524.json,reports/stable/winners_by_date/2025-06-22/NorthCarolina4/NorthCarolina4_vtrac8_winner_153_20251221_222126.html,4,V2x2_4x2_5x1;V2x4_4x3_5x2;V4x3_2x2_5x1;V4x3_2x2_5x2,8,12,0,0,5;4;3;2;1,10,104,14,497,624;386;683;183;681;413,1,V1x1_2x1_4x1,8,12,0,0,1,14,118,20,495,624;386;683;183;681;413,2,V1x2_2x1_5x1;V2x3_1x2_5x1,8,12,0,0,3;2;1,9,103,10,454,624;386;683;183;681;413
Ohio4,primary,data/outputs/analysis/vtrac/Ohio4/Ohio4_vtrac_enhanced_20251221_222525.json,reports/stable/winners_by_date/2025-06-22/Ohio4/Ohio4_vtrac25_winner_199_20251221_222129.html,2,V1x1_2x1_4x1;V1x2_4x1,8,12,0,0,3;2,16,134,27,649,590;059;095;594;908;940,2,V1x1_4x1_5x1;V1x2_4x1,8,12,0,0,2;1,13,128,16,528,590;059;095;594;908;940,3,V1x2_4x1;V1x2_4x2_5x2;V1x3,8,12,0,0,3;2;1,16,134,29,687,590;059;095;594;908;940
OntarioCanada4,primary,data/outputs/analysis/vtrac/OntarioCanada4/OntarioCanada4_vtrac_enhanced_20251221_222526.json,reports/stable/winners_by_date/2025-06-22/OntarioCanada4/OntarioCanada4_vtrac16_winner_616_20251221_222132.html,3,V1x2_5x1;V1x3_5x1;V1x3_5x2_4x1,8,12,0,0,4;3;2;1,18,192,18,320,934;943;590;593;059;093,4,V3x3_5x2_2x1;V3x4_5x3_2x1;V5x2_1x1;V5x2_2x1_3x1,8,12,0,0,5;4;3;2;1,18,190,20,377,934;943;590;593;059;093,2,V3x2_1x1_5x1;V3x2_5x1,8,12,0,0,2;1,16,182,17,317,934;943;590;593;059;093
