results_date,state_key,variant,top_event,priority,watchlist_tags,candidate_alert_ids,promoter_alert_ids,a11_star_level_max,a11_star_score_max,a12_pack_sizes,min_implied_set_size,min_cap_lines,strength_max,decay_min,decay_max,merged_rows_total,merged_hits,merged_any_hit_within_decay,merged_hit_types,merged_any_hit_types
2025-06-21,Pennsylvania4,Combined,CARRY_PERM_HARDLOCK,95,CARRY_PERM_HARDLOCK|ENGINE_GOV|STRAIGHT_GATE|CARRY_PERM_GOV|CARRY_PERM,"A01,A04,A05,A11",A03,2,35.250,,3,3,5,2,3,2,0,N,,
2025-06-21,Indiana4,Combined,ENGINE_GOV,85,ENGINE_GOV|STRAIGHT_GATE,"A01,A05,A10,A11",,2,35.250,,3,3,5,2,3,3,0,N,,
2025-06-21,NewYork4,Combined,ENGINE_GOV,85,ENGINE_GOV|STRAIGHT_GATE|DBL_BA,"A01,A02,A05,A10,A11",A08,2,36.050,,3,0,5,2,3,3,0,N,,
2025-06-21,OntarioCanada4,Combined,ENGINE_GOV,85,ENGINE_GOV,"A01,A02,A11",,2,35.750,,3,6,5,2,3,3,0,N,,
2025-06-21,OntarioCanada4,Evening,CARRY_PERM,70,CARRY_PERM,"A04,A05",,0,0.000,,3,3,4,2,3,2,0,N,,
2025-06-21,Virginia4,Midday,CARRY_PERM,70,CARRY_PERM,"A04,A05",A08,0,0.000,,3,0,4,2,3,2,0,N,,
2025-06-21,Delaware4,Midday,DBL_BA,45,DBL_BA,"A02,A05",A08,0,0.000,,3,0,4,2,2,1,0,N,,
2025-06-21,NewYork4,Evening,DBL_BA,45,DBL_BA,"A02,A04",A08,0,0.000,,3,0,5,2,3,2,0,N,,
2025-06-21,Virginia4,Evening,DBL_BA,45,DBL_BA,A02,A08,0,0.000,,3,0,3,2,2,1,0,N,,
2025-06-21,Florida4,Midday,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A02,A12",,0,0.000,4,3,5,3,2,2,2,1,Y,STRAIGHT,STRAIGHT
2025-06-21,Indiana4,Midday,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A02,A04,A12",,0,0.000,4,3,5,4,2,3,3,0,N,,
2025-06-21,NewYork4,Midday,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A02,A12",,0,0.000,4,3,5,4,2,2,2,0,N,,
2025-06-21,Connecticut4,Midday,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A04,A12",A08,0,0.000,4,4,0,3,2,3,2,0,N,,
2025-06-21,Virginia4,Combined,CLAMP_4,25,CLAMP_4|CLAMP_ANY,A12,A08,0,0.000,4,4,0,3,2,2,1,0,N,,
