State,StateKey,Variant,Current Index,Current Streak,Heat Index,Heat Hazard,Heat Avg Gap,Last Repeat (draws),Last Repeat Index,Max Streak,Window,Winner,Winner VTRAC,Current==WinnerVTRAC
Connecticut,Connecticut4,Combined,21,1,7,0.064,15.6,3,7,2,1000,-,-,False
Michigan,Michigan4,Combined,17,1,30,0.057,17.5,3,6,3,1000,-,-,False
New York,NewYork4,Combined,13,1,12,0.051,19.4,3,3,3,1000,-,-,False
North Carolina,NorthCarolina4,Combined,17,1,30,0.065,15.3,3,12,3,1000,-,-,False
Virginia,Virginia4,Evening,20,1,11,0.064,15.5,3,9,2,1000,016,6,False
Ohio,Ohio4,Midday,10,1,14,0.054,18.4,7,24,3,1000,069,9,False
Florida,Florida4,Evening,22,1,11,0.06,16.7,8,15,2,1000,120,7,False
Indiana,Indiana4,Evening,5,1,30,0.056,17.7,9,12,3,1000,135,8,False
Delaware,Delaware4,Combined,10,1,11,0.062,16.2,11,9,3,1000,-,-,False
Ohio,Ohio4,Evening,34,1,9,0.058,17.2,11,10,3,1000,868,23,False
New York,NewYork4,Evening,13,1,8,0.053,18.7,12,8,2,1000,602,7,False
North Carolina,NorthCarolina4,Midday,10,1,30,0.06,16.5,14,9,2,1000,427,28,False
Florida,Florida4,Midday,33,1,8,0.062,16.0,15,14,3,1000,927,28,False
New Jersey,NewJersey4,Midday,34,1,24,0.058,17.3,16,30,3,1000,182,21,False
New Jersey,NewJersey4,Evening,15,1,8,0.071,14.1,16,7,3,1000,554,5,False
Indiana,Indiana4,Combined,5,1,12,0.061,16.5,17,12,3,1000,-,-,False
Delaware,Delaware4,Evening,10,1,21,0.062,16.0,18,12,3,1000,989,34,False
Ontario,OntarioCanada4,Midday,17,1,22,0.058,17.2,19,12,2,1000,678,21,False
Puerto Rico,PuertoRico4,Combined,32,1,11,0.056,18.0,21,10,3,1000,-,-,False
North Carolina,NorthCarolina4,Evening,17,1,21,0.061,16.3,21,21,3,1000,397,30,False
Michigan,Michigan4,Midday,24,1,24,0.066,15.2,22,5,3,1000,432,30,False
Connecticut,Connecticut4,Evening,21,1,7,0.057,17.5,23,31,3,1000,155,2,False
Ontario,OntarioCanada4,Evening,33,1,12,0.06,16.7,23,31,3,1000,517,7,False
Connecticut,Connecticut4,Midday,24,1,8,0.056,17.7,31,14,3,1000,950,5,False
Florida,Florida4,Combined,22,1,11,0.058,17.3,32,14,2,1000,-,-,False
Michigan,Michigan4,Evening,17,1,11,0.055,18.3,32,30,3,1000,280,11,False
Puerto Rico,PuertoRico4,Evening,32,1,7,0.061,16.3,34,2,2,1000,551,2,False
South Carolina,SouthCarolina4,Midday,31,1,11,0.054,18.5,35,7,3,1000,069,9,False
Ontario,OntarioCanada4,Combined,33,1,12,0.062,16.2,37,12,3,1000,-,-,False
Pennsylvania,Pennsylvania4,Evening,20,1,14,0.06,16.7,37,21,3,1000,360,8,False
Ohio,Ohio4,Combined,34,1,7,0.055,18.2,40,7,2,1000,-,-,False
New York,NewYork4,Midday,11,1,7,0.06,16.6,46,2,2,1000,802,11,True
South Carolina,SouthCarolina4,Combined,12,1,7,0.059,17.1,58,7,2,1000,-,-,False
Pennsylvania,Pennsylvania4,Midday,14,1,11,0.05,20.0,65,12,3,1000,667,17,False
Virginia,Virginia4,Midday,33,1,12,0.064,15.5,67,22,3,1000,473,30,False
Delaware,Delaware4,Midday,26,1,8,0.066,15.1,71,21,2,1000,756,7,False
South Carolina,SouthCarolina4,Evening,12,1,7,0.061,16.4,71,4,3,1000,847,30,False
Indiana,Indiana4,Midday,30,1,14,0.055,18.2,73,11,2,1000,565,2,False
Puerto Rico,PuertoRico4,Midday,12,1,11,0.06,16.6,77,22,3,1000,910,9,False
Virginia,Virginia4,Combined,20,1,12,0.069,14.6,82,28,2,1000,-,-,False
New Jersey,NewJersey4,Combined,15,1,24,0.062,16.2,92,11,2,1000,-,-,False
Pennsylvania,Pennsylvania4,Combined,20,1,21,0.057,17.4,119,9,3,1000,-,-,False
