State,StateKey,Variant,Draws Since Double,Family 1,Family 2,Family 3,Family 4,Family 5,Winner Midday,Winner Evening,Midday Winner In Family,Evening Winner In Family
Puerto Rico,PuertoRico4,Combined,12,1/6-4/9: 669(RC:1000) 199(RM:1000) 466(RM:1000) 669(RM:1000) 114(BE:916) 446(BE:739) 466(BC:714),0/5-3/8: 088(RC:1000) 033(RM:1000) 335(RM:1000) 003(BM:941) 088(BM:821),2/7-4/9: 299(RC:1000) 299(RE:1000) 447(BC:982) 299(BM:950) 447(BM:739) 224(BE:723),3/8-4/9: 334(RC:1000) 399(RC:1000) 334(RM:1000) 448(BE:991) 889(BM:714),0/5-2/7: 022(RE:1000) 077(BM:927) 225(BM:683) 577(BC:673),144,917,False,False
Puerto Rico,PuertoRico4,Midday,10,1/6-4/9: 669(RC:1000) 199(RM:1000) 466(RM:1000) 669(RM:1000) 114(BE:916) 446(BE:739) 466(BC:714),0/5-3/8: 088(RC:1000) 033(RM:1000) 335(RM:1000) 003(BM:941) 088(BM:821),2/7-4/9: 299(RC:1000) 299(RE:1000) 447(BC:982) 299(BM:950) 447(BM:739) 224(BE:723),3/8-4/9: 334(RC:1000) 399(RC:1000) 334(RM:1000) 448(BE:991) 889(BM:714),0/5-2/7: 022(RE:1000) 077(BM:927) 225(BM:683) 577(BC:673),144,917,False,False
Ontario,OntarioCanada4,Combined,7,0/5-4/9: 044(RC:1000) 044(RM:1000) 004(RE:1000) 559(BE:796) 044(BE:694),2/7-4/9: 244(RC:1000) 244(RM:1000) 244(RE:1000) 477(BE:785) 477(BC:705),1/6-4/9: 144(RC:1000) 466(BM:831) 199(BE:827) 446(BM:739) 669(BC:692),2/7-3/8: 778(RC:1000) 778(RE:1000) 228(BM:995),0/5-2/7: 255(RC:1000) 255(BM:945) 007(BC:682),053,816,False,False
Puerto Rico,PuertoRico4,Evening,6,1/6-4/9: 669(RC:1000) 199(RM:1000) 466(RM:1000) 669(RM:1000) 114(BE:916) 446(BE:739) 466(BC:714),0/5-3/8: 088(RC:1000) 033(RM:1000) 335(RM:1000) 003(BM:941) 088(BM:821),2/7-4/9: 299(RC:1000) 299(RE:1000) 447(BC:982) 299(BM:950) 447(BM:739) 224(BE:723),3/8-4/9: 334(RC:1000) 399(RC:1000) 334(RM:1000) 448(BE:991) 889(BM:714),0/5-2/7: 022(RE:1000) 077(BM:927) 225(BM:683) 577(BC:673),144,917,False,False
North Carolina,NorthCarolina4,Combined,5,0/5-4/9: 009(RC:1000) 044(RC:1000) 009(RM:1000) 445(RM:1000) 559(RM:1000) 445(BC:812),3/8-4/9: 344(RE:1000) 488(BM:776) 334(BE:768) 899(BE:758),0/5-1/6: 001(RC:1000) 155(BC:876) 155(BM:782),0/5-2/7: 225(RE:1000) 557(BE:771) 007(BM:731),1/6-3/8: 668(RE:1000) 188(BE:772) 133(BE:749),033,383,False,False
Ohio,Ohio4,Combined,5,1/6-4/9: 114(RC:1000) 466(RM:1000) 669(RM:1000) 114(RE:1000) 446(RE:1000) 699(BM:934) 699(BC:896) 119(BM:748),1/6-3/8: 668(RC:1000) 118(RM:1000) 113(RE:1000) 688(BM:972) 188(BE:797) 188(BC:683),0/5-4/9: 559(RC:1000) 009(RM:1000) 559(BE:994) 455(BE:796) 599(BC:713),2/7-4/9: 224(RC:1000) 229(RC:1000) 224(BE:939) 224(BM:891),0/5-1/6: 066(RC:1000) 066(RM:1000) 556(BM:995),747,133,False,False
Michigan,Michigan4,Midday,5,1/6-2/7: 112(RC:1000) 667(RC:1000) 226(RM:1000) 112(RE:1000) 667(RE:1000) 266(BM:969) 667(BM:866),0/5-1/6: 566(RC:1000) 155(RE:1000) 566(RE:1000) 066(BC:969) 556(BC:917) 566(BM:752),2/7-3/8: 228(RC:1000) 788(RC:1000) 788(RM:1000) 228(BE:757) 288(BE:711),1/6-4/9: 119(RM:1000) 199(RM:1000) 144(BC:905) 114(BM:805) 144(BE:766),0/5-2/7: 225(RC:1000) 077(BC:922) 557(BE:802) 225(BM:695),975,523,False,False
South Carolina,SouthCarolina4,Midday,5,0/5-1/6: 115(RC:1000) 155(RC:1000) 556(RC:1000) 155(RM:1000) 115(RE:1000) 556(RE:1000) 155(BE:834) 556(BM:710),2/7-3/8: 288(RC:1000) 778(RM:1000) 288(RE:1000) 233(BC:998) 778(BC:852) 337(BM:826) 228(BM:808) 377(BC:685),0/5-3/8: 558(RE:1000) 003(BM:817) 033(BC:783) 335(BE:695),1/6-3/8: 366(BC:970) 366(BE:773) 688(BC:738) 688(BE:732) 336(BE:723),2/7-4/9: 224(RM:1000) 477(RE:1000),308,084,False,False
Ohio,Ohio4,Evening,5,1/6-4/9: 114(RC:1000) 466(RM:1000) 669(RM:1000) 114(RE:1000) 446(RE:1000) 699(BM:934) 699(BC:896) 119(BM:748),1/6-3/8: 668(RC:1000) 118(RM:1000) 113(RE:1000) 688(BM:972) 188(BE:797) 188(BC:683),0/5-4/9: 559(RC:1000) 009(RM:1000) 559(BE:994) 455(BE:796) 599(BC:713),2/7-4/9: 224(RC:1000) 229(RC:1000) 224(BE:939) 224(BM:891),0/5-1/6: 066(RC:1000) 066(RM:1000) 556(BM:995),747,133,False,False
Ontario,OntarioCanada4,Evening,5,0/5-4/9: 044(RC:1000) 044(RM:1000) 004(RE:1000) 559(BE:796) 044(BE:694),2/7-4/9: 244(RC:1000) 244(RM:1000) 244(RE:1000) 477(BE:785) 477(BC:705),1/6-4/9: 144(RC:1000) 466(BM:831) 199(BE:827) 446(BM:739) 669(BC:692),2/7-3/8: 778(RC:1000) 778(RE:1000) 228(BM:995),0/5-2/7: 255(RC:1000) 255(BM:945) 007(BC:682),053,816,False,False
Delaware,Delaware4,Midday,4,2/7-3/8: 223(RC:1000) 778(RC:1000) 288(RM:1000) 228(RE:1000) 778(BM:948) 288(BC:832) 778(BE:751) 377(BC:714),0/5-3/8: 088(RE:1000) 355(RE:1000) 033(BC:892) 088(BC:795) 033(BM:784),0/5-4/9: 009(RC:1000) 455(RC:1000) 455(RE:1000) 004(BE:704),0/5-1/6: 566(RE:1000) 066(BM:798) 155(BM:785) 006(BE:772) 155(BC:766),2/7-4/9: 244(RM:1000) 447(BC:959) 229(BE:949),126,076,False,False
North Carolina,NorthCarolina4,Evening,4,0/5-4/9: 009(RC:1000) 044(RC:1000) 009(RM:1000) 445(RM:1000) 559(RM:1000) 445(BC:812),3/8-4/9: 344(RE:1000) 488(BM:776) 334(BE:768) 899(BE:758),0/5-1/6: 001(RC:1000) 155(BC:876) 155(BM:782),0/5-2/7: 225(RE:1000) 557(BE:771) 007(BM:731),1/6-3/8: 668(RE:1000) 188(BE:772) 133(BE:749),033,383,False,False
