results_date,state_key,variant,top_event,priority,watchlist_tags,candidate_alert_ids,promoter_alert_ids,a11_star_level_max,a11_star_score_max,a12_pack_sizes,min_implied_set_size,min_cap_lines,strength_max,decay_min,decay_max,merged_rows_total,merged_hits,merged_any_hit_within_decay,merged_hit_types,merged_any_hit_types
2026-01-02,Michigan4,Combined,CARRY_PERM_HARDLOCK,95,CARRY_PERM_HARDLOCK|ENGINE_GOV|STRAIGHT_GATE|CARRY_PERM_GOV|CARRY_PERM|CLAMP_4|CLAMP_ANY,"A01,A04,A05,A11,A12",A03,2,35.550,4,3,3,5,2,3,3,0,N,,
2026-01-02,Ohio4,Combined,STRAIGHT_GATE,80,STRAIGHT_GATE|DBL_BA,"A02,A05,A11",A08,2,35.450,,3,0,5,2,2,1,0,N,,
2026-01-02,Connecticut4,Midday,CARRY_PERM,70,CARRY_PERM,"A04,A05",,0,0.000,,3,3,4,2,3,2,0,N,,
2026-01-02,Florida4,Evening,CARRY_PERM,70,CARRY_PERM,"A04,A05",,0,0.000,,3,3,4,2,3,2,0,N,,
2026-01-02,OntarioCanada4,Midday,CARRY_PERM,70,CARRY_PERM,"A02,A04,A05",,0,0.000,,3,3,4,2,3,2,0,N,,
2026-01-02,SouthCarolina4,Combined,CARRY_PERM,70,CARRY_PERM,"A04,A05",,0,0.000,,3,3,4,2,3,2,0,N,,
2026-01-02,PuertoRico4,Evening,IDX_ECHO_CLAMP,65,IDX_ECHO_CLAMP|IDX_ECHO_BASE,"A01,A05,A09",,0,0.000,,3,3,4,1,3,3,0,N,,
2026-01-02,Pennsylvania4,Combined,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A05,A12",A08,0,0.000,4,3,0,4,2,2,2,0,N,,
2026-01-02,Connecticut4,Evening,CLAMP_4,25,CLAMP_4|CLAMP_ANY,A12,,0,0.000,4,4,5,3,2,2,1,0,N,,
2026-01-02,Florida4,Combined,CLAMP_4,25,CLAMP_4|CLAMP_ANY,A12,A08,0,0.000,4,4,0,3,2,2,1,0,N,,
2026-01-02,Indiana4,Combined,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A04,A12",A08,0,0.000,4,4,0,3,2,3,2,0,N,,
2026-01-02,SouthCarolina4,Midday,CLAMP_4,25,CLAMP_4|CLAMP_ANY,A12,,0,0.000,4,4,5,3,2,2,1,0,N,,
