State,StateKey,Variant,AlertId,Strength,Suggested,CapLines,DecayDraws,Badges,Canonical,ImpliedSet,Evidence,Winner Midday,Winner Evening,Midday Hits,Evening Hits
Delaware,Delaware4,Midday,A01,4,BOX,12,3,CONS/3V/BA,014,"[""014"",""041"",""104"",""140"",""401"",""410""]","{""tail"":""04"",""col"":""1"",""rowcov"":4,""perm"":2,""ba_score"":2}",126,076,-,-
Michigan,Michigan4,Combined,A01,4,BOX,12,3,CONS/3V,069,"[""069"",""096"",""609"",""690"",""906"",""960""]","{""tail"":""06"",""col"":""1"",""rowcov"":4,""perm"":2,""ba_score"":1}",975,523,-,-
Michigan,Michigan4,Combined,A01,4,BOX,12,3,CONS/3V,069,"[""069"",""096"",""609"",""690"",""906"",""960""]","{""tail"":""06"",""col"":""2"",""rowcov"":4,""perm"":2,""ba_score"":1}",975,523,-,-
Puerto Rico,PuertoRico4,Evening,A01,4,BOX,12,3,CONS/3V,026,"[""026"",""062"",""206"",""260"",""602"",""620""]","{""tail"":""02"",""col"":""1"",""rowcov"":4,""perm"":2,""ba_score"":1}",144,917,-,-
Ontario,OntarioCanada4,Midday,A02,4,STR8_3,6,2,CONS/DBL/A10,022,"[""022"",""202"",""220""]","{""tail"":""22"",""col"":""1"",""rowcov"":4,""perm"":1,""due_doubles_rank"":2,""ba_score"":0}",053,816,-,-
Ontario,OntarioCanada4,Midday,A02,4,STR8_3,6,2,CONS/DBL/A10,022,"[""022"",""202"",""220""]","{""tail"":""22"",""col"":""2"",""rowcov"":4,""perm"":1,""due_doubles_rank"":2,""ba_score"":0}",053,816,-,-
Ohio,Ohio4,Combined,A02,3,STR8_3,6,2,CONS/DBL/BA,055,"[""055"",""505"",""550""]","{""tail"":""55"",""col"":""1"",""rowcov"":4,""perm"":1,""due_doubles_rank"":4,""ba_score"":2}",747,133,-,-
Ohio,Ohio4,Combined,A02,3,STR8_3,6,2,CONS/DBL/BA,055,"[""055"",""505"",""550""]","{""tail"":""55"",""col"":""2"",""rowcov"":4,""perm"":1,""due_doubles_rank"":4,""ba_score"":2}",747,133,-,-
Michigan,Michigan4,Combined,A03,3,OVERLAY,8,2,CONS/XVAR,-,,"{""cons_cross_sections"":2,""tail"":""06"",""col"":""1"",""sections"":[""Combined"",""Midday""]}",975,523,-,-
Connecticut,Connecticut4,Midday,A04,3,BOX,12,3,PERSIST,368,"[""368"",""386"",""638"",""683"",""836"",""863""]","{""persistence_set_count"":2,""rowcov"":3,""ba_score"":1}",970,356,-,-
Delaware,Delaware4,Combined,A04,3,BOX,12,3,PERSIST,245,"[""245"",""254"",""425"",""452"",""524"",""542""]","{""persistence_set_count"":2,""rowcov"":4,""ba_score"":0}",126,076,-,-
Florida,Florida4,Evening,A04,3,BOX,12,3,PERSIST,567,"[""567"",""576"",""657"",""675"",""756"",""765""]","{""persistence_set_count"":2,""rowcov"":4,""ba_score"":1}",862,589,-,-
Indiana,Indiana4,Combined,A04,3,BOX,12,3,PERSIST/BA,367,"[""367"",""376"",""637"",""673"",""736"",""763""]","{""persistence_set_count"":3,""rowcov"":4,""ba_score"":2}",974,359,-,-
Michigan,Michigan4,Combined,A04,3,BOX,12,3,PERSIST,069,"[""069"",""096"",""609"",""690"",""906"",""960""]","{""persistence_set_count"":3,""rowcov"":4,""ba_score"":1}",975,523,-,-
New Jersey,NewJersey4,Midday,A04,3,BOX,12,3,PERSIST,128,"[""128"",""182"",""218"",""281"",""812"",""821""]","{""persistence_set_count"":3,""rowcov"":4,""ba_score"":1}",633,331,-,-
New York,NewYork4,Midday,A04,3,BOX,12,3,PERSIST,026,"[""026"",""062"",""206"",""260"",""602"",""620""]","{""persistence_set_count"":2,""rowcov"":4,""ba_score"":1}",998,256,-,-
North Carolina,NorthCarolina4,Midday,A04,3,BOX,12,3,PERSIST/BA,239,"[""239"",""293"",""329"",""392"",""923"",""932""]","{""persistence_set_count"":3,""rowcov"":2,""ba_score"":2}",033,383,-,-
Ohio,Ohio4,Evening,A04,3,BOX,12,3,PERSIST/BA,068,"[""068"",""086"",""608"",""680"",""806"",""860""]","{""persistence_set_count"":3,""rowcov"":4,""ba_score"":2}",747,133,-,-
