State,StateKey,Variant,AlertId,Strength,Suggested,CapLines,DecayDraws,Badges,Canonical,ImpliedSet,Evidence,Winner Midday,Winner Evening,Midday Hits,Evening Hits
Ontario,OntarioCanada4,Midday,A04,3,BOX,12,3,PERSIST,678,"[""678"",""687"",""768"",""786"",""867"",""876""]","{""persistence_set_count"":2,""rowcov"":4,""ba_score"":0}",053,816,-,-
Pennsylvania,Pennsylvania4,Midday,A04,3,BOX,12,3,PERSIST,579,"[""579"",""597"",""759"",""795"",""957"",""975""]","{""persistence_set_count"":3,""rowcov"":4,""ba_score"":1}",871,360,-,-
Puerto Rico,PuertoRico4,Combined,A04,3,BOX,12,3,PERSIST,136,"[""136"",""163"",""316"",""361"",""613"",""631""]","{""persistence_set_count"":3,""rowcov"":4,""ba_score"":0}",144,917,-,-
South Carolina,SouthCarolina4,Combined,A04,3,BOX,12,3,PERSIST,138,"[""138"",""183"",""318"",""381"",""813"",""831""]","{""persistence_set_count"":3,""rowcov"":3,""ba_score"":0}",308,084,-,-
Virginia,Virginia4,Midday,A04,3,BOX,12,3,PERSIST/BA,137,"[""137"",""173"",""317"",""371"",""713"",""731""]","{""persistence_set_count"":2,""rowcov"":3,""ba_score"":2}",184,765,-,-
Connecticut,Connecticut4,Midday,A05,4,STR8_3,3,2,PERM/HP2,006,"[""006"",""060"",""600""]","{""horiz_span"":2,""orders_modal_value"":""006"",""orders_modal_rows"":4,""lane_size"":3}",970,356,-,-
Delaware,Delaware4,Midday,A05,4,STR8_3,3,2,PERM/HP2,004,"[""004"",""040"",""400""]","{""horiz_span"":2,""orders_modal_value"":""004"",""orders_modal_rows"":4,""lane_size"":3}",126,076,-,-
Florida,Florida4,Evening,A05,4,STR8_3,3,2,PERM/HP3,559,"[""559"",""595"",""955""]","{""horiz_span"":3,""orders_modal_value"":""559"",""orders_modal_rows"":3,""lane_size"":3}",862,589,-,-
Indiana,Indiana4,Evening,A05,4,STR8_3,3,2,PERM/HP6,244,"[""244"",""424"",""442""]","{""horiz_span"":6,""orders_modal_value"":""244"",""orders_modal_rows"":3,""lane_size"":3}",974,359,-,-
Michigan,Michigan4,Combined,A05,4,STR8_3,3,2,PERM/HP3,006,"[""006"",""060"",""600""]","{""horiz_span"":3,""orders_modal_value"":""006"",""orders_modal_rows"":4,""lane_size"":3}",975,523,-,-
New Jersey,NewJersey4,Combined,A05,4,STR8_3,3,2,PERM/HP2,599,"[""599"",""959"",""995""]","{""horiz_span"":2,""orders_modal_value"":""599"",""orders_modal_rows"":3,""lane_size"":3}",633,331,-,-
New York,NewYork4,Evening,A05,4,STR8_3,3,2,PERM/HP7,788,"[""788"",""878"",""887""]","{""horiz_span"":7,""orders_modal_value"":""887"",""orders_modal_rows"":3,""lane_size"":3}",998,256,-,-
North Carolina,NorthCarolina4,Evening,A05,4,STR8_3,3,2,PERM/HP5,044,"[""044"",""404"",""440""]","{""horiz_span"":5,""orders_modal_value"":""044"",""orders_modal_rows"":4,""lane_size"":3}",033,383,-,-
Ohio,Ohio4,Combined,A05,4,STR8_3,3,2,PERM/HP7,055,"[""055"",""505"",""550""]","{""horiz_span"":7,""orders_modal_value"":""055"",""orders_modal_rows"":4,""lane_size"":3}",747,133,-,-
Ontario,OntarioCanada4,Midday,A05,4,STR8_3,3,2,PERM/HP2,022,"[""022"",""202"",""220""]","{""horiz_span"":2,""orders_modal_value"":""022"",""orders_modal_rows"":4,""lane_size"":3}",053,816,-,-
Pennsylvania,Pennsylvania4,Combined,A05,4,STR8_3,3,2,PERM/HP4,559,"[""559"",""595"",""955""]","{""horiz_span"":4,""orders_modal_value"":""559"",""orders_modal_rows"":3,""lane_size"":3}",871,360,-,-
Puerto Rico,PuertoRico4,Evening,A05,4,STR8_3,3,2,PERM/HP2,002,"[""002"",""020"",""200""]","{""horiz_span"":2,""orders_modal_value"":""002"",""orders_modal_rows"":4,""lane_size"":3}",144,917,-,-
South Carolina,SouthCarolina4,Combined,A05,4,STR8_3,3,2,PERM/HP2,008,"[""008"",""080"",""800""]","{""horiz_span"":2,""orders_modal_value"":""008"",""orders_modal_rows"":4,""lane_size"":3}",308,084,-,-
Virginia,Virginia4,Combined,A05,4,STR8_3,3,2,PERM/HP7,224,"[""224"",""242"",""422""]","{""horiz_span"":7,""orders_modal_value"":""224"",""orders_modal_rows"":4,""lane_size"":3}",184,765,-,-
North Carolina,NorthCarolina4,Evening,A08,4,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":4,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",033,383,-,-
Delaware,Delaware4,Midday,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",126,076,-,-
Florida,Florida4,Combined,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",862,589,-,-
Indiana,Indiana4,Combined,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",974,359,-,-
New Jersey,NewJersey4,Combined,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",633,331,-,-
New Jersey,NewJersey4,Evening,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",633,331,-,-
New York,NewYork4,Combined,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",998,256,-,-
New York,NewYork4,Evening,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",998,256,-,-
North Carolina,NorthCarolina4,Combined,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",033,383,-,-
Ohio,Ohio4,Combined,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",747,133,-,-
Ohio,Ohio4,Evening,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",747,133,-,-
Pennsylvania,Pennsylvania4,Combined,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",871,360,-,-
Pennsylvania,Pennsylvania4,Evening,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",871,360,-,-
Virginia,Virginia4,Combined,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",184,765,-,-
Virginia,Virginia4,Midday,A08,3,OVERLAY,0,2,BA/TEMPO,-,,"{""ba_score"":2,""pairs_remaining"":0,""promoter_only"":1,""requires_base_box"":1}",184,765,-,-
Puerto Rico,PuertoRico4,Evening,A09,4,STR8_8,8,1,VTRAC/REP,-,"[""134"",""139"",""184"",""189"",""634"",""639"",""684"",""689""]","{""current_index"":24,""current_streak"":2,""vcode"":""v245"",""lane_size"":8}",144,917,-,-
Puerto Rico,PuertoRico4,Combined,A10,4,STR8_3,3,3,DBL/RANK1,088,"[""088"",""808"",""880""]","{""due_doubles_rank"":1,""due_doubles_canonical"":""088"",""due_doubles_gap"":1000,""due_doubles_unseen"":true,""due_doubles_family"":""0/5-3/8""}",144,917,-,-
North Carolina,NorthCarolina4,Combined,A10,3,STR8_3,3,3,DBL/RANK3,001,"[""001"",""010"",""100""]","{""due_doubles_rank"":3,""due_doubles_canonical"":""001"",""due_doubles_gap"":1000,""due_doubles_unseen"":true,""due_doubles_family"":""0/5-1/6""}",033,383,-,-
Ontario,OntarioCanada4,Combined,A10,3,STR8_3,3,3,DBL/RANK2,255,"[""255"",""525"",""552""]","{""due_doubles_rank"":2,""due_doubles_canonical"":""255"",""due_doubles_gap"":1000,""due_doubles_unseen"":true,""due_doubles_family"":""0/5-2/7""}",053,816,-,-
Michigan,Michigan4,Combined,A11,5,BOX,12,2,HOT/CONS,069,"[""069"",""096"",""609"",""690"",""906"",""960""]","{""triad"":""358"",""col"":""1"",""evidence_tags"":""col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"",""star_level"":2,""a11_star_score"":35.55}",975,523,-,-
Ohio,Ohio4,Combined,A11,5,BOX,12,2,HOT/CONS,-,,"{""triad"":""467"",""col"":""1"",""evidence_tags"":""col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"",""star_level"":2,""a11_star_score"":35.45}",747,133,-,-
Connecticut,Connecticut4,Evening,A12,3,STR8_4of8,5,2,PERM/CLAMP,388,"[""833"",""838"",""883"",""888""]","{""order_dominance"":0.75,""orders_modal_value"":""883"",""orders_modal_rows"":3,""rowcov"":4,""clamp_rule"":""STR8_4of8:first_digit"",""lane_size"":4}",970,356,-,-
Florida,Florida4,Combined,A12,3,STR8_4of8,5,2,PERM/CLAMP,466,"[""614"",""619"",""664"",""669""]","{""order_dominance"":0.75,""orders_modal_value"":""664"",""orders_modal_rows"":3,""rowcov"":4,""clamp_rule"":""STR8_4of8:first_digit"",""lane_size"":4}",862,589,-,-
Indiana,Indiana4,Combined,A12,3,STR8_4of8,5,2,PERM/CLAMP,677,"[""622"",""627"",""672"",""677""]","{""order_dominance"":0.75,""orders_modal_value"":""677"",""orders_modal_rows"":3,""rowcov"":4,""clamp_rule"":""STR8_4of8:first_digit"",""lane_size"":4}",974,359,-,-
Michigan,Michigan4,Combined,A12,3,STR8_4of8,5,2,PERM/CLAMP,069,"[""014"",""019"",""064"",""069""]","{""order_dominance"":0.75,""orders_modal_value"":""096"",""orders_modal_rows"":3,""rowcov"":4,""clamp_rule"":""STR8_4of8:first_digit"",""lane_size"":4}",975,523,-,-
Pennsylvania,Pennsylvania4,Combined,A12,3,STR8_4of8,5,2,PERM/CLAMP,559,"[""504"",""509"",""554"",""559""]","{""order_dominance"":0.75,""orders_modal_value"":""559"",""orders_modal_rows"":3,""rowcov"":4,""clamp_rule"":""STR8_4of8:first_digit"",""lane_size"":4}",871,360,-,-
South Carolina,SouthCarolina4,Midday,A12,3,STR8_4of8,5,2,PERM/CLAMP,008,"[""003"",""008"",""053"",""058""]","{""order_dominance"":0.75,""orders_modal_value"":""008"",""orders_modal_rows"":3,""rowcov"":4,""clamp_rule"":""STR8_4of8:first_digit"",""lane_size"":4}",308,084,-,-
