section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Combined,Set1,Draw5,1,22,1,1,0.0,3,1.0,False,False,False,False,False,True,False,1,2,1,2,0,0,1,0,147:1,471:1,2,3,0,0.0,0,1,0,0,0,1,0.0,0,1,0,0,0.0,8.0,25.5,1,False,False,976,199,True,True,False
Midday,Set2,Draw1,7,22,1,1,0.0,1,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,1147:1;147:1,4711:1;471:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,4,0,1,0.0,8.0,25.5,1,True,False,976,199,True,True,False
Evening,Set1,Draw3,5,22,2,1,0.0,1,0.0,False,False,False,False,False,False,False,1,3,1,3,0,0,0,0,147:1;246:1,471:1;624:1,4,1,0,0.0,0,0,0,0,0,0,0.0,0,2,1,0,0.0,8.0,25.5,2,False,False,976,199,True,True,False
Evening,Set3,Draw1,7,22,1,1,0.0,2,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,446677:1;44677:1;44667:1,664477:1;64477:1;66447:1,2,2,0,0.0,0,0,0,0,0,0,0.0,0,0,4,0,0.0,8.0,25.5,3,False,False,976,199,True,True,False
Evening,Set2,Draw1,7,25,1,1,0.0,1,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,446:1,644:1,2,1,0,0.0,0,0,0,0,0,0,0.0,1,2,1,1,0.0,8.0,26.5,2,True,False,976,199,True,True,True
Evening,Set1,Draw1,5,22,1,1,0.0,3,1.0,False,False,False,False,False,False,False,1,3,1,3,0,1,0,0,147:1,471:1,2,3,0,0.0,0,1,0,0,0,0,0.0,0,2,0,0,0.0,8.0,25.5,1,False,False,976,199,True,True,False
Combined,Set1,Draw5,2,22,1,1,0.0,3,1.0,False,False,False,False,False,True,False,1,2,1,2,0,0,1,0,147:1,471:1,2,3,0,0.0,0,1,0,0,0,1,0.0,0,1,0,0,0.0,8.0,25.5,1,False,False,976,199,True,True,False
Midday,Set1,Draw4,4,25,1,1,0.0,1,0.0,False,False,False,False,False,False,True,1,3,1,3,1,0,0,0,199:1,199:1,2,1,0,0.0,0,0,0,0,0,0,0.5,1,2,1,0,0.0,7.5,26.5,2,False,False,976,199,True,True,True
Midday,Set3,Draw1,6,22,1,1,0.0,2,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,1129:1;129:1,1192:1;192:1,2,2,0,0.0,0,0,0,0,0,0,0.0,0,2,1,0,0.0,7.0,25.5,2,False,False,976,199,True,True,False
Midday,Set3,Draw1,5,22,1,1,0.0,2,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,1129:1;129:1,1192:1;192:1,2,2,0,0.0,0,0,0,0,0,0,0.0,0,2,0,1,0.0,7.0,25.5,1,True,False,976,199,True,True,False
Evening,Set1,Draw1,6,22,1,1,0.0,3,0.0,False,False,False,False,False,False,False,1,3,1,3,0,0,0,0,147:1;1447:1,471:1;4471:1,2,3,0,0.0,0,0,0,0,0,0,0.0,0,2,0,0,0.0,7.0,25.5,1,False,False,976,199,True,True,False
Combined,Set1,Draw7,1,22,1,1,0.0,1,0.0,False,False,False,False,False,True,False,2,1,2,1,0,0,0,0,114477:1;1477:1;14477:1,447711:1;4771:1;44771:1,2,1,0,0.0,0,0,0,0,0,1,0.0,0,2,1,0,0.0,7.0,25.5,2,False,False,976,199,True,True,False
Combined,Set1,Draw6,1,25,1,1,0.0,2,1.0,False,False,False,False,False,True,False,1,1,1,1,0,1,0,0,144:1,441:1,2,2,0,0.0,0,1,0,0,0,1,0.0,1,0,0,0,0.0,7.0,26.5,1,False,False,976,199,True,True,True
Combined,Set1,Draw5,3,22,1,1,0.0,3,0.0,False,False,False,False,False,True,False,1,2,1,2,0,0,0,0,147:1,471:1,2,3,0,0.0,0,0,0,0,0,1,0.0,0,1,0,0,0.0,7.0,25.5,1,False,False,976,199,True,True,False
Evening,Set1,Draw1,7,22,1,1,0.0,3,0.0,False,False,False,False,False,False,False,1,3,1,3,0,0,0,0,147:1;1447:1;11447:1,471:1;4471:1;44711:1,2,3,0,0.0,0,0,0,0,0,0,0.0,0,2,0,0,0.0,7.0,25.5,1,False,False,976,199,True,True,False
Evening,Set1,Draw7,1,22,2,1,0.0,1,0.0,False,False,False,False,False,True,False,1,1,1,1,0,0,0,0,1477:1;246:1,4771:1;624:1,4,1,0,0.0,0,0,0,0,0,1,0.0,0,0,1,0,0.0,7.0,25.5,2,False,False,976,199,True,True,False
Combined,Set1,Draw6,2,25,1,1,0.0,2,0.0,False,False,False,False,False,True,False,1,1,1,1,0,0,0,0,144:1,441:1,2,2,0,0.0,0,0,0,0,0,1,0.0,1,0,0,0,0.0,6.0,26.5,1,False,False,976,199,True,True,True
Combined,Set3,Draw1,2,25,1,1,0.0,1,1.0,False,False,False,False,False,True,False,1,1,1,1,0,1,0,0,699:1,996:1,2,1,0,0.0,0,1,0,0,0,1,0.0,1,0,0,0,0.0,6.0,26.5,1,False,False,976,199,True,True,True
Evening,Set1,Draw2,5,22,1,1,0.0,2,0.0,False,False,False,False,False,False,False,1,3,1,3,0,0,0,0,147:1,471:1,2,2,0,0.0,0,0,0,0,0,0,0.0,0,2,0,0,0.0,6.0,25.5,1,False,False,976,199,True,True,False
Evening,Set1,Draw2,6,22,1,1,0.0,2,0.0,False,False,False,False,False,False,False,1,3,1,3,0,0,0,0,147:1;1447:1,471:1;4471:1,2,2,0,0.0,0,0,0,0,0,0,0.0,0,2,0,0,0.0,6.0,25.5,1,False,False,976,199,True,True,False
Midday,Set2,Draw1,5,22,1,1,0.0,1,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,1129:1;129:1,1192:1;192:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,2,0,1,0.0,6.0,25.5,1,True,False,976,199,True,True,False
Midday,Set1,Draw7,1,25,1,1,0.0,1,0.0,False,False,False,False,False,True,True,1,1,1,1,1,0,0,0,446:1,644:1,2,1,0,0.0,0,0,0,0,0,1,0.5,1,0,0,0,0.0,5.5,26.5,1,False,False,976,199,True,True,True
Evening,Set3,Draw1,6,22,1,1,0.0,2,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,44677:1;4467:1,64477:1;6447:1,2,2,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,5.0,25.5,2,False,False,976,199,True,True,False
Midday,Set1,Draw4,4,22,1,1,0.0,1,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,11477:1;1477:1,47711:1;4771:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,3.0,25.5,1,False,False,976,199,True,True,False
