results_date,state_key,variant,top_event,priority,watchlist_tags,candidate_alert_ids,promoter_alert_ids,a11_star_level_max,a11_star_score_max,a12_pack_sizes,min_implied_set_size,min_cap_lines,strength_max,decay_min,decay_max,merged_rows_total,merged_hits,merged_any_hit_within_decay,merged_hit_types,merged_any_hit_types
2025-12-30,Connecticut4,Combined,ENGINE_GOV,85,ENGINE_GOV,"A01,A11",A08,2,35.950,,3,0,5,2,3,2,0,N,,
2025-12-30,SouthCarolina4,Combined,ENGINE_GOV,85,ENGINE_GOV|STRAIGHT_GATE|CARRY_PERM_GOV|CARRY_PERM,"A01,A04,A05,A10,A11",,2,34.950,,3,3,5,2,3,5,0,N,,
2025-12-30,NewJersey4,Combined,STRAIGHT_GATE,80,STRAIGHT_GATE,"A02,A05,A11",,2,35.850,,3,3,5,2,2,1,0,N,,
2025-12-30,NorthCarolina4,Combined,STRAIGHT_GATE,80,STRAIGHT_GATE,"A02,A05,A11",,2,36.750,,3,3,5,2,2,1,0,N,,
2025-12-30,Connecticut4,Evening,CARRY_PERM,70,CARRY_PERM|DBL_BA|CLAMP_4|CLAMP_ANY,"A02,A04,A05,A12",A08,0,0.000,4,3,0,4,2,3,3,0,N,,
2025-12-30,Indiana4,Combined,CARRY_PERM,70,CARRY_PERM,"A04,A05",A08,0,0.000,,3,0,4,2,3,2,0,N,,
2025-12-30,Virginia4,Evening,CARRY_PERM,70,CARRY_PERM,"A04,A05",,0,0.000,,3,3,4,2,3,2,0,N,,
2025-12-30,OntarioCanada4,Midday,DBL_BA,45,DBL_BA,"A02,A05",A08,0,0.000,,3,0,4,2,2,1,0,N,,
2025-12-30,PuertoRico4,Evening,DBL_BA,45,DBL_BA,"A02,A04",A08,0,0.000,,3,0,4,2,3,2,0,N,,
2025-12-30,Delaware4,Evening,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A05,A12",A08,0,0.000,4,3,0,4,2,2,2,0,N,,
2025-12-30,PuertoRico4,Midday,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A05,A12",,0,0.000,4,3,3,4,2,2,2,0,N,,
2025-12-30,Pennsylvania4,Evening,CLAMP_4,25,CLAMP_4|CLAMP_ANY,A12,,0,0.000,4,4,5,3,2,2,1,0,N,,
2025-12-30,Virginia4,Midday,CLAMP_4,25,CLAMP_4|CLAMP_ANY,A12,A08,0,0.000,4,4,0,3,2,2,1,0,N,,
