State,StateKey,Variant,Draws Since Double,Family 1,Family 2,Family 3,Family 4,Family 5,Winner Midday,Winner Evening,Midday Winner In Family,Evening Winner In Family
Delaware,Delaware4,Combined,2,2/7-3/8: 223(RC:1000) 778(RC:1000) 288(RM:1000) 228(RE:1000) 778(BM:945) 337(BC:841) 288(BC:826) 778(BE:748) 377(BC:708),0/5-3/8: 088(RE:1000) 355(RE:1000) 033(BC:886) 088(BC:789) 033(BM:781),0/5-4/9: 009(RC:1000) 455(RC:1000) 455(RE:1000) 004(BE:701),0/5-1/6: 566(RE:1000) 066(BM:795) 155(BM:782) 006(BE:769) 155(BC:760),2/7-4/9: 244(RM:1000) 447(BC:953) 229(BE:946),706,563,False,False
New York,NewYork4,Combined,2,0/5-1/6: 001(RC:1000) 011(RM:1000) 066(RM:1000) 001(BM:993) 566(BE:972) 115(BC:837) 001(BE:791),2/7-3/8: 337(RC:1000) 788(RE:1000) 337(BM:826) 223(BM:721),2/7-4/9: 244(RM:1000) 447(RE:1000) 244(BC:976),0/5-2/7: 007(RE:1000) 577(BC:689),0/5-4/9: 599(RE:1000) 044(BM:797),051,132,False,False
Pennsylvania,Pennsylvania4,Combined,2,3/8-4/9: 448(RC:1000) 448(RE:1000) 399(BM:771) 344(BE:764) 448(BM:748) 339(BE:696) 344(BC:685),0/5-2/7: 255(RC:1000) 007(RE:1000) 255(BM:932) 255(BE:886) 007(BC:873),0/5-1/6: 556(RM:1000) 066(BC:990) 066(BM:737) 155(BE:685),2/7: 277(RC:1000) 277(RM:1000) 277(BE:700),2/7-3/8: 228(RC:1000) 788(RE:1000) 288(BM:961),186,173,False,False
Michigan,Michigan4,Midday,2,1/6-2/7: 112(RC:1000) 667(RC:1000) 226(RM:1000) 112(RE:1000) 667(RE:1000) 266(BM:966) 667(BM:863),0/5-1/6: 566(RC:1000) 155(RE:1000) 566(RE:1000) 066(BC:963) 556(BC:911) 566(BM:749),2/7-3/8: 228(RC:1000) 788(RC:1000) 788(RM:1000) 228(BE:754) 288(BE:708),1/6-4/9: 119(RM:1000) 199(RM:1000) 144(BC:899) 114(BM:802) 144(BE:763),0/5-2/7: 225(RC:1000) 077(BC:916) 557(BE:799) 225(BM:692),250,214,False,False
South Carolina,SouthCarolina4,Midday,2,0/5-1/6: 115(RC:1000) 155(RC:1000) 556(RC:1000) 155(RM:1000) 115(RE:1000) 556(RE:1000) 155(BE:831) 556(BM:707),2/7-3/8: 288(RC:1000) 778(RM:1000) 288(RE:1000) 233(BC:992) 778(BC:846) 337(BM:823) 228(BM:805) 377(BC:679),0/5-3/8: 558(RE:1000) 003(BM:814) 033(BC:777) 335(BE:692),1/6-3/8: 366(BC:964) 366(BE:770) 688(BC:732) 688(BE:729) 336(BE:720),2/7-4/9: 224(RM:1000) 477(RE:1000),754,976,False,False
Michigan,Michigan4,Evening,2,1/6-2/7: 112(RC:1000) 667(RC:1000) 226(RM:1000) 112(RE:1000) 667(RE:1000) 266(BM:966) 667(BM:863),0/5-1/6: 566(RC:1000) 155(RE:1000) 566(RE:1000) 066(BC:963) 556(BC:911) 566(BM:749),2/7-3/8: 228(RC:1000) 788(RC:1000) 788(RM:1000) 228(BE:754) 288(BE:708),1/6-4/9: 119(RM:1000) 199(RM:1000) 144(BC:899) 114(BM:802) 144(BE:763),0/5-2/7: 225(RC:1000) 077(BC:916) 557(BE:799) 225(BM:692),250,214,False,False
Ohio,Ohio4,Evening,2,1/6-4/9: 114(RC:1000) 466(RM:1000) 669(RM:1000) 114(RE:1000) 446(RE:1000) 699(BM:931) 699(BC:890) 119(BM:745),1/6-3/8: 668(RC:1000) 118(RM:1000) 113(RE:1000) 688(BM:969) 188(BE:794) 188(BC:677),0/5-4/9: 559(RC:1000) 009(RM:1000) 559(BE:991) 455(BE:793) 599(BC:707),2/7-4/9: 224(RC:1000) 229(RC:1000) 224(BE:936) 224(BM:888),0/5-1/6: 066(RC:1000) 066(RM:1000) 556(BM:992),338,327,False,False
Ontario,OntarioCanada4,Evening,2,0/5-4/9: 044(RC:1000) 044(RM:1000) 004(RE:1000) 559(BE:793) 044(BE:691),2/7-4/9: 244(RC:1000) 244(RM:1000) 244(RE:1000) 477(BE:782) 477(BC:699),1/6-4/9: 144(RC:1000) 466(BM:828) 199(BE:824) 446(BM:736) 669(BC:686),2/7-3/8: 778(RC:1000) 778(RE:1000) 228(BM:992),0/5-2/7: 255(RC:1000) 255(BM:942) 007(BC:676),409,372,False,False
Florida,Florida4,Combined,1,0/5-3/8: 588(RC:1000) 003(RM:1000) 008(RM:1000) 335(BC:692),3/8-4/9: 889(RC:1000) 488(RM:1000) 889(BE:918) 339(BM:868) 448(BE:779),0/5-4/9: 009(RC:1000) 455(RC:1000) 009(BE:769) 455(BM:734),0/5-1/6: 011(RM:1000) 566(RE:1000) 155(BC:681),0/5-2/7: 077(RC:1000) 557(BM:981) 022(BE:847) 077(BE:812),377,870,False,False
Indiana,Indiana4,Combined,1,1/6-2/7: 177(RC:1000) 226(RE:1000) 677(BM:913) 117(BE:866) 266(BM:766) 667(BC:751) 177(BM:727),0/5-2/7: 002(RC:1000) 022(RE:1000) 002(BE:798) 007(BC:699) 022(BC:677),0/5-4/9: 559(RC:1000) 559(RM:1000) 559(BE:865) 445(BM:806) 009(BE:787),2/7-4/9: 477(RM:1000) 447(BC:734) 779(BE:726) 244(BC:720) 779(BC:715) 224(BE:676),2/7: 277(RC:1000) 277(RE:1000),585,512,False,False
North Carolina,NorthCarolina4,Combined,1,0/5-4/9: 009(RC:1000) 044(RC:1000) 009(RM:1000) 445(RM:1000) 559(RM:1000) 445(BC:806),3/8-4/9: 344(RE:1000) 488(BM:773) 334(BE:765) 899(BE:755),0/5-1/6: 001(RC:1000) 155(BC:870) 155(BM:779),0/5-2/7: 225(RE:1000) 557(BE:768) 007(BM:728),1/6-3/8: 668(RE:1000) 188(BE:769) 133(BE:746),455,879,False,False
Ontario,OntarioCanada4,Combined,1,0/5-4/9: 044(RC:1000) 044(RM:1000) 004(RE:1000) 559(BE:793) 044(BE:691),2/7-4/9: 244(RC:1000) 244(RM:1000) 244(RE:1000) 477(BE:782) 477(BC:699),1/6-4/9: 144(RC:1000) 466(BM:828) 199(BE:824) 446(BM:736) 669(BC:686),2/7-3/8: 778(RC:1000) 778(RE:1000) 228(BM:992),0/5-2/7: 255(RC:1000) 255(BM:942) 007(BC:676),409,372,False,False
Delaware,Delaware4,Midday,1,2/7-3/8: 223(RC:1000) 778(RC:1000) 288(RM:1000) 228(RE:1000) 778(BM:945) 337(BC:841) 288(BC:826) 778(BE:748) 377(BC:708),0/5-3/8: 088(RE:1000) 355(RE:1000) 033(BC:886) 088(BC:789) 033(BM:781),0/5-4/9: 009(RC:1000) 455(RC:1000) 455(RE:1000) 004(BE:701),0/5-1/6: 566(RE:1000) 066(BM:795) 155(BM:782) 006(BE:769) 155(BC:760),2/7-4/9: 244(RM:1000) 447(BC:953) 229(BE:946),706,563,False,False
Ohio,Ohio4,Midday,1,1/6-4/9: 114(RC:1000) 466(RM:1000) 669(RM:1000) 114(RE:1000) 446(RE:1000) 699(BM:931) 699(BC:890) 119(BM:745),1/6-3/8: 668(RC:1000) 118(RM:1000) 113(RE:1000) 688(BM:969) 188(BE:794) 188(BC:677),0/5-4/9: 559(RC:1000) 009(RM:1000) 559(BE:991) 455(BE:793) 599(BC:707),2/7-4/9: 224(RC:1000) 229(RC:1000) 224(BE:936) 224(BM:888),0/5-1/6: 066(RC:1000) 066(RM:1000) 556(BM:992),338,327,False,False
Virginia,Virginia4,Midday,1,1/6-4/9: 699(RC:1000) 199(RM:1000) 699(RE:1000) 699(BM:839) 119(BC:798) 446(BM:703),2/7-3/8: 377(RC:1000) 778(RC:1000) 778(RE:1000) 223(BM:924) 377(BM:909) 778(BM:676),0/5-1/6: 115(RM:1000) 566(RM:1000) 001(BC:939) 556(BC:895) 001(BE:846),0/5-4/9: 445(RC:1000) 599(RC:1000) 004(RM:1000) 445(BE:742),1/6-2/7: 177(RM:1000) 667(RM:1000) 677(BM:894) 677(BC:878) 122(BE:805),888,100,False,True
Delaware,Delaware4,Evening,1,2/7-3/8: 223(RC:1000) 778(RC:1000) 288(RM:1000) 228(RE:1000) 778(BM:945) 337(BC:841) 288(BC:826) 778(BE:748) 377(BC:708),0/5-3/8: 088(RE:1000) 355(RE:1000) 033(BC:886) 088(BC:789) 033(BM:781),0/5-4/9: 009(RC:1000) 455(RC:1000) 455(RE:1000) 004(BE:701),0/5-1/6: 566(RE:1000) 066(BM:795) 155(BM:782) 006(BE:769) 155(BC:760),2/7-4/9: 244(RM:1000) 447(BC:953) 229(BE:946),706,563,False,False
Florida,Florida4,Evening,1,0/5-3/8: 588(RC:1000) 003(RM:1000) 008(RM:1000) 335(BC:692),3/8-4/9: 889(RC:1000) 488(RM:1000) 889(BE:918) 339(BM:868) 448(BE:779),0/5-4/9: 009(RC:1000) 455(RC:1000) 009(BE:769) 455(BM:734),0/5-1/6: 011(RM:1000) 566(RE:1000) 155(BC:681),0/5-2/7: 077(RC:1000) 557(BM:981) 022(BE:847) 077(BE:812),377,870,False,False
