section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Midday,11788,21.0,18.0,15.0,1,4,0,False,1,0,0,0,0,0,0,8,boxed|cov2|hp_repeat3|hot1|perm2|draw_chain4;boxed|cov2|hp_repeat3|perm2|draw_chain4,draw_chain4|hot1x1
Midday,114455,9.0,18.0,14.5,1,1,0,False,0,1,0,0,0,2,0,2,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight;straight|cov1|hp_repeat2|hidden3v|vtrac_straight,draw_chain1|hot2x1|vstrx2
Midday,03568,8.0,18.0,14.5,1,1,0,False,1,0,1,0,0,2,0,2,straight|cov1|hp_repeat2|mirror|hot1|hidden3v|vtrac_straight;straight|cov1|hp_repeat2|mirror|hidden3v|vtrac_straight,draw_chain1|col1x1|hot1x1|vstrx2
Midday,01157,7.0,18.0,14.5,1,1,0,False,1,0,1,0,0,2,0,2,straight|cov1|hp_repeat2|mirror|hot1|hidden3v|vtrac_straight;straight|cov1|hp_repeat2|mirror|hidden3v|vtrac_straight,draw_chain1|col1x1|hot1x1|vstrx2
Midday,01557,7.0,18.0,14.5,1,1,0,False,1,0,1,0,0,2,0,2,straight|cov1|hp_repeat2|mirror|hot1|hidden3v|vtrac_straight;straight|cov1|hp_repeat2|mirror|hidden3v|vtrac_straight,draw_chain1|col1x1|hot1x1|vstrx2
Midday,234,30.0,18.0,14.0,1,4,0,False,2,0,0,0,0,0,0,4,straight|cov2|vstr2|hot1|draw_chain4;straight|cov2|vstr2|hot1|draw_chain4,draw_chain4|hot1x2
Midday,233488,30.0,18.0,14.0,1,4,0,False,2,0,0,0,0,0,0,4,straight|cov1|mirror|hot1|draw_chain4;straight|cov1|mirror|hot1|draw_chain4,draw_chain4|hot1x2
Midday,1368,18.0,18.0,13.5,1,2,0,False,1,0,2,0,0,1,0,3,boxed|cov2|hp_repeat2|mirror|hot1|perm2|hidden3v|draw_chain2;boxed|cov2|hp_repeat2|mirror|perm2|hidden3v|draw_chain2,draw_chain2|col1x2|hot1x1|vstrx1
Midday,1124,22.0,18.0,13.0,1,4,0,False,3,0,0,0,0,0,0,9,straight|cov1|hp_repeat3|hot1|draw_chain4;straight|cov1|hp_repeat3|hot1|draw_chain4,draw_chain4|hot1x3
Midday,245,12.0,18.0,13.0,1,4,0,False,3,0,0,0,0,0,0,9,boxed|cov2|hp_repeat3|hot1|perm2|draw_chain4;boxed|cov2|hp_repeat3|hot1|perm2|draw_chain4,draw_chain4|hot1x3
Midday,2233588,11.0,17.5,15.0,1,3,0,False,1,0,0,0,0,0,0,5,straight|cov1|hp_repeat2|mirror|hot1|draw_chain3;straight|cov1|hp_repeat2|mirror|draw_chain3,draw_chain3|hot1x1
