State,StateKey,Variant,Draws Since Double,Family 1,Family 2,Family 3,Family 4,Family 5,Winner Midday,Winner Evening,Midday Winner In Family,Evening Winner In Family
New York,NewYork4,Evening,15,0/5-1/6: 001(RC:1000) 011(RC:1000) 066(RC:1000) 011(RM:1000) 066(RE:1000) 066(BM:958) 011(BE:858) 001(BM:803) 566(BE:782),0/5-3/8: 355(RC:1000) 558(RM:1000) 008(RE:1000) 355(BE:931),1/6-2/7: 677(RC:1000) 117(RM:1000) 677(RM:1000),2/7-4/9: 244(RM:1000) 447(RE:1000) 477(BM:982) 477(BC:694),1/6-4/9: 446(RC:1000) 446(RM:1000) 446(BE:781),638,767,False,True
Michigan,Michigan4,Midday,6,1/6-2/7: 667(RC:1000) 226(RM:1000) 112(RE:1000) 667(RE:1000) 266(BM:776) 677(BC:755) 112(BC:697) 677(BE:694) 667(BM:673),0/5-1/6: 566(RC:1000) 155(RE:1000) 566(RE:1000) 001(BM:998) 001(BC:980),2/7-4/9: 224(RM:1000) 299(RM:1000) 299(BC:946) 244(BE:822) 447(BE:820),0/5-3/8: 088(RC:1000) 003(RE:1000) 033(BC:808),2/7-3/8: 788(RM:1000) 228(BC:723) 778(BE:723) 788(BC:670),392,964,False,False
Puerto Rico,PuertoRico4,Midday,6,0/5-3/8: 335(RC:1000) 033(RM:1000) 335(RM:1000) 558(BM:953) 003(BM:779) 088(BC:718),1/6-4/9: 199(RM:1000) 466(RM:1000) 669(RM:1000) 114(BE:754) 669(BC:704),2/7-4/9: 299(RC:1000) 799(RE:1000) 229(BE:850) 299(BE:840) 299(BM:788) 229(BC:771),0/5-2/7: 007(RE:1000) 022(RE:1000) 225(BC:840) 077(BC:838) 077(BM:765),3/8-4/9: 334(RM:1000) 334(BC:968) 448(BE:829) 344(BC:808) 344(BM:783) 399(BC:769),858,454,False,False
North Carolina,NorthCarolina4,Combined,5,0/5-4/9: 455(RC:1000) 559(RC:1000) 009(RM:1000) 445(RM:1000) 559(RM:1000) 559(RE:1000) 455(BE:856) 004(BC:772) 044(BC:693),3/8-4/9: 334(RC:1000) 344(RC:1000) 344(RE:1000) 344(BM:830),1/6-2/7: 177(RC:1000) 177(RE:1000) 677(BC:697) 226(BC:683),1/6-3/8: 188(RC:1000) 688(RM:1000) 668(BE:970) 188(BM:823),2/7-3/8: 223(RC:1000) 778(BE:986) 228(BC:824) 377(BC:695) 223(BE:668),920,145,False,False
Indiana,Indiana4,Evening,5,3/8-4/9: 339(RC:1000) 899(RM:1000) 899(BC:862) 334(BM:761) 448(BC:742) 339(BM:722) 339(BE:680),1/6-2/7: 226(RE:1000) 177(BC:902) 122(BC:822) 677(BM:723) 117(BE:676),0/5-3/8: 088(RC:1000) 088(BM:937) 088(BE:706) 558(BC:698),2/7: 227(RM:1000) 277(RE:1000) 277(BC:953),0/5-2/7: 577(RM:1000) 022(BE:874) 002(BC:783),110,032,False,False
South Carolina,SouthCarolina4,Combined,4,0/5-1/6: 155(RC:1000) 556(RC:1000) 155(RM:1000) 556(BE:820) 115(BE:815) 011(BM:766) 115(BC:674),2/7-3/8: 778(RM:1000) 288(RE:1000) 288(BC:904) 788(BE:759) 788(BC:726) 228(BC:708),1/6-4/9: 114(RC:1000) 446(RE:1000) 144(BM:976) 114(BE:975) 466(BC:823),3/8-4/9: 339(RC:1000) 889(RM:1000) 399(RE:1000),0/5-4/9: 099(RC:1000) 099(RE:1000),958,314,False,False
Virginia,Virginia4,Combined,4,1/6-4/9: 199(RC:1000) 446(RC:1000) 699(RC:1000) 199(RM:1000) 446(RE:1000) 699(RE:1000) 669(BM:700) 199(BE:673),1/6-3/8: 118(RC:1000) 133(RC:1000) 118(RM:1000) 188(RE:1000) 133(BM:945) 336(BC:918) 133(BE:850) 668(BC:701),0/5-3/8: 558(RC:1000) 335(RM:1000) 588(RM:1000) 558(BM:863),2/7-3/8: 778(RE:1000) 778(BC:973) 228(BC:810) 223(BM:734) 377(BM:719),2/7-4/9: 477(RM:1000) 799(BC:998) 447(BC:849) 799(BM:683),579,385,False,False
Connecticut,Connecticut4,Midday,4,0/5-2/7: 225(RC:1000) 002(RM:1000) 255(BE:935) 225(BE:812) 225(BM:753) 077(BM:734),1/6-4/9: 446(RM:1000) 669(RM:1000) 466(RE:1000) 466(BC:739),1/6-2/7: 677(RC:1000) 677(RM:1000) 117(BM:686),0/5-4/9: 004(BC:832) 099(BC:804) 009(BM:727) 044(BE:705) 044(BC:699),2/7-3/8: 228(BE:890) 337(BM:856) 223(BE:849) 223(BC:813),130,938,False,False
Virginia,Virginia4,Midday,4,1/6-4/9: 199(RC:1000) 446(RC:1000) 699(RC:1000) 199(RM:1000) 446(RE:1000) 699(RE:1000) 669(BM:700) 199(BE:673),1/6-3/8: 118(RC:1000) 133(RC:1000) 118(RM:1000) 188(RE:1000) 133(BM:945) 336(BC:918) 133(BE:850) 668(BC:701),0/5-3/8: 558(RC:1000) 335(RM:1000) 588(RM:1000) 558(BM:863),2/7-3/8: 778(RE:1000) 778(BC:973) 228(BC:810) 223(BM:734) 377(BM:719),2/7-4/9: 477(RM:1000) 799(BC:998) 447(BC:849) 799(BM:683),579,385,False,False
North Carolina,NorthCarolina4,Evening,4,0/5-4/9: 455(RC:1000) 559(RC:1000) 009(RM:1000) 445(RM:1000) 559(RM:1000) 559(RE:1000) 455(BE:856) 004(BC:772) 044(BC:693),3/8-4/9: 334(RC:1000) 344(RC:1000) 344(RE:1000) 344(BM:830),1/6-2/7: 177(RC:1000) 177(RE:1000) 677(BC:697) 226(BC:683),1/6-3/8: 188(RC:1000) 688(RM:1000) 668(BE:970) 188(BM:823),2/7-3/8: 223(RC:1000) 778(BE:986) 228(BC:824) 377(BC:695) 223(BE:668),920,145,False,False
South Carolina,SouthCarolina4,Evening,4,0/5-1/6: 155(RC:1000) 556(RC:1000) 155(RM:1000) 556(BE:820) 115(BE:815) 011(BM:766) 115(BC:674),2/7-3/8: 778(RM:1000) 288(RE:1000) 288(BC:904) 788(BE:759) 788(BC:726) 228(BC:708),1/6-4/9: 114(RC:1000) 446(RE:1000) 144(BM:976) 114(BE:975) 466(BC:823),3/8-4/9: 339(RC:1000) 889(RM:1000) 399(RE:1000),0/5-4/9: 099(RC:1000) 099(RE:1000),958,314,False,False
