State,StateKey,Variant,BA-Score,Status,Triggers,#Candidates,Examples,Winner Midday,Winner Evening,Midday Hits,Evening Hits
Florida,Florida4,Combined,3,ALERT,"Mirror, Root 5, Float 34, Pairs 0",12,149 014 023,171,871,VTRAC,-
Michigan,Michigan4,Combined,2,WATCH,"Mirror, Root 4, Pairs 0",12,013 049 058,539,324,-,-
South Carolina,SouthCarolina4,Combined,2,WATCH,"Mirror, Float 67, Pairs 0",12,016 027 056,-,432,-,-
Delaware,Delaware4,Midday,2,WATCH,"Root 2, Float 35, Pairs 0",12,038 056 137,057,269,-,-
Indiana,Indiana4,Midday,2,WATCH,"Mirror, Float 136, Pairs 1",12,015 016 035,813,517,"Boxed, VTRAC",-
Ohio,Ohio4,Midday,2,WATCH,"Root 3, Float 129, Pairs 0",12,012 039 129,674,492,VTRAC,-
Pennsylvania,Pennsylvania4,Midday,2,WATCH,"SSS/TTT, Float 059, Pairs 0",12,012 013 014,359,980,VTRAC,-
South Carolina,SouthCarolina4,Midday,2,WATCH,"Root 8, SSS/TTT, Pairs 0",12,026 125 134,-,432,-,-
Virginia,Virginia4,Midday,2,WATCH,"Root 3, Float 57, Pairs 0",12,057 147 156,200,217,VTRAC,-
Florida,Florida4,Evening,2,WATCH,"Mirror, Float 34, Pairs 2",12,035 038 045,171,871,-,-
Michigan,Michigan4,Evening,2,WATCH,"Mirror, Float 68, Pairs 0",12,016 038 056,539,324,-,-
New York,NewYork4,Evening,2,WATCH,"Root 7, Float 08, Pairs 0",12,016 025 034,793,489,-,VTRAC
North Carolina,NorthCarolina4,Evening,2,WATCH,"SSS/TTT, Float 246, Pairs 1",12,012 014 023,187,887,-,-
Puerto Rico,PuertoRico4,Evening,2,WATCH,"Root 3, Float 02, Pairs 1",12,012 039 048,-,-,-,-
South Carolina,SouthCarolina4,Evening,2,WATCH,"Mirror, Root 9, Pairs 1",12,378 027 036,-,432,-,"Boxed, VTRAC"
Connecticut,Connecticut4,Combined,1,OFF,"Float 24, Pairs 0",12,012 014 023,569,311,VTRAC,-
Delaware,Delaware4,Combined,1,OFF,"Float 58, Pairs 0",12,015 018 025,057,269,"Straight, VTRAC, VTRAC",-
Indiana,Indiana4,Combined,1,OFF,"Float 68, Pairs 0",12,016 018 026,813,517,-,VTRAC
New Jersey,NewJersey4,Combined,1,OFF,"Float 78, Pairs 0",12,017 018 027,275,261,VTRAC,-
North Carolina,NorthCarolina4,Combined,1,OFF,"Float 269, Pairs 0",12,012 016 019,187,887,-,-
Ohio,Ohio4,Combined,1,OFF,"Float 0289, Pairs 0",12,012 013 014,674,492,-,-
Ontario,OntarioCanada4,Combined,1,OFF,"Root 1, Pairs 0",12,037 127 379,958,382,-,-
Puerto Rico,PuertoRico4,Combined,1,OFF,"Float 068, Pairs 1",12,012 013 014,-,-,-,-
Connecticut,Connecticut4,Midday,1,OFF,"Float 146, Pairs 0",12,012 013 014,569,311,VTRAC,-
Michigan,Michigan4,Midday,1,OFF,"Float 14, Pairs 0",12,012 013 014,539,324,VTRAC,-
New Jersey,NewJersey4,Midday,1,OFF,"Float 58, Pairs 0",12,015 018 025,275,261,-,-
New York,NewYork4,Midday,1,OFF,"Root 1, Pairs 0",12,046 136 469,793,489,"Boxed, VTRAC, VTRAC",-
North Carolina,NorthCarolina4,Midday,1,OFF,"Float 29, Pairs 1",12,012 019 023,187,887,-,-
Puerto Rico,PuertoRico4,Midday,1,OFF,"Float 36, Pairs 1",12,013 016 023,-,-,-,-
Delaware,Delaware4,Evening,1,OFF,"Float 1248, Pairs 0",12,012 013 014,057,269,-,-
Indiana,Indiana4,Evening,1,OFF,"Float 4678, Pairs 0",12,014 016 017,813,517,-,VTRAC
New Jersey,NewJersey4,Evening,1,OFF,"Float 27, Pairs 0",12,012 017 023,275,261,-,-
Ohio,Ohio4,Evening,1,OFF,"Float 058, Pairs 0",12,012 013 014,674,492,-,-
Pennsylvania,Pennsylvania4,Evening,1,OFF,"Float 45, Pairs 0",12,014 015 024,359,980,-,VTRAC
Virginia,Virginia4,Evening,1,OFF,"Float 28, Pairs 0",12,012 018 023,200,217,-,-
New York,NewYork4,Combined,0,OFF,Pairs 0,12,012 013 014,793,489,-,-
Pennsylvania,Pennsylvania4,Combined,0,OFF,Pairs 0,12,015 025 035,359,980,-,-
Virginia,Virginia4,Combined,0,OFF,Pairs 0,12,012 013 014,200,217,VTRAC,-
Florida,Florida4,Midday,0,OFF,Pairs 1,0,-,171,871,-,-
Ontario,OntarioCanada4,Midday,0,OFF,Pairs 0,12,017 027 037,958,382,-,-
Connecticut,Connecticut4,Evening,0,OFF,Pairs 0,12,012 023 024,569,311,-,-
Ontario,OntarioCanada4,Evening,0,OFF,Pairs 0,0,-,958,382,-,-
