kind,role,state,period,result,path,bytes,sha256
SOURCE,aux_core_post_result_md,Michigan4,Midday,373,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Michigan4/AUX_CORE__Midday__373.md,20616,772813aa7f3f7c369d195583bcfd4b33a46f08a299bdf0f09a7b2e7966ee8cf4
SOURCE,aux_core_post_result_json,Michigan4,Midday,373,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Michigan4/AUX_CORE__Midday__373__POST_RESULT.json,24920,5861aca97706018211d286c67ff620ad4851b61825ba22be0c78cef830b5aacc
SOURCE,aux_core_pre_result_json,Michigan4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Michigan4/AUX_CORE__PRE_RESULT.json,2528010,cdd46607e5f52ce45a011eac469f7714c347159a187d39370ee1208dbc741edd
SOURCE,aux_core_post_result_md,NewJersey4,Evening,302,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NewJersey4/AUX_CORE__Evening__302.md,21358,ca086dc3cff5bb818005cddf50fb8ccf7bd4adff13abb72678759870881d1787
SOURCE,aux_core_post_result_json,NewJersey4,Evening,302,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NewJersey4/AUX_CORE__Evening__302__POST_RESULT.json,27268,6fa2b233b30de00a8af438fa2df255e77935559cb04d534ae1ec4bc88b71dc79
SOURCE,aux_core_pre_result_md,NewJersey4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NewJersey4/AUX_CORE__FULL_PRE_RESULT.md,43821,e0c138d626b737b1dcec1f1296e827d5550989a0ba716dc474eb9250142c8a59
SOURCE,aux_core_post_result_md,NewJersey4,Midday,617,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NewJersey4/AUX_CORE__Midday__617.md,19895,f7e90bcc688c974348bbb1b4421954a075224aa266bbbf2a8352cdabe2f34902
SOURCE,aux_core_post_result_json,NewJersey4,Midday,617,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NewJersey4/AUX_CORE__Midday__617__POST_RESULT.json,8927,549d5b2e37f6f64dbc095310b12aaf758afd5433706547e60fccb2d9a450eed1
SOURCE,aux_core_pre_result_json,NewJersey4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NewJersey4/AUX_CORE__PRE_RESULT.json,2449902,de0fb15cf4cce440ce3042a30843416f966988ae5980ddf2a01111986a32abbd
SOURCE,aux_core_post_result_md,NewYork4,Evening,298,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NewYork4/AUX_CORE__Evening__298.md,22982,7c89b3cad70c5d5961a51643e9ddcb1ec4be660dfd575dde759fc40aef1931e5
SOURCE,aux_core_post_result_json,NewYork4,Evening,298,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NewYork4/AUX_CORE__Evening__298__POST_RESULT.json,43122,da9941e6983de4e7d838368aa6e386a07d5e5f59f56bcd2973e6bd5d7523b663
SOURCE,aux_core_pre_result_md,NewYork4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NewYork4/AUX_CORE__FULL_PRE_RESULT.md,44856,95e7b05dbc094c154eb262cf81e57a1f6a61ad5433a8aaa598f85f5157cf6d1b
SOURCE,aux_core_post_result_md,NewYork4,Midday,900,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NewYork4/AUX_CORE__Midday__900.md,22654,9b6bc231feb8c43317e95a83ace4f7be3d67b933eb7f349e5dff7fc614d3a2c7
SOURCE,aux_core_post_result_json,NewYork4,Midday,900,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NewYork4/AUX_CORE__Midday__900__POST_RESULT.json,38166,c3e5096de7b17db1dfb456658446898350a8a7efe650824e918ef618282b4c12
SOURCE,aux_core_pre_result_json,NewYork4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NewYork4/AUX_CORE__PRE_RESULT.json,2865862,b2bdb302de527f8a71d0c0c9873ccc9085060bdd74aa5f9b76727fa989bcb469
SOURCE,aux_core_post_result_md,NorthCarolina4,Evening,000,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NorthCarolina4/AUX_CORE__Evening__000.md,19903,094a4351d39f47903f56d1579067aede16cf73f6cbedc5f9cdebf3f24080863b
SOURCE,aux_core_post_result_json,NorthCarolina4,Evening,000,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NorthCarolina4/AUX_CORE__Evening__000__POST_RESULT.json,8936,15d67af0be2a0cf4221fa89bd81c459d0524338bae424ce4945061a173cd66d1
SOURCE,aux_core_pre_result_md,NorthCarolina4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NorthCarolina4/AUX_CORE__FULL_PRE_RESULT.md,44328,c4998e4bbe41f12d1fe92babec35799d46604bd89c47e4e9854ad89330255baa
SOURCE,aux_core_post_result_md,NorthCarolina4,Midday,855,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NorthCarolina4/AUX_CORE__Midday__855.md,21686,da2619a2b146cf7f00cd6ed552751aa6c93cc4d478b8df7a4cc52aeda4c0ab48
