date,state,section,overlap,stable_cols_count,stable_cols,consensus_col1,consensus_col2,cross_section_echo,hot_count,superhot_count,mask_drop,mirror_supported,double_hits,confidence_score,tier,flags,top_tokens,recommended_tokens,top_straights,section_prior,state_prior,why,source
,Connecticut4,Midday,2,3,"[3,2,1]",false,false,0,8,12,10,true,440,18.539,B,[],"[""V1x1_4x1_5x1"",""V1x2_4x1_5x1""]","[""V1x1_4x1_5x1"",""V1x2_4x1_5x1""]","[""540"",""045"",""054""]",1.0,1.0,overlap=1.099*1.00->1.10; stable=6.000*1.90->11.40; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Connecticut4,Evening,2,3,"[3,2,1]",false,false,0,8,12,10,true,418,18.366,B,[],"[""V2x2_1x1"",""V2x2_1x1_3x1""]","[""V2x2_1x1"",""V2x2_1x1_3x1""]","[""540"",""045"",""054""]",1.0,1.0,overlap=1.099*1.00->1.10; stable=6.000*1.90->11.40; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=0.569*0.40->0.23; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Connecticut4,Combined,3,5,"[5,4,3,2,1]",false,false,0,8,12,8,true,389,24.64,B+,[],"[""V1x2_2x1"",""V1x2_5x2_2x1"",""V1x1_2x1_5x1""]","[""V1x1_2x1_5x1"",""V1x2_2x1"",""V1x2_5x2_2x1""]","[""540"",""045"",""054""]",1.15,1.0,overlap=1.386*1.00->1.39; stable=8.000*1.90->15.20; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,Delaware4,Midday,2,2,"[2,1]",false,false,0,8,12,24,true,502,15.424,B,[],"[""V1x2_3x1"",""V1x3""]","[""V1x2_3x1"",""V1x3""]","[""417"",""924"",""714""]",1.0,1.0,overlap=1.099*1.00->1.10; stable=4.400*1.90->8.36; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=0.815*0.40->0.33; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Delaware4,Evening,5,6,"[6,5,4,3,2,1]",false,false,0,8,12,15,true,401,23.162,A,[],"[""V2x2_4x2_3x1"",""V4x4_2x3_3x2"",""V4x3_2x2_3x2"",""V2x2_3x2_4x2"",""V2x2_3x1_4x1""]","[""V2x2_3x1_4x1"",""V2x2_3x2_4x2"",""V2x2_4x2_3x1""]","[""417"",""924"",""714""]",1.0,1.0,overlap=1.792*1.00->1.79; stable=8.700*1.90->16.53; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Delaware4,Combined,1,2,"[2,1]",false,false,0,8,12,23,true,525,22.959,C,[],"[""V5x2_2x1_3x1""]","[""V5x2_2x1_3x1""]","[""417"",""924"",""714""]",1.15,1.0,overlap=0.693*1.00->0.69; stable=4.400*1.90->8.36; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.889*0.80->0.71; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; vt_lane_rescue=0.800*1.20->0.96; winner_lane_rescue=1.600*2.50->4.00; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,Florida4,Midday,1,2,"[2,1]",false,false,0,8,12,8,true,545,19.716,C,[],"[""V4x2_2x1_3x1""]","[""V4x2_2x1_3x1""]","[""867"",""687"",""817""]",1.0,1.0,overlap=0.693*1.00->0.69; stable=4.400*1.90->8.36; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=0.157*0.40->0.06; recency_lane=1.200*1.50->1.80; vt_lane_rescue=0.800*1.20->0.96; winner_lane_rescue=1.600*2.50->4.00; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Florida4,Evening,4,4,"[4,3,2,1]",false,false,0,8,12,5,true,604,20.339,A,[],"[""V3x2_4x2_1x1"",""V3x2_1x1_4x1"",""V3x2_4x1"",""V3x2_1x1""]","[""V3x2_1x1"",""V3x2_1x1_4x1"",""V3x2_4x1""]","[""867"",""687"",""817""]",1.0,1.0,overlap=1.609*1.00->1.61; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Florida4,Combined,3,4,"[4,3,2,1]",false,false,0,8,12,7,true,534,23.287,B+,[],"[""V3x3_2x2_4x1"",""V2x2_3x2_4x1"",""V2x2_3x2""]","[""V2x2_3x2"",""V2x2_3x2_4x1"",""V3x3_2x2_4x1""]","[""867"",""687"",""817""]",1.15,1.0,overlap=1.386*1.00->1.39; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.667*0.80->0.53; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,Indiana4,Midday,1,4,"[4,3,2,1]",false,false,0,8,12,20,true,433,24.916,C,[],"[""V2x2_4x2_1x1""]","[""V2x2_4x2_1x1""]","[""086"",""206"",""680""]",1.0,1.0,overlap=0.693*1.00->0.69; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.667*0.80->0.53; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; vt_lane_rescue=0.800*1.20->0.96; winner_lane_rescue=1.600*2.50->4.00; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
