section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,why
Evening,Set1,Draw4,2,0033,straight,22.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,4.0,0033,3.0,4.0,straight|cov3|hp_repeat4|vstr2|vstr3|hot2
Midday,Set3,Draw1,1,1,straight,22.0,"R2,R4,R6,R8",False,True,True,False,True,False,False,False,False,1,1.0,0.0,1.0,1,4.0,,straight|cov4|vstr2|vstr3|cons_full|hot1
Midday,Set2,Draw1,3,113,boxed,22.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,5.0,113,3.0,18.0,boxed|cov4|hp_repeat5|vstr2|vstr3|hot1|perm2
Midday,Set2,Draw1,1,1,straight,22.0,"R2,R4,R6,R8",False,True,True,False,True,False,False,False,False,1,1.0,0.0,1.0,1,4.0,,straight|cov4|vstr2|vstr3|cons_full|hot1
Midday,Set1,Draw6,1,22499,straight,22.0,"R2,R6,R8",True,True,True,False,False,False,False,False,False,1,1.0,0.0,2.0,99224,3.0,31.0,straight|cov3|hp_repeat2|vstr2|vstr3|mirror|hot1
Combined,Set3,Draw1,3,33466,boxed,22.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3.0,0.0,6.0,66334,2.0,24.0,boxed|cov4|hp_repeat6|vstr2|hot1|perm3
Combined,Set3,Draw1,2,33466,boxed,22.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3.0,0.0,6.0,66334,2.0,24.0,boxed|cov4|hp_repeat6|vstr2|hot1|perm3
Combined,Set2,Draw1,4,334466,boxed,22.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3.0,0.0,5.0,663344,2.0,24.0,boxed|cov4|hp_repeat5|vstr2|hot1|perm3
Combined,Set2,Draw1,3,334466,boxed,22.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3.0,0.0,5.0,663344,2.0,24.0,boxed|cov4|hp_repeat5|vstr2|hot1|perm3
Combined,Set1,Draw1,5,11334466,boxed,22.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,4.0,0.0,3.0,44113366,1.0,24.0,boxed|cov4|hp_repeat3|mirror|hot1|perm4
Combined,Set1,Draw1,4,1334466,boxed,22.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,4.0,0.0,4.0,4413366,1.0,24.0,boxed|cov4|hp_repeat4|mirror|hot1|perm4
Combined,Set1,Draw3,2,244,straight,22.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,244,3.0,31.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Combined,Set1,Draw5,1,244,straight,22.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,3.0,244,3.0,31.0,straight|cov3|hp_repeat3|vstr2|vstr3|hot2
Combined,Set3,Draw1,5,559,boxed,22.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,0,2.0,0.0,6.0,559,3.0,5.0,boxed|cov4|hp_repeat6|vstr2|vstr3|perm2
Combined,Set3,Draw1,3,05579,boxed,22.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,False,False,1,3.0,0.0,5.0,55907,2.0,12.0,boxed|cov4|hp_repeat5|vstr2|mirror|hot1|perm3
Combined,Set2,Draw1,4,559,boxed,22.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,5.0,559,3.0,5.0,boxed|cov4|hp_repeat5|vstr2|vstr3|hot1|perm2
Combined,Set2,Draw1,3,559,boxed,22.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,5.0,559,3.0,5.0,boxed|cov4|hp_repeat5|vstr2|vstr3|hot1|perm2
Combined,Set2,Draw1,1,057,boxed,22.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,1,2.0,0.0,4.0,057,2.0,3.0,boxed|cov4|hp_repeat4|vstr2|mirror|hot1|dom_last|perm2
Combined,Set1,Draw1,5,0055779,boxed,22.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,False,False,1,3.0,0.0,3.0,5590077,2.0,12.0,boxed|cov4|hp_repeat3|vstr2|mirror|hot1|perm3
Combined,Set1,Draw1,1,577,boxed,22.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2.0,0.0,2.0,577,2.0,10.0,boxed|cov4|hp_repeat2|vstr2|hot2|dom_last|perm2
Combined,Set1,Draw2,1,577,boxed,22.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2.0,0.0,2.0,577,2.0,10.0,boxed|cov4|hp_repeat2|vstr2|hot2|dom_last|perm2
Combined,Set1,Draw5,1,34468,boxed,22.0,"R2,R4,R8",True,False,False,False,False,False,False,True,False,2,3.0,0.0,3.0,44386,1.0,24.0,boxed|cov3|hp_repeat3|mirror|hot2|dom_last|perm3
Combined,Set3,Draw1,2,4488,boxed,21.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,3.0,8844,3.0,34.0,boxed|cov4|hp_repeat3|vstr2|vstr3|hot1|perm2
Combined,Set3,Draw1,1,448,boxed,21.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,3.0,844,3.0,34.0,boxed|cov4|hp_repeat3|vstr2|vstr3|hot1|perm2
Combined,Set3,Draw1,1,488,boxed,21.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,3.0,884,3.0,33.0,boxed|cov4|hp_repeat3|vstr2|vstr3|hot1|perm2
Combined,Set2,Draw1,2,448,boxed,21.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,4.0,844,3.0,34.0,boxed|cov4|hp_repeat4|vstr2|vstr3|hot1|perm2
Combined,Set2,Draw1,2,4488,boxed,21.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,3.0,8844,3.0,34.0,boxed|cov4|hp_repeat3|vstr2|vstr3|hot1|perm2
Combined,Set1,Draw1,7,5599,straight,21.0,"R2,R4,R6",False,True,True,True,False,False,False,False,False,0,1.0,0.0,1.0,5599,3.0,5.0,straight|cov3|vstr2|vstr3|single_left
Combined,Set1,Draw1,3,488,boxed,21.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,3.0,884,3.0,33.0,boxed|cov4|hp_repeat3|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw3,1,4467,boxed,21.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,4.0,0.0,1.0,4467,1.0,22.0,boxed|cov4|hot2|dom_last|perm4
Combined,Set1,Draw4,2,244,straight,21.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,4.0,244,3.0,31.0,straight|cov3|hp_repeat4|vstr2|vstr3|hot2
Combined,Set1,Draw5,3,2244,straight,21.0,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,1.0,0.0,1.0,2244,3.0,28.0,straight|cov3|vstr2|vstr3|single_left
Combined,Set2,Draw1,7,5599,straight,21.0,"R2,R4,R6",False,True,True,True,False,False,False,False,False,0,1.0,0.0,1.0,5599,3.0,5.0,straight|cov3|vstr2|vstr3|single_left
Combined,Set1,Draw2,6,2244,straight,21.0,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,1.0,0.0,1.0,2244,3.0,28.0,straight|cov3|vstr2|vstr3|single_left
Evening,Set3,Draw1,7,5599,straight,21.0,"R2,R4,R6",False,True,True,True,False,False,False,False,False,0,1.0,0.0,1.0,5599,3.0,5.0,straight|cov3|vstr2|vstr3|single_left
Evening,Set3,Draw1,4,00133588,boxed,21.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,4.0,0.0,2.0,50013388,1.0,8.0,boxed|cov4|hp_repeat2|mirror|hot1|perm4
Evening,Set2,Draw1,7,3344,straight,21.0,"R4,R6,R8",False,True,True,True,False,False,False,False,False,0,1.0,0.0,1.0,3344,3.0,33.0,straight|cov3|vstr2|vstr3|single_left
Evening,Set1,Draw2,3,003,straight,21.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1.0,0.0,5.0,003,3.0,4.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot1
Evening,Set1,Draw2,3,033,straight,21.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1.0,0.0,5.0,033,3.0,13.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot1
Evening,Set1,Draw3,3,003,straight,21.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1.0,0.0,5.0,003,3.0,4.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot1
Evening,Set1,Draw3,3,033,straight,21.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1.0,0.0,5.0,033,3.0,13.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot1
Evening,Set1,Draw4,2,003,straight,21.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,4.0,003,3.0,4.0,straight|cov3|hp_repeat4|vstr2|vstr3|hot2
Evening,Set1,Draw4,2,033,straight,21.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,4.0,033,3.0,13.0,straight|cov3|hp_repeat4|vstr2|vstr3|hot2
Midday,Set3,Draw1,4,01167,boxed,21.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,4.0,0.0,5.0,01167,1.0,7.0,boxed|cov4|hp_repeat5|mirror|hot1|perm4
