section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,why
Evening,Set1,Draw1,1,0033,straight,34.5,"R2,R4,R6,R8",False,True,True,False,True,False,False,True,False,2,1.0,0.0,5.0,0033,4.0,4.0,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot2|dom_last
Evening,Set2,Draw1,1,0033,straight,31.5,"R2,R4,R6,R8",False,True,True,False,True,False,False,True,False,1,1.0,0.0,4.0,0033,4.0,4.0,straight|cov4|hp_repeat4|vstr2|vstr3|cons_full|hot1|dom_last
Combined,Set1,Draw1,1,446,boxed,31.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2.0,0.0,7.0,644,3.0,25.0,boxed|cov4|hp_repeat7|vstr2|vstr3|hot2|dom_last|perm2
Combined,Set1,Draw1,1,044,straight,30.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1.0,0.0,1.0,044,4.0,15.0,straight|cov4|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Evening,Set3,Draw1,1,0033,straight,30.5,"R2,R4,R6,R8",False,True,True,False,True,False,False,True,False,1,1.0,0.0,3.0,0033,4.0,4.0,straight|cov4|hp_repeat3|vstr2|vstr3|cons_full|hot1|dom_last
Evening,Set1,Draw1,1,003,straight,30.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,2,1.0,0.0,5.0,003,4.0,4.0,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot2|cons_3v
Evening,Set1,Draw1,1,033,straight,30.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,2,1.0,0.0,5.0,033,4.0,13.0,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot2|cons_3v
Combined,Set1,Draw2,1,446,boxed,30.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2.0,0.0,6.0,644,3.0,25.0,boxed|cov4|hp_repeat6|vstr2|vstr3|hot2|dom_last|perm2
Evening,Set1,Draw1,3,003,straight,28.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,2,1.0,0.0,5.0,003,4.0,4.0,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot2|cons_3v
Evening,Set1,Draw1,3,033,straight,28.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,2,1.0,0.0,5.0,033,4.0,13.0,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot2|cons_3v
Evening,Set1,Draw1,2,003,straight,28.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,2,1.0,0.0,5.0,003,4.0,4.0,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot2|cons_3v
Evening,Set1,Draw1,2,033,straight,28.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,2,1.0,0.0,5.0,033,4.0,13.0,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot2|cons_3v
Combined,Set1,Draw4,1,244,straight,27.5,"R2,R6,R8",False,True,True,False,False,False,False,True,False,2,1.0,0.0,4.0,244,3.0,31.0,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|dom_last
Combined,Set1,Draw4,1,244,straight,27.5,"R2,R6,R8",False,True,True,False,False,False,False,True,False,2,1.0,0.0,4.0,244,3.0,31.0,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|dom_last
Evening,Set2,Draw1,2,0033,straight,27.0,"R2,R4,R6,R8",False,True,True,False,True,False,False,False,False,1,1.0,0.0,4.0,0033,4.0,4.0,straight|cov4|hp_repeat4|vstr2|vstr3|cons_full|hot1
Evening,Set2,Draw1,1,003,straight,27.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1.0,0.0,4.0,003,4.0,4.0,straight|cov4|hp_repeat4|vstr2|vstr3|cons_full|hot1|cons_3v
Evening,Set2,Draw1,1,033,straight,27.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1.0,0.0,4.0,033,4.0,13.0,straight|cov4|hp_repeat4|vstr2|vstr3|cons_full|hot1|cons_3v
Combined,Set1,Draw5,1,244,straight,26.5,"R2,R6,R8",False,True,True,False,False,False,False,True,False,2,1.0,0.0,3.0,244,3.0,31.0,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|dom_last
Combined,Set2,Draw1,1,448,boxed,26.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2.0,0.0,4.0,844,3.0,34.0,boxed|cov4|hp_repeat4|vstr2|vstr3|hot1|dom_last|perm2
Combined,Set1,Draw2,1,447,boxed,26.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2.0,0.0,6.0,447,2.0,31.0,boxed|cov4|hp_repeat6|vstr2|hot2|dom_last|perm2
Combined,Set1,Draw5,1,0011459,boxed,26.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4.0,0.0,2.0,5940011,1.0,9.0,boxed|cov4|hp_repeat2|mirror|hot2|dom_last|perm4
Evening,Set3,Draw1,1,003,straight,26.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1.0,0.0,3.0,003,4.0,4.0,straight|cov4|hp_repeat3|vstr2|vstr3|cons_full|hot1|cons_3v
Evening,Set3,Draw1,1,033,straight,26.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1.0,0.0,3.0,033,4.0,13.0,straight|cov4|hp_repeat3|vstr2|vstr3|cons_full|hot1|cons_3v
Evening,Set2,Draw1,2,003,straight,26.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1.0,0.0,4.0,003,4.0,4.0,straight|cov4|hp_repeat4|vstr2|vstr3|cons_full|hot1|cons_3v
Evening,Set2,Draw1,2,033,straight,26.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1.0,0.0,4.0,033,4.0,13.0,straight|cov4|hp_repeat4|vstr2|vstr3|cons_full|hot1|cons_3v
Evening,Set1,Draw4,1,003366,boxed,26.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3.0,0.0,3.0,003366,2.0,8.0,boxed|cov4|hp_repeat3|vstr2|hot2|dom_last|perm3
Combined,Set3,Draw1,1,4488,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2.0,0.0,3.0,8844,3.0,34.0,boxed|cov4|hp_repeat3|vstr2|vstr3|hot1|dom_last|perm2
Combined,Set2,Draw1,1,057,boxed,25.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,1,2.0,0.0,7.0,507,2.0,3.0,boxed|cov4|hp_repeat7|vstr2|mirror|hot1|dom_last|perm2
Combined,Set1,Draw4,1,001459,boxed,25.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4.0,0.0,2.0,594001,1.0,9.0,boxed|cov4|hp_repeat2|mirror|hot2|dom_last|perm4
Combined,Set1,Draw6,1,00114559,boxed,25.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,1,4.0,0.0,2.0,55940011,1.0,9.0,boxed|cov4|hp_repeat2|mirror|hot1|dom_last|perm4
Evening,Set1,Draw1,3,0033,straight,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,0033,4.0,4.0,straight|cov4|hp_repeat5|vstr2|vstr3|hot2
Evening,Set1,Draw1,2,0033,straight,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,0033,4.0,4.0,straight|cov4|hp_repeat5|vstr2|vstr3|hot2
Evening,Set1,Draw2,1,0033,straight,25.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,0033,3.0,4.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Evening,Set1,Draw2,1,00336,boxed,25.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3.0,0.0,3.0,00336,2.0,8.0,boxed|cov4|hp_repeat3|vstr2|hot2|dom_last|perm3
Evening,Set1,Draw3,1,0033,straight,25.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,0033,3.0,4.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Evening,Set1,Draw3,1,00336,boxed,25.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3.0,0.0,3.0,00336,2.0,8.0,boxed|cov4|hp_repeat3|vstr2|hot2|dom_last|perm3
Midday,Set1,Draw3,1,0157,boxed,25.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4.0,0.0,4.0,5017,1.0,7.0,boxed|cov4|hp_repeat4|mirror|hot2|dom_last|perm4
Combined,Set1,Draw3,1,677,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,5.0,677,3.0,20.0,boxed|cov4|hp_repeat5|vstr2|vstr3|hot2|perm2
Evening,Set1,Draw2,1,003,straight,24.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,003,3.0,4.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Evening,Set1,Draw2,1,033,straight,24.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,033,3.0,13.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Evening,Set1,Draw3,1,003,straight,24.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,003,3.0,4.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Evening,Set1,Draw3,1,033,straight,24.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,033,3.0,13.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Evening,Set1,Draw4,1,0033,straight,24.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,4.0,0033,3.0,4.0,straight|cov3|hp_repeat4|vstr2|vstr3|hot2
Midday,Set1,Draw1,1,1,straight,24.0,"R2,R4,R6,R8",False,True,True,False,True,False,False,False,False,2,1.0,0.0,1.0,1,4.0,,straight|cov4|vstr2|vstr3|cons_full|hot2
Midday,Set1,Draw4,1,599,boxed,24.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,4.0,599,3.0,15.0,boxed|cov4|hp_repeat4|vstr2|vstr3|hot2|perm2
Midday,Set1,Draw5,1,5599,boxed,24.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,3.0,5599,3.0,5.0,boxed|cov4|hp_repeat3|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw3,1,244,straight,24.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,244,3.0,31.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Combined,Set1,Draw6,1,244,straight,23.5,"R2,R6,R8",False,True,True,False,False,False,False,True,False,1,1.0,0.0,2.0,244,3.0,31.0,straight|cov3|hp_repeat2|vstr2|vstr3|hot1|dom_last
Combined,Set1,Draw6,1,244,straight,23.5,"R2,R6,R8",False,True,True,False,False,False,False,True,False,1,1.0,0.0,2.0,244,3.0,31.0,straight|cov3|hp_repeat2|vstr2|vstr3|hot1|dom_last
Combined,Set1,Draw3,1,0045,boxed,23.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4.0,0.0,2.0,5400,1.0,5.0,boxed|cov4|hp_repeat2|mirror|hot2|dom_last|perm4
Evening,Set1,Draw2,2,0033,straight,23.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,0033,3.0,4.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Evening,Set1,Draw3,2,0033,straight,23.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,0033,3.0,4.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Evening,Set1,Draw4,1,003,straight,23.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,4.0,003,3.0,4.0,straight|cov3|hp_repeat4|vstr2|vstr3|hot2
Evening,Set1,Draw4,1,033,straight,23.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,4.0,033,3.0,13.0,straight|cov3|hp_repeat4|vstr2|vstr3|hot2
Evening,Set1,Draw5,1,003366,boxed,23.0,"R2,R4,R8",False,True,False,False,False,False,False,True,False,2,2.0,0.0,3.0,003366,2.0,8.0,boxed|cov3|hp_repeat3|vstr2|hot2|dom_last|perm2
Midday,Set1,Draw4,1,0599,boxed,23.0,"R2,R4,R6",True,True,False,False,False,False,False,True,False,2,2.0,0.0,4.0,5990,2.0,5.0,boxed|cov3|hp_repeat4|vstr2|mirror|hot2|dom_last|perm2
Midday,Set1,Draw5,1,559,boxed,23.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,3.0,559,3.0,5.0,boxed|cov4|hp_repeat3|vstr2|vstr3|hot2|perm2
Midday,Set1,Draw5,1,05599,boxed,23.0,"R2,R4,R6",True,True,False,False,False,False,False,True,False,2,2.0,0.0,3.0,55990,2.0,5.0,boxed|cov3|hp_repeat3|vstr2|mirror|hot2|dom_last|perm2
Midday,Set1,Draw5,1,599,boxed,23.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,3.0,599,3.0,15.0,boxed|cov4|hp_repeat3|vstr2|vstr3|hot2|perm2
Combined,Set3,Draw1,3,334466,boxed,23.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3.0,0.0,6.0,663344,2.0,24.0,boxed|cov4|hp_repeat6|vstr2|hot1|perm3
Combined,Set3,Draw1,2,334466,boxed,23.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3.0,0.0,6.0,663344,2.0,24.0,boxed|cov4|hp_repeat6|vstr2|hot1|perm3
Combined,Set1,Draw3,1,24469,boxed,23.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4.0,0.0,1.0,92446,1.0,22.0,boxed|cov4|mirror|hot2|dom_last|perm4
Combined,Set3,Draw1,4,559,boxed,23.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,6.0,559,3.0,5.0,boxed|cov4|hp_repeat6|vstr2|vstr3|hot1|perm2
Combined,Set3,Draw1,3,559,boxed,23.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,6.0,559,3.0,5.0,boxed|cov4|hp_repeat6|vstr2|vstr3|hot1|perm2
Combined,Set3,Draw1,2,559,boxed,23.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,6.0,559,3.0,5.0,boxed|cov4|hp_repeat6|vstr2|vstr3|hot1|perm2
Combined,Set1,Draw3,2,677,boxed,23.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,5.0,677,3.0,20.0,boxed|cov4|hp_repeat5|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw3,1,5677,boxed,23.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3.0,0.0,2.0,5677,2.0,7.0,boxed|cov4|hp_repeat2|vstr2|hot2|dom_last|perm3
Combined,Set1,Draw1,3,448,boxed,22.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,4.0,844,3.0,34.0,boxed|cov4|hp_repeat4|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw1,3,4488,boxed,22.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,3.0,8844,3.0,34.0,boxed|cov4|hp_repeat3|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw1,2,448,boxed,22.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,4.0,844,3.0,34.0,boxed|cov4|hp_repeat4|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw1,1,045,boxed,22.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4.0,0.0,2.0,540,1.0,5.0,boxed|cov4|hp_repeat2|mirror|hot2|dom_last|perm4
Combined,Set1,Draw1,3,344,straight,22.0,"R4,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,344,3.0,34.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Combined,Set1,Draw2,1,045,boxed,22.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4.0,0.0,2.0,540,1.0,5.0,boxed|cov4|hp_repeat2|mirror|hot2|dom_last|perm4
Evening,Set1,Draw2,3,0033,straight,22.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1.0,0.0,5.0,0033,3.0,4.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot1
Evening,Set1,Draw2,2,003,straight,22.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,003,3.0,4.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Evening,Set1,Draw2,2,033,straight,22.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,033,3.0,13.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Evening,Set1,Draw3,3,0033,straight,22.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1.0,0.0,5.0,0033,3.0,4.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot1
Evening,Set1,Draw3,2,003,straight,22.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,003,3.0,4.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
Evening,Set1,Draw3,2,033,straight,22.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,5.0,033,3.0,13.0,straight|cov3|hp_repeat5|vstr2|vstr3|hot2
