Pick 3
Midday	Evening
Arizona		1-9-3
Arkansas		7-1-5
California	5-9-9	6-5-1
Colorado	3-2-3	7-4-0
Connecticut	0-0-9	0-0-0
Delaware	1-7-7	1-4-5
Florida	7-8-7	4-3-4
Georgia	4-0-7	1-4-0
8-6-4
Idaho	3-8-1	5-3-7
Illinois	5-4-8	0-5-3
Indiana	9-2-5	5-1-3
Iowa	7-0-9	4-9-9
Kansas	9-9-7	2-2-6
Kentucky	6-6-3	4-1-3
Louisiana		1-5-3
Maryland	0-3-0	1-0-9
Michigan	9-3-4	3-1-8
Minnesota		8-1-0
Mississippi	5-3-1	3-0-1
Missouri	0-2-8	1-9-3
Nebraska		1-2-1
New Jersey	5-8-3	2-1-6
New Mexico	2-5-2	6-2-9
New York	9-3-2	3-2-1
North Carolina	3-8-1	3-8-8
Ohio	0-5-2	5-0-1
Oklahoma		0-1-5
Ontario	6-7-0	1-3-8
Pennsylvania	0-3-4	3-1-7
Québec		5-0-0
South Carolina		4-9-6
Tennessee		8-9-5
Tri-State (ME, NH & VT)	4-3-4	2-0-6
Virginia	0-9-8	1-1-3
Washington		7-2-8
Washington, D.C.	4-1-4	4-2-8
9-7-6
Western Canada		6-3-9
Wisconsin	9-6-5	7-3-6
