area,col,combined.core,combined.first3_step,draw,method,mode.agree_core,mode.len_delta_abs,mode.only_one,mode.time_to3_delta_abs,own.core,own.first3_step,section,set,state
LS1,7,11388,3,Draw1,A,0,4,0,0,11355,3,Midday,Set3,SouthCarolina4
LS1,7,388,2,Draw1,B,0,0,0,1,355,3,Midday,Set3,SouthCarolina4
LS1,7,388,1,Draw1,C,1,0,0,0,388,1,Midday,Set3,SouthCarolina4
LS1,7,3488,2,Draw1,D,0,0,0,1,5,3,Midday,Set3,SouthCarolina4
LS1,7,35,5,Draw1,E,0,0,0,1,1558,4,Midday,Set3,SouthCarolina4
LS1,7,388,1,Draw1,T,1,0,0,0,388,1,Midday,Set3,SouthCarolina4
LS1,6,11388,3,Draw1,A,0,3,0,0,1135,3,Midday,Set3,SouthCarolina4
LS1,6,11388,1,Draw1,B,1,0,0,0,11388,1,Midday,Set3,SouthCarolina4
LS1,6,388,1,Draw1,C,1,0,0,0,388,1,Midday,Set3,SouthCarolina4
LS1,6,3488,2,Draw1,D,0,0,0,0,1388,2,Midday,Set3,SouthCarolina4
LS1,6,1388,3,Draw1,E,0,0,0,1,11388,2,Midday,Set3,SouthCarolina4
LS1,6,388,1,Draw1,T,1,0,0,0,388,1,Midday,Set3,SouthCarolina4
LS1,5,11388,3,Draw1,A,0,3,0,0,1135,3,Midday,Set3,SouthCarolina4
LS1,5,388,1,Draw1,B,1,0,0,0,388,1,Midday,Set3,SouthCarolina4
LS1,5,388,1,Draw1,C,1,0,0,0,388,1,Midday,Set3,SouthCarolina4
LS1,5,1388,1,Draw1,D,1,0,0,0,1388,1,Midday,Set3,SouthCarolina4
LS1,5,1388,1,Draw1,E,1,0,0,0,1388,1,Midday,Set3,SouthCarolina4
LS1,5,388,1,Draw1,T,1,0,0,0,388,1,Midday,Set3,SouthCarolina4
LS1,7,113388,3,Draw1,A,0,3,0,0,11335,3,Midday,Set2,SouthCarolina4
