Section,Set,Draw,Column,Pattern,Score,dbg_vertical_coverage,dbg_permutation_strength,dbg_vtrac_strength,dbg_mirror_bonus,dbg_straight_bonus,dbg_box_bonus,dbg_length_bonus,dbg_hot_zone_points,dbg_nested_cluster_bonus,dbg_consensus_digit_bonus,dbg_hot_zone_consensus_synergy,dbg_horizontal_persistence,dbg_lingering_bonus,dbg_remaining_3value_bonus,dbg_order_persistence
Combined,Set1,Draw7,1,/AN,42,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,3.0
Midday,Set1,Draw7,1,/AN,42,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,3.0
Evening,Set1,Draw5,6,22334499,41,2,2,1,2,0,1,8,0,21,0,0,,2.0,,
Combined,Set1,Draw6,1,/AN,41,4,1,2,0,14,1,0,0,1,0,0,2.0,5.0,4.0,3.0
Combined,Set1,Draw5,5,22334499,41,2,1,1,2,3,1,8,0,21,0,0,,,,
Midday,Set1,Draw6,1,/AN,41,4,1,2,0,14,1,0,0,1,0,0,2.0,5.0,4.0,3.0
Evening,Set1,Draw6,1,/AN,41,4,1,2,0,14,1,0,0,1,0,0,2.0,5.0,4.0,3.0
Combined,Set1,Draw3,3,22334499,41,1,1,1,2,0,1,8,0,21,0,0,2.0,3.0,,
Combined,Set1,Draw3,3,02244599,41,1,1,1,2,0,1,8,0,21,0,0,2.0,3.0,,
Combined,Set1,Draw3,4,22334499,41,1,1,1,2,0,1,8,0,21,0,0,2.0,3.0,,
Combined,Set1,Draw3,4,02244599,41,1,1,1,2,0,1,8,0,21,0,0,2.0,3.0,,
Combined,Set1,Draw3,6,2233449,40,3,2,1,2,3,1,6,0,15,0,0,,4.0,,
Midday,Set1,Draw4,4,02233577,40,1,1,1,2,0,1,8,0,21,0,0,2.0,2.0,,
Evening,Set1,Draw5,1,/AN,40,4,1,2,0,14,1,0,0,1,0,0,2.0,4.0,4.0,3.0
Combined,Set1,Draw5,1,/AN,40,4,1,2,0,14,1,0,0,1,0,0,2.0,4.0,4.0,3.0
Evening,Set1,Draw6,6,02244599,40,1,1,1,2,0,1,8,0,21,0,0,2.0,2.0,,
Combined,Set1,Draw4,4,00224499,40,1,1,1,2,0,1,8,0,21,0,0,2.0,2.0,,
Combined,Set1,Draw2,5,2233499,40,3,2,1,2,3,1,6,0,15,0,0,,4.0,,
Midday,Set1,Draw5,1,/AN,40,4,1,2,0,14,1,0,0,1,0,0,2.0,4.0,4.0,3.0
Midday,Set1,Draw7,5,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,
Midday,Set1,Draw7,2,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,
Midday,Set1,Draw4,1,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,3.0,4.0,3.0
Combined,Set1,Draw3,5,2233449,39,2,1,1,2,3,1,6,0,15,0,0,2.0,4.0,,
Evening,Set1,Draw4,1,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,3.0,4.0,3.0
Combined,Set1,Draw3,5,02244599,39,1,1,1,2,0,1,8,0,21,0,0,,3.0,,
Combined,Set1,Draw4,1,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,3.0,4.0,3.0
Combined,Set3,Draw1,2,11223378,39,2,2,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw7,2,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,
Evening,Set1,Draw7,3,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,
Midday,Set1,Draw5,6,02233577,39,1,1,1,2,0,1,8,0,21,0,0,,,,3.0
Combined,Set1,Draw5,5,00334599,39,1,1,1,2,0,1,8,0,21,0,0,,,,3.0
Combined,Set1,Draw5,5,00334499,39,1,1,1,2,0,1,8,0,21,0,0,,,,3.0
Midday,Set1,Draw4,7,2233477,39,4,3,1,2,3,1,6,0,15,0,0,,,,
Midday,Set1,Draw7,4,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,
Midday,Set1,Draw7,3,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,
Combined,Set1,Draw5,5,02244599,39,1,1,1,2,0,1,8,0,21,0,0,,,,3.0
Combined,Set1,Draw5,5,00224499,39,1,1,1,2,0,1,8,0,21,0,0,,,,3.0
Midday,Set1,Draw6,7,22334779,39,2,2,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw7,7,02244599,39,1,1,1,2,0,1,8,0,21,0,0,,,,3.0
Evening,Set1,Draw7,4,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,
Evening,Set1,Draw7,5,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,
Combined,Set1,Draw7,3,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,
Combined,Set1,Draw7,2,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,
Combined,Set1,Draw7,4,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,
Combined,Set1,Draw7,5,/AN,39,4,1,2,0,14,1,0,0,1,0,0,2.0,6.0,4.0,
Combined,Set1,Draw4,5,2233449,38,2,1,1,2,3,1,6,0,15,0,0,2.0,3.0,,
Evening,Set1,Draw3,1,/AN,38,4,1,2,0,14,1,0,0,1,0,0,2.0,2.0,4.0,3.0
Combined,Set1,Draw4,5,00224499,38,1,1,1,2,0,1,8,0,21,0,0,,2.0,,
Combined,Set1,Draw4,5,02244599,38,1,1,1,2,0,1,8,0,21,0,0,,2.0,,
Midday,Set1,Draw6,4,/AN,38,4,1,2,0,14,1,0,0,1,0,0,2.0,5.0,4.0,
Combined,Set1,Draw1,2,2233499,38,2,2,1,2,0,1,6,0,15,0,0,2.0,5.0,,
Combined,Set1,Draw1,3,2233499,38,2,2,1,2,0,1,6,0,15,0,0,2.0,5.0,,
Combined,Set1,Draw6,3,/AN,38,4,1,2,0,14,1,0,0,1,0,0,2.0,5.0,4.0,
Combined,Set1,Draw6,4,/AN,38,4,1,2,0,14,1,0,0,1,0,0,2.0,5.0,4.0,
Combined,Set1,Draw1,6,223349,38,4,3,1,2,3,1,4,0,10,0,0,,6.0,,
Combined,Set1,Draw6,2,/AN,38,4,1,2,0,14,1,0,0,1,0,0,2.0,5.0,4.0,
Midday,Set1,Draw3,1,/AN,38,4,1,2,0,14,1,0,0,1,0,0,2.0,2.0,4.0,3.0
Combined,Set1,Draw3,1,/AN,38,4,1,2,0,14,1,0,0,1,0,0,2.0,2.0,4.0,3.0
Midday,Set1,Draw4,5,02233577,38,1,1,1,2,0,1,8,0,21,0,0,,2.0,,
Midday,Set1,Draw6,3,/AN,38,4,1,2,0,14,1,0,0,1,0,0,2.0,5.0,4.0,
Midday,Set1,Draw6,2,/AN,38,4,1,2,0,14,1,0,0,1,0,0,2.0,5.0,4.0,
Evening,Set1,Draw6,7,02244599,38,1,1,1,2,0,1,8,0,21,0,0,,2.0,,
Evening,Set1,Draw6,4,/AN,38,4,1,2,0,14,1,0,0,1,0,0,2.0,5.0,4.0,
Evening,Set1,Draw6,3,/AN,38,4,1,2,0,14,1,0,0,1,0,0,2.0,5.0,4.0,
Evening,Set1,Draw6,2,/AN,38,4,1,2,0,14,1,0,0,1,0,0,2.0,5.0,4.0,
Combined,Set1,Draw5,3,/AN,37,4,1,2,0,14,1,0,0,1,0,0,2.0,4.0,4.0,
Combined,Set1,Draw5,2,/AN,37,4,1,2,0,14,1,0,0,1,0,0,2.0,4.0,4.0,
Midday,Set1,Draw7,6,/AN,37,4,1,2,0,14,1,0,0,1,0,0,,6.0,4.0,
Midday,Set1,Draw5,3,/AN,37,4,1,2,0,14,1,0,0,1,0,0,2.0,4.0,4.0,
Combined,Set1,Draw2,2,2233499,37,2,2,1,2,0,1,6,0,15,0,0,2.0,4.0,,
Evening,Set1,Draw7,6,/AN,37,4,1,2,0,14,1,0,0,1,0,0,,6.0,4.0,
Combined,Set1,Draw7,6,/AN,37,4,1,2,0,14,1,0,0,1,0,0,,6.0,4.0,
Midday,Set1,Draw5,2,/AN,37,4,1,2,0,14,1,0,0,1,0,0,2.0,4.0,4.0,
Combined,Set1,Draw1,4,223349,37,3,2,1,2,3,1,4,0,10,0,0,2.0,6.0,,
Combined,Set1,Draw1,5,223349,37,3,2,1,2,3,1,4,0,10,0,0,2.0,6.0,,
Combined,Set1,Draw5,5,2233449,37,2,1,1,2,3,1,6,0,15,0,0,2.0,2.0,,
Combined,Set1,Draw2,3,2233499,37,2,2,1,2,0,1,6,0,15,0,0,2.0,4.0,,
Evening,Set1,Draw5,2,/AN,37,4,1,2,0,14,1,0,0,1,0,0,2.0,4.0,4.0,
Evening,Set1,Draw5,3,/AN,37,4,1,2,0,14,1,0,0,1,0,0,2.0,4.0,4.0,
Midday,Set1,Draw4,4,11223388,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw3,3,22445599,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw3,3,33447788,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw4,5,00334599,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set2,Draw1,1,22334489,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set2,Draw1,1,11233788,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw7,7,00224499,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw4,2,/AN,36,4,1,2,0,14,1,0,0,1,0,0,2.0,3.0,4.0,
Combined,Set1,Draw4,5,00334499,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw1,1,33466899,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set2,Draw1,2,3346899,36,3,3,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set1,Draw4,4,02233588,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw6,6,22445599,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw3,3,00334488,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw6,5,/AN,36,4,1,2,0,14,1,0,0,1,0,0,,5.0,4.0,
Evening,Set1,Draw4,2,/AN,36,4,1,2,0,14,1,0,0,1,0,0,2.0,3.0,4.0,
Combined,Set1,Draw4,6,2233449,36,2,1,1,2,3,1,6,0,15,0,0,,3.0,,
Evening,Set1,Draw6,6,22334499,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw2,5,223349,36,3,2,1,2,3,1,4,0,10,0,0,2.0,5.0,,
Midday,Set1,Draw4,4,11337788,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw3,5,03344599,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw4,4,2233449,36,1,1,1,2,0,1,6,0,15,0,0,2.0,3.0,,3.0
Combined,Set1,Draw4,2,/AN,36,4,1,2,0,14,1,0,0,1,0,0,2.0,3.0,4.0,
Midday,Set1,Draw1,1,03345899,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw5,5,02335577,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw5,5,33466899,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw6,5,/AN,36,4,1,2,0,14,1,0,0,1,0,0,,5.0,4.0,
Evening,Set1,Draw5,5,22334489,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw6,6,2233449,36,2,1,1,2,3,1,6,0,15,0,0,,,,3.0
Combined,Set1,Draw6,5,/AN,36,4,1,2,0,14,1,0,0,1,0,0,,5.0,4.0,
Midday,Set1,Draw5,5,02233557,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw2,2,13346889,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw1,1,13368899,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw4,4,13346689,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw2,4,223349,36,3,2,1,2,3,1,4,0,10,0,0,2.0,5.0,,
Combined,Set2,Draw1,1,11223388,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw5,5,33446689,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw1,1,33468899,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw1,1,13346889,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw3,5,2233499,36,2,1,1,2,3,1,6,0,15,0,0,,3.0,,
Midday,Set1,Draw2,2,00133688,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set3,Draw1,1,11223368,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw4,4,0224499,35,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,3.0
Combined,Set1,Draw4,5,2233499,35,2,1,1,2,3,1,6,0,15,0,0,,2.0,,
Combined,Set1,Draw4,4,2233499,35,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,3.0
Evening,Set1,Draw5,5,2233449,35,2,2,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Evening,Set1,Draw5,4,/AN,35,4,1,2,0,14,1,0,0,1,0,0,,4.0,4.0,
Midday,Set1,Draw5,4,/AN,35,4,1,2,0,14,1,0,0,1,0,0,,4.0,4.0,
Combined,Set1,Draw5,6,2233449,35,2,1,1,2,3,1,6,0,15,0,0,,2.0,,
Combined,Set1,Draw1,1,2233499,35,1,1,1,2,0,1,6,0,15,0,0,2.0,5.0,,
Combined,Set1,Draw5,4,/AN,35,4,1,2,0,14,1,0,0,1,0,0,,4.0,4.0,
Combined,Set1,Draw4,4,2244599,35,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,3.0
Evening,Set1,Draw6,6,2244599,35,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,3.0
Combined,Set1,Draw1,4,223399,34,3,2,1,0,3,1,4,0,10,0,0,2.0,5.0,,
Combined,Set1,Draw3,3,2233449,34,1,1,1,2,0,1,6,0,15,0,0,2.0,4.0,,
Combined,Set1,Draw3,4,2233449,34,1,1,1,2,0,1,6,0,15,0,0,2.0,4.0,,
Evening,Set1,Draw4,3,/AN,34,4,1,2,0,14,1,0,0,1,0,0,,3.0,4.0,
Combined,Set1,Draw4,3,/AN,34,4,1,2,0,14,1,0,0,1,0,0,,3.0,4.0,
Combined,Set1,Draw2,6,223349,34,3,2,1,2,3,1,4,0,10,0,0,,5.0,,
Combined,Set1,Draw3,7,223449,34,4,3,1,2,3,1,4,0,10,0,0,,2.0,,
Midday,Set1,Draw4,3,/AN,34,4,1,2,0,14,1,0,0,1,0,0,,3.0,4.0,
Evening,Set1,Draw5,7,2234499,34,2,2,1,2,0,1,6,0,15,0,0,,3.0,,
Combined,Set1,Draw3,3,2244599,33,1,1,1,2,0,1,6,0,15,0,0,2.0,3.0,,
Combined,Set1,Draw3,3,2233499,33,1,1,1,2,0,1,6,0,15,0,0,2.0,3.0,,
Combined,Set1,Draw3,4,2233499,33,1,1,1,2,0,1,6,0,15,0,0,2.0,3.0,,
Combined,Set1,Draw3,4,0224499,33,1,1,1,2,0,1,6,0,15,0,0,2.0,3.0,,
Combined,Set1,Draw3,4,2244599,33,1,1,1,2,0,1,6,0,15,0,0,2.0,3.0,,
Evening,Set1,Draw3,2,/AN,33,4,1,2,0,14,1,0,0,1,0,0,,2.0,4.0,
Midday,Set1,Draw3,5,033,33,4,1,2,0,14,1,0,0,1,0,0,2.0,4.0,,
Combined,Set1,Draw3,3,0224499,33,1,1,1,2,0,1,6,0,15,0,0,2.0,3.0,,
Combined,Set1,Draw4,5,0033599,33,2,2,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set1,Draw2,5,033,33,4,1,2,0,14,1,0,0,1,0,0,2.0,4.0,,
Combined,Set1,Draw5,5,2233499,33,2,1,1,2,3,1,6,0,15,0,0,,,,
Combined,Set1,Draw3,2,/AN,33,4,1,2,0,14,1,0,0,1,0,0,,2.0,4.0,
