section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,cons_stub,hot
Evening,Set1,Draw2,2,788,straight,22,"R2,R4,R6",False,True,True,False,2
Evening,Set1,Draw2,1,788,straight,22,"R2,R4,R6",False,True,True,False,2
Evening,Set1,Draw3,2,788,straight,21,"R2,R4,R6",False,True,True,False,2
Evening,Set1,Draw3,1,788,straight,21,"R2,R4,R6",False,True,True,False,2
Evening,Set1,Draw4,1,7788,straight,21,"R2,R4,R6",False,True,True,False,2
Midday,Set1,Draw3,3,3349,straight,20,"R4,R6,R8",True,True,True,False,1
Midday,Set1,Draw3,2,334,straight,20,"R4,R6,R8",False,True,True,False,2
Evening,Set1,Draw1,1,08899,boxed,20,"R2,R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw4,1,788,straight,20,"R2,R4,R6",False,True,True,False,2
Evening,Set1,Draw4,1,778,straight,20,"R2,R4,R6",False,True,True,False,2
Evening,Set1,Draw5,1,7788,straight,20,"R2,R4,R6",False,True,True,False,2
Midday,Set1,Draw3,3,334,straight,19,"R4,R6,R8",False,True,True,False,1
Evening,Set1,Draw1,1,0899,boxed,19,"R2,R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw1,1,099,boxed,19,"R2,R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw5,1,788,straight,19,"R2,R4,R6",False,True,True,False,2
Evening,Set1,Draw5,1,778,straight,19,"R2,R4,R6",False,True,True,False,2
Combined,Set1,Draw1,5,667,straight,19,"R2,R4,R6",False,True,True,False,1
Combined,Set1,Draw1,4,667,straight,19,"R2,R4,R6",False,True,True,False,1
Midday,Set1,Draw3,3,339,straight,18,"R4,R6,R8",False,True,True,False,1
Evening,Set1,Draw2,1,099,boxed,18,"R2,R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw2,1,08899,boxed,18,"R2,R4,R8",False,True,False,False,2
Evening,Set1,Draw6,1,7788,straight,18,"R2,R4,R6",False,True,True,False,1
Combined,Set1,Draw2,4,667,straight,18,"R2,R4,R6",False,True,True,False,1
Midday,Set1,Draw3,5,339,straight,17,"R4,R6,R8",False,True,True,False,0
Midday,Set1,Draw3,4,339,straight,17,"R4,R6,R8",False,True,True,False,0
Evening,Set1,Draw1,3,088,boxed,17,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw1,2,088,boxed,17,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw1,1,088,boxed,17,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw1,3,099,boxed,17,"R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw1,3,08899,boxed,17,"R4,R6,R8",False,False,False,False,2
Evening,Set1,Draw1,2,099,boxed,17,"R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw1,2,08899,boxed,17,"R4,R6,R8",False,False,False,False,2
Evening,Set1,Draw2,2,0788,boxed,17,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw2,1,0899,boxed,17,"R2,R4,R8",False,True,False,False,2
Evening,Set1,Draw2,1,0788,boxed,17,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw3,1,099,boxed,17,"R2,R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw3,1,08899,boxed,17,"R2,R4,R8",False,True,False,False,2
Evening,Set1,Draw6,1,788,straight,17,"R2,R4,R6",False,True,True,False,1
Evening,Set1,Draw6,1,599,straight,17,"R2,R4,R6",False,True,True,False,1
Evening,Set1,Draw6,1,778,straight,17,"R2,R4,R6",False,True,True,False,1
Combined,Set1,Draw2,5,667,straight,17,"R2,R4,R6",False,True,True,False,0
Combined,Set1,Draw6,1,344,straight,17,"R4,R6,R8",False,True,True,False,1
Midday,Set3,Draw1,3,477,boxed,16,"R2,R4,R6,R8",False,True,False,False,1
Midday,Set1,Draw2,6,244,straight,16,"R2,R6,R8",False,True,True,False,0
Midday,Set1,Draw2,5,244,straight,16,"R2,R6,R8",False,True,True,False,0
Midday,Set1,Draw4,4,559,straight,16,"R2,R4,R6",False,True,True,False,0
Midday,Set1,Draw4,3,559,straight,16,"R2,R4,R6",False,True,True,False,0
Evening,Set3,Draw1,2,0229,boxed,16,"R2,R4,R6",False,False,False,False,1
Evening,Set3,Draw1,2,229,boxed,16,"R2,R4,R6",False,True,False,False,1
Evening,Set3,Draw1,1,0229,boxed,16,"R2,R4,R6",False,False,False,False,1
Evening,Set3,Draw1,1,229,boxed,16,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw1,4,088,boxed,16,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw1,3,299,boxed,16,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw1,3,02299,boxed,16,"R2,R4,R6",False,False,False,False,2
Evening,Set1,Draw1,3,2299,boxed,16,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw1,2,299,boxed,16,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw1,1,0889,boxed,16,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw1,5,099,boxed,16,"R4,R6,R8",False,True,False,False,1
Evening,Set1,Draw1,5,08899,boxed,16,"R4,R6,R8",False,False,False,False,1
Evening,Set1,Draw1,4,099,boxed,16,"R4,R6,R8",False,True,False,False,1
Evening,Set1,Draw1,4,08899,boxed,16,"R4,R6,R8",False,False,False,False,1
Evening,Set1,Draw1,3,0899,boxed,16,"R4,R6,R8",False,False,False,False,2
Evening,Set1,Draw1,2,0899,boxed,16,"R4,R6,R8",False,False,False,False,2
Evening,Set1,Draw2,2,099,boxed,16,"R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw3,5,224,straight,16,"R2,R6,R8",False,True,True,False,0
Evening,Set1,Draw3,4,224,straight,16,"R2,R6,R8",False,True,True,False,0
Evening,Set1,Draw3,2,0788,boxed,16,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw3,1,0899,boxed,16,"R2,R4,R8",False,True,False,False,2
Evening,Set1,Draw3,1,0788,boxed,16,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw4,1,07788,boxed,16,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw4,1,099,boxed,16,"R2,R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw4,1,08899,boxed,16,"R2,R4,R8",False,True,False,False,2
Evening,Set1,Draw6,2,599,straight,16,"R2,R4,R6",False,True,True,False,0
Evening,Set1,Draw7,1,5599,straight,16,"R2,R4,R6",False,True,True,False,0
Combined,Set2,Draw1,7,224,straight,16,"R2,R6,R8",False,True,True,False,0
Combined,Set2,Draw1,6,224,straight,16,"R2,R6,R8",False,True,True,False,0
Combined,Set1,Draw2,6,599,straight,16,"R2,R4,R6",False,True,True,False,0
Combined,Set1,Draw2,5,599,straight,16,"R2,R4,R6",False,True,True,False,0
Combined,Set1,Draw2,1,079,boxed,16,"R2,R4,R6,R8",False,True,False,False,2
Combined,Set1,Draw4,4,559,straight,16,"R2,R4,R6",False,True,True,False,0
Combined,Set1,Draw4,3,559,straight,16,"R2,R4,R6",False,True,True,False,0
Midday,Set2,Draw1,4,177,boxed,15,"R2,R4,R6,R8",False,True,False,False,1
Midday,Set1,Draw2,3,349,boxed,15,"R2,R4,R6,R8",True,True,False,False,1
Midday,Set1,Draw2,2,347,boxed,15,"R2,R4,R6,R8",False,True,False,False,2
Midday,Set1,Draw3,5,244,straight,15,"R2,R6,R8",False,True,True,False,0
Midday,Set1,Draw5,3,559,straight,15,"R2,R4,R6",False,True,True,False,0
Midday,Set1,Draw6,2,559,straight,15,"R2,R4,R6",False,True,True,False,0
Midday,Set1,Draw7,1,244,straight,15,"R2,R6,R8",False,True,True,False,0
Evening,Set3,Draw1,7,224,straight,15,"R2,R6,R8",False,True,True,False,0
Evening,Set3,Draw1,3,089,boxed,15,"R4,R6,R8",False,False,False,False,1
Evening,Set3,Draw1,2,089,boxed,15,"R4,R6,R8",False,False,False,False,1
