section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,cons_stub,hot
Evening,Set3,Draw1,1,089,boxed,15,"R4,R6,R8",False,False,False,False,1
Evening,Set2,Draw1,3,0229,boxed,15,"R2,R4,R6",False,False,False,False,1
Evening,Set2,Draw1,3,229,boxed,15,"R2,R4,R6",False,True,False,False,1
Evening,Set2,Draw1,3,088,boxed,15,"R2,R4,R6",False,True,False,False,1
Evening,Set2,Draw1,2,0229,boxed,15,"R2,R4,R6",False,False,False,False,1
Evening,Set2,Draw1,2,229,boxed,15,"R2,R4,R6",False,True,False,False,1
Evening,Set2,Draw1,2,088,boxed,15,"R2,R4,R6",False,True,False,False,1
Evening,Set2,Draw1,1,088,boxed,15,"R2,R4,R6",False,True,False,False,1
Evening,Set2,Draw1,1,029,boxed,15,"R2,R4,R6",False,False,False,False,1
Evening,Set2,Draw1,4,0889,boxed,15,"R4,R6,R8",False,False,False,False,1
Evening,Set2,Draw1,3,0889,boxed,15,"R4,R6,R8",False,False,False,False,1
Evening,Set2,Draw1,2,0889,boxed,15,"R4,R6,R8",False,False,False,False,1
Evening,Set2,Draw1,1,0889,boxed,15,"R4,R6,R8",False,False,False,False,1
Evening,Set1,Draw1,7,599,straight,15,"R2,R4,R6",False,True,True,False,0
Evening,Set1,Draw1,4,299,boxed,15,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw1,4,02299,boxed,15,"R2,R4,R6",False,False,False,False,1
Evening,Set1,Draw1,4,2299,boxed,15,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw1,3,229,boxed,15,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw1,2,0299,boxed,15,"R2,R4,R6",False,False,False,False,2
Evening,Set1,Draw1,1,089,boxed,15,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw1,6,099,boxed,15,"R4,R6,R8",False,True,False,False,0
Evening,Set1,Draw1,5,0899,boxed,15,"R4,R6,R8",False,False,False,False,1
Evening,Set1,Draw1,4,0899,boxed,15,"R4,R6,R8",False,False,False,False,1
Evening,Set1,Draw2,4,688,boxed,15,"R2,R4,R6,R8",False,True,False,False,1
Evening,Set1,Draw2,3,688,boxed,15,"R2,R4,R6,R8",False,True,False,False,1
Evening,Set1,Draw2,2,299,boxed,15,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw2,2,0299,boxed,15,"R2,R4,R6",False,False,False,False,2
Evening,Set1,Draw2,4,099,boxed,15,"R4,R6,R8",False,True,False,False,1
Evening,Set1,Draw2,3,099,boxed,15,"R4,R6,R8",False,True,False,False,1
Evening,Set1,Draw2,2,08899,boxed,15,"R4,R8",False,False,False,False,2
Evening,Set1,Draw2,2,0799,straight,15,"R6,R8",False,True,False,False,2
Evening,Set1,Draw2,1,0799,straight,15,"R6,R8",False,True,False,False,2
Evening,Set1,Draw3,2,099,boxed,15,"R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw3,2,0799,straight,15,"R6,R8",False,True,False,False,2
Evening,Set1,Draw3,1,0799,straight,15,"R6,R8",False,True,False,False,2
Evening,Set1,Draw4,4,224,straight,15,"R2,R6,R8",False,True,True,False,0
Evening,Set1,Draw4,2,688,boxed,15,"R2,R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw4,2,67788,boxed,15,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw4,1,0899,boxed,15,"R2,R4,R8",False,True,False,False,2
Evening,Set1,Draw4,2,07799,straight,15,"R6,R8",False,True,False,False,2
Evening,Set1,Draw4,1,07799,straight,15,"R6,R8",False,True,False,False,2
Evening,Set1,Draw5,1,07788,boxed,15,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw5,1,099,boxed,15,"R2,R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw5,1,08899,boxed,15,"R2,R4,R8",False,True,False,False,2
Evening,Set1,Draw7,1,599,straight,15,"R2,R4,R6",False,True,True,False,0
Evening,Set1,Draw7,1,559,straight,15,"R2,R4,R6",False,True,True,False,0
Combined,Set3,Draw1,7,224,straight,15,"R2,R6,R8",False,True,True,False,0
Combined,Set1,Draw1,7,224,straight,15,"R2,R6,R8",False,True,True,False,0
Combined,Set1,Draw1,3,679,boxed,15,"R2,R4,R6,R8",False,True,False,False,2
Combined,Set1,Draw1,2,679,boxed,15,"R2,R4,R6,R8",False,True,False,False,2
Combined,Set1,Draw2,2,067,boxed,15,"R2,R4,R6",False,True,False,False,2
Combined,Set1,Draw3,5,599,straight,15,"R2,R4,R6",False,True,True,False,0
Combined,Set1,Draw3,1,079,boxed,15,"R2,R4,R6,R8",False,True,False,False,2
Combined,Set1,Draw4,2,059,boxed,15,"R2,R4,R6",True,True,False,False,2
Combined,Set1,Draw4,1,017,boxed,15,"R2,R4,R6,R8",False,False,False,False,2
Combined,Set1,Draw4,1,059,boxed,15,"R2,R4,R6",True,True,False,False,2
Combined,Set1,Draw5,3,559,straight,15,"R2,R4,R6",False,True,True,False,0
Combined,Set1,Draw5,1,0177,boxed,15,"R2,R4,R6,R8",False,False,False,False,2
Combined,Set1,Draw6,2,244,straight,15,"R2,R6,R8",False,True,True,False,0
Combined,Set1,Draw7,1,599,straight,15,"R2,R4,R6",False,True,True,False,0
Combined,Set1,Draw7,1,344,straight,15,"R4,R6,R8",False,True,True,False,0
Midday,Set3,Draw1,4,4779,boxed,14,"R2,R4,R6,R8",True,True,False,False,1
Midday,Set2,Draw1,3,779,boxed,14,"R2,R4,R6,R8",False,True,False,False,1
Midday,Set1,Draw1,5,177,boxed,14,"R2,R4,R6,R8",False,True,False,False,1
Midday,Set1,Draw1,4,779,boxed,14,"R2,R4,R6,R8",False,True,False,False,1
Midday,Set1,Draw4,2,1336,straight,14,"R2,R8",True,True,False,False,2
Evening,Set3,Draw1,4,0229,boxed,14,"R2,R4",False,False,False,False,1
Evening,Set3,Draw1,3,0229,boxed,14,"R2,R4",False,False,False,False,1
Evening,Set2,Draw1,4,388,boxed,14,"R2,R4,R8",True,True,False,False,1
Evening,Set2,Draw1,4,089,boxed,14,"R4,R6,R8",False,False,False,False,1
Evening,Set2,Draw1,3,089,boxed,14,"R4,R6,R8",False,False,False,False,1
Evening,Set2,Draw1,2,089,boxed,14,"R4,R6,R8",False,False,False,False,1
Evening,Set2,Draw1,1,089,boxed,14,"R4,R6,R8",False,False,False,False,1
Evening,Set1,Draw1,4,229,boxed,14,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw1,3,8899,straight,14,R8,False,False,False,False,2
Evening,Set1,Draw1,2,8899,straight,14,R8,False,False,False,False,2
Evening,Set1,Draw1,1,8899,straight,14,R8,False,False,False,False,2
Evening,Set1,Draw2,4,299,boxed,14,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw2,4,6788,boxed,14,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw2,4,02299,boxed,14,"R2,R4,R6",False,False,False,False,1
Evening,Set1,Draw2,4,2299,boxed,14,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw2,3,299,boxed,14,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw2,3,6788,boxed,14,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw2,3,02299,boxed,14,"R2,R4,R6",False,False,False,False,1
Evening,Set1,Draw2,3,2299,boxed,14,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw2,6,099,boxed,14,"R4,R6,R8",False,True,False,False,0
Evening,Set1,Draw2,5,099,boxed,14,"R4,R6,R8",False,True,False,False,0
Evening,Set1,Draw2,4,788,straight,14,"R4,R6",False,True,False,False,1
Evening,Set1,Draw2,3,788,straight,14,"R4,R6",False,True,False,False,1
Evening,Set1,Draw2,2,0899,boxed,14,"R4,R8",False,False,False,False,2
Evening,Set1,Draw2,4,0799,straight,14,"R6,R8",False,True,False,False,1
Evening,Set1,Draw2,3,0799,straight,14,"R6,R8",False,True,False,False,1
Evening,Set1,Draw2,2,079,straight,14,"R6,R8",False,True,False,False,2
Evening,Set1,Draw2,1,079,straight,14,"R6,R8",False,True,False,False,2
Evening,Set1,Draw3,3,688,boxed,14,"R2,R4,R6,R8",False,True,False,False,1
Evening,Set1,Draw3,2,299,boxed,14,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw3,2,0299,boxed,14,"R2,R4,R6",False,False,False,False,2
Evening,Set1,Draw3,3,099,boxed,14,"R4,R6,R8",False,True,False,False,1
Evening,Set1,Draw3,2,08899,boxed,14,"R4,R8",False,False,False,False,2
Evening,Set1,Draw3,3,0799,straight,14,"R6,R8",False,True,False,False,1
Evening,Set1,Draw3,2,079,straight,14,"R6,R8",False,True,False,False,2
Evening,Set1,Draw3,1,079,straight,14,"R6,R8",False,True,False,False,2
Evening,Set1,Draw4,2,6788,boxed,14,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw4,2,7788,straight,14,"R4,R6",False,True,False,False,2
Evening,Set1,Draw4,2,099,boxed,14,"R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw4,2,0799,straight,14,"R6,R8",False,True,False,False,2
Evening,Set1,Draw4,2,0779,straight,14,"R6,R8",False,True,False,False,2
Evening,Set1,Draw4,1,0799,straight,14,"R6,R8",False,True,False,False,2
Evening,Set1,Draw4,1,0779,straight,14,"R6,R8",False,True,False,False,2
Evening,Set1,Draw5,2,688,boxed,14,"R2,R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw5,2,67788,boxed,14,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw5,1,0899,boxed,14,"R2,R4,R8",False,True,False,False,2
Evening,Set1,Draw5,2,07799,straight,14,"R6,R8",False,True,False,False,2
Evening,Set1,Draw5,1,07799,straight,14,"R6,R8",False,True,False,False,2
Evening,Set1,Draw6,1,008899,boxed,14,"R2,R4,R8",False,True,False,False,1
Evening,Set1,Draw6,1,00599,boxed,14,"R2,R4,R6",True,True,False,False,1
Evening,Set1,Draw6,1,007788,boxed,14,"R2,R4,R6",False,True,False,False,1
Combined,Set1,Draw2,3,067,boxed,14,"R2,R4,R6",False,True,False,False,1
Combined,Set1,Draw2,3,059,boxed,14,"R2,R4,R6",True,True,False,False,1
Combined,Set1,Draw5,1,059,boxed,14,"R2,R4,R6",True,True,False,False,2
Midday,Set3,Draw1,4,477,straight,13,"R2,R4",False,True,False,False,1
Midday,Set3,Draw1,4,479,boxed,13,"R2,R4,R6,R8",True,True,False,False,1
Midday,Set1,Draw3,2,133,straight,13,"R2,R8",False,True,False,False,2
Midday,Set1,Draw3,2,3345,boxed,13,"R4,R6,R8",False,True,False,False,2
Midday,Set1,Draw4,2,336,boxed,13,"R2,R4,R8",False,True,False,False,2
Midday,Set1,Draw5,2,1336,straight,13,"R2,R8",True,True,False,False,2
Evening,Set3,Draw1,6,0229,boxed,13,"R2,R4",False,False,False,False,0
Evening,Set3,Draw1,5,0229,boxed,13,"R2,R4",False,False,False,False,0
Evening,Set3,Draw1,4,229,boxed,13,"R2,R4",False,False,False,False,1
Evening,Set3,Draw1,3,229,boxed,13,"R2,R4",False,False,False,False,1
Evening,Set3,Draw1,4,0089,boxed,13,"R4,R6,R8",False,False,False,False,1
Evening,Set3,Draw1,4,009,boxed,13,"R4,R6,R8",False,True,False,False,1
Evening,Set3,Draw1,2,029,boxed,13,"R4,R6",False,False,False,False,1
Evening,Set3,Draw1,1,029,boxed,13,"R4,R6",False,False,False,False,1
Evening,Set3,Draw1,4,223,straight,13,"R6,R8",False,True,False,False,1
Evening,Set3,Draw1,3,223,straight,13,"R6,R8",False,True,False,False,1
Evening,Set2,Draw1,7,388,boxed,13,"R2,R4,R8",True,True,False,False,0
Evening,Set2,Draw1,6,388,boxed,13,"R2,R4,R8",True,True,False,False,0
Evening,Set2,Draw1,5,388,boxed,13,"R2,R4,R8",True,True,False,False,0
Evening,Set2,Draw1,4,0229,boxed,13,"R2,R4",False,False,False,False,1
Evening,Set2,Draw1,3,029,boxed,13,"R4,R6",False,False,False,False,1
Evening,Set2,Draw1,2,029,boxed,13,"R4,R6",False,False,False,False,1
Evening,Set1,Draw1,5,388,boxed,13,"R2,R4,R8",True,True,False,False,1
Evening,Set1,Draw1,5,02299,boxed,13,"R2,R4",False,False,False,False,1
Evening,Set1,Draw1,5,088,boxed,13,"R4,R6",False,False,False,False,1
Evening,Set1,Draw1,3,0299,boxed,13,"R4,R6",False,False,False,False,2
Evening,Set1,Draw1,3,0889,boxed,13,"R4,R6",False,False,False,False,2
Evening,Set1,Draw1,2,0889,boxed,13,"R4,R6",False,False,False,False,2
Evening,Set1,Draw1,5,8899,straight,13,R8,False,False,False,False,1
Evening,Set1,Draw1,4,8899,straight,13,R8,False,False,False,False,1
Evening,Set1,Draw1,3,899,straight,13,R8,False,False,False,False,2
Evening,Set1,Draw1,3,889,straight,13,R8,False,False,False,False,2
Evening,Set1,Draw1,2,899,straight,13,R8,False,False,False,False,2
Evening,Set1,Draw1,2,889,straight,13,R8,False,False,False,False,2
Evening,Set1,Draw1,1,899,straight,13,R8,False,False,False,False,2
Evening,Set1,Draw1,1,889,straight,13,R8,False,False,False,False,2
Evening,Set1,Draw2,4,229,boxed,13,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw2,3,229,boxed,13,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw2,2,088,straight,13,"R2,R4",False,True,False,False,2
Evening,Set1,Draw2,1,088,straight,13,"R2,R4",False,True,False,False,2
Evening,Set1,Draw2,5,0799,straight,13,"R6,R8",False,True,False,False,0
Evening,Set1,Draw2,4,079,straight,13,"R6,R8",False,True,False,False,1
Evening,Set1,Draw2,3,079,straight,13,"R6,R8",False,True,False,False,1
Evening,Set1,Draw2,4,08899,straight,13,R8,False,False,False,False,1
Evening,Set1,Draw2,3,08899,straight,13,R8,False,False,False,False,1
Evening,Set1,Draw2,2,8899,straight,13,R8,False,False,False,False,2
Evening,Set1,Draw2,1,8899,straight,13,R8,False,False,False,False,2
Evening,Set1,Draw3,3,299,boxed,13,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw3,3,6788,boxed,13,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw3,3,02299,boxed,13,"R2,R4,R6",False,False,False,False,1
Evening,Set1,Draw3,3,2299,boxed,13,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw3,5,099,boxed,13,"R4,R6,R8",False,True,False,False,0
Evening,Set1,Draw3,4,099,boxed,13,"R4,R6,R8",False,True,False,False,0
Evening,Set1,Draw3,3,788,straight,13,"R4,R6",False,True,False,False,1
Evening,Set1,Draw3,2,0899,boxed,13,"R4,R8",False,False,False,False,2
Evening,Set1,Draw3,5,0799,straight,13,"R6,R8",False,True,False,False,0
Evening,Set1,Draw3,4,0799,straight,13,"R6,R8",False,True,False,False,0
Evening,Set1,Draw3,3,079,straight,13,"R6,R8",False,True,False,False,1
Evening,Set1,Draw4,3,667788,boxed,13,"R2,R4,R6",False,True,False,False,0
Evening,Set1,Draw4,3,6688,boxed,13,"R2,R4,R6,R8",False,True,False,False,0
Evening,Set1,Draw4,3,688,boxed,13,"R2,R4,R6,R8",False,True,False,False,0
Evening,Set1,Draw4,2,299,boxed,13,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw4,2,0299,boxed,13,"R2,R4,R6",False,False,False,False,2
Evening,Set1,Draw4,2,778,straight,13,"R4,R6",False,True,False,False,2
Evening,Set1,Draw4,2,788,straight,13,"R4,R6",False,True,False,False,2
Evening,Set1,Draw4,4,07799,straight,13,"R6,R8",False,True,False,False,0
Evening,Set1,Draw4,3,07799,straight,13,"R6,R8",False,True,False,False,0
Evening,Set1,Draw4,2,077,straight,13,"R6,R8",False,True,False,False,2
Evening,Set1,Draw4,2,079,straight,13,"R6,R8",False,True,False,False,2
Evening,Set1,Draw4,1,079,straight,13,"R6,R8",False,True,False,False,2
Evening,Set1,Draw4,1,077,straight,13,"R6,R8",False,True,False,False,2
Evening,Set1,Draw5,2,6788,boxed,13,"R2,R4,R6",False,True,False,False,2
Evening,Set1,Draw5,2,7788,straight,13,"R4,R6",False,True,False,False,2
Evening,Set1,Draw5,2,099,boxed,13,"R4,R6,R8",False,True,False,False,2
Evening,Set1,Draw5,2,0799,straight,13,"R6,R8",False,True,False,False,2
Evening,Set1,Draw5,2,0779,straight,13,"R6,R8",False,True,False,False,2
Evening,Set1,Draw5,1,0799,straight,13,"R6,R8",False,True,False,False,2
Evening,Set1,Draw5,1,0779,straight,13,"R6,R8",False,True,False,False,2
Evening,Set1,Draw6,1,00899,boxed,13,"R2,R4,R8",False,True,False,False,1
Evening,Set1,Draw6,1,0599,boxed,13,"R2,R4,R6",True,True,False,False,1
Evening,Set1,Draw6,1,07788,boxed,13,"R2,R4,R6",False,True,False,False,1
Evening,Set1,Draw7,1,005599,boxed,13,"R2,R4,R6",True,True,False,False,0
Combined,Set3,Draw1,3,029,boxed,13,"R2,R4,R6",False,False,False,False,1
Combined,Set3,Draw1,2,267,boxed,13,"R2,R4,R6,R8",True,True,False,False,1
Combined,Set3,Draw1,4,079,straight,13,"R6,R8",False,True,False,False,1
Combined,Set3,Draw1,3,079,straight,13,"R6,R8",False,True,False,False,1
Combined,Set2,Draw1,3,267,boxed,13,"R2,R4,R6,R8",True,True,False,False,1
Combined,Set1,Draw2,4,0667,boxed,13,"R2,R4,R6",False,True,False,False,1
Combined,Set1,Draw2,2,069,boxed,13,"R2,R4,R8",False,True,False,False,2
Combined,Set1,Draw2,2,079,straight,13,"R6,R8",False,True,False,False,2
Combined,Set1,Draw3,3,059,boxed,13,"R2,R4,R6",True,True,False,False,1
Combined,Set1,Draw3,2,069,boxed,13,"R2,R4,R8",False,True,False,False,2
Combined,Set1,Draw5,1,177,boxed,13,"R2,R4,R6",False,True,False,False,2
Combined,Set1,Draw5,1,077,boxed,13,"R4,R6,R8",False,True,False,False,2
Midday,Set2,Draw1,5,177,boxed,12,"R4,R6,R8",False,True,False,False,0
Midday,Set1,Draw2,4,234,boxed,12,"R2,R6,R8",False,True,False,False,1
Midday,Set1,Draw2,4,239,boxed,12,"R4,R6,R8",False,True,False,False,1
Midday,Set1,Draw3,2,1337,boxed,12,"R2,R8",False,False,False,False,2
Midday,Set1,Draw3,3,3359,straight,12,"R4,R6",False,True,False,False,1
Midday,Set1,Draw4,2,133,straight,12,"R2,R8",False,True,False,False,2
Midday,Set1,Draw4,2,334,straight,12,"R4,R6",False,True,False,False,2
Midday,Set1,Draw5,2,0133,straight,12,"R2,R8",False,True,False,False,2
Midday,Set1,Draw5,2,336,boxed,12,"R2,R4,R8",False,True,False,False,2
Midday,Set1,Draw5,2,013,straight,12,"R2,R8",False,True,False,False,2
Midday,Set1,Draw5,1,013,straight,12,"R2,R8",False,True,False,False,2
Evening,Set3,Draw1,7,229,boxed,12,"R2,R4",False,False,False,False,0
Evening,Set3,Draw1,6,229,boxed,12,"R2,R4",False,False,False,False,0
Evening,Set3,Draw1,5,229,boxed,12,"R2,R4",False,False,False,False,0
Evening,Set3,Draw1,4,00229,boxed,12,"R2,R4",False,False,False,False,1
Evening,Set3,Draw1,7,0229,straight,12,R4,False,False,False,False,0
Evening,Set3,Draw1,7,009,boxed,12,"R4,R6,R8",False,True,False,False,0
Evening,Set3,Draw1,6,009,boxed,12,"R4,R6,R8",False,True,False,False,0
Evening,Set3,Draw1,5,0089,boxed,12,"R4,R6,R8",False,False,False,False,0
Evening,Set3,Draw1,5,009,boxed,12,"R4,R6,R8",False,True,False,False,0
Evening,Set3,Draw1,4,029,straight,12,R4,False,False,False,False,1
Evening,Set3,Draw1,3,029,straight,12,R4,False,False,False,False,1
Evening,Set3,Draw1,5,223,straight,12,"R6,R8",False,True,False,False,0
Evening,Set3,Draw1,4,089,straight,12,R8,False,False,False,False,1
Evening,Set2,Draw1,7,0229,boxed,12,"R2,R4",False,False,False,False,0
