section,set_name,draw_name,column_index,triad,vt_triad,vertical_support,horizontal_span,set_span,variant_echo,has_straight,has_vt_straight,vt_only_lane,col1_arrival,precol1_funnel,ls_col_42,ls2_lane,is_starred,star_count,is_superhot_slot,is_set1,guard_injected,score,reasons
Combined,Set1,Draw1,1,126,223,3,5,3,3,1,1,0,1,0,0,1,1,20,1,1,1,35.85,hot20|superhot_set1|literal_draw|guard_set1|vertical3|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,2,077,13,3,2,3,3,1,1,0,0,1,1,0,1,20,1,1,1,35.35,hot20|superhot_set1|literal_draw|guard_set1|vertical3|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,1,077,13,3,3,3,3,1,1,0,1,0,0,1,1,20,1,1,0,34.85,hot20|superhot_set1|literal_draw|vertical3|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,2,579,135,2,7,3,3,1,1,0,0,1,1,0,1,20,1,1,0,33.75,hot20|superhot_set1|literal_draw|vertical2|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,2,029,135,2,2,3,3,1,1,0,0,1,1,0,1,20,1,1,0,33.75,hot20|superhot_set1|literal_draw|vertical2|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,1,126,223,1,6,3,3,1,1,0,1,0,0,1,1,20,1,1,0,33.65,hot20|superhot_set1|literal_draw|vertical1|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,029,135,3,1,3,3,1,1,0,0,1,0,1,1,20,0,1,0,32.3,hot20|literal_draw|vertical3|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,3,257,133,2,4,3,3,1,1,0,0,1,0,1,1,20,0,1,0,31.7,hot20|literal_draw|vertical2|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,3,799,35,2,4,3,3,1,1,0,0,1,0,1,1,20,0,1,0,31.7,hot20|literal_draw|vertical2|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,1,246,235,4,7,3,3,1,1,0,1,0,0,1,1,20,1,1,0,31.45,hot20|superhot_set1|vertical4|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,1,346,245,4,7,3,3,1,1,0,1,0,0,1,1,20,1,1,0,31.45,hot20|superhot_set1|vertical4|col1|ls2_lane|vt_straight|straight_lane|set1_bonus
