section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,447,31,104,30.5,3,7,10,11,8,0,0,15,37,37,boxed|cov4|hp_repeat7|vstr2|hot1|dom_last|perm2|hidden3v|double_mirror|set_chain3;boxed|cov2|hp_repeat7|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7,set_chain3|draw_chain7|col1x8|hot1x10|hot2x11|vstrx15|dblmirrorx37
Combined,244,31,86,36,1,7,5,8,6,0,0,15,24,24,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|dom_last|hidden3v|double_mirror|vtrac_straight|draw_chain7;straight|cov3|hp_repeat6|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain7,draw_chain7|col1x6|hot1x5|hot2x8|vstrx15|dblmirrorx24
Combined,446,25,83,29,3,7,4,11,7,0,0,7,20,20,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain7;boxed|cov3|hp_repeat4|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain7,set_chain3|draw_chain7|col1x7|hot1x4|hot2x11|vstrx7|dblmirrorx20
Combined,4467,22,69.5,29.5,1,7,3,11,7,0,0,9,0,16,boxed|cov4|hp_repeat3|hot2|dom_last|perm4|hidden3v|draw_chain7;boxed|cov4|hp_repeat3|hot2|perm4|hidden3v|draw_chain7,draw_chain7|col1x7|hot1x3|hot2x11|vstrx9
Combined,44,15,67,34,2,7,5,2,4,1,0,10,17,17,straight|cov4|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v|hidden3v|double_mirror|vtrac_straight|set_chain2;straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain7,set_chain2|draw_chain7|col1x4|hot1x5|hot2x2|consensusx1|vstrx10|dblmirrorx17
Combined,2446,22,56.5,23.5,1,6,5,8,5,0,0,8,0,20,boxed|cov3|hp_repeat4|hot2|perm3|hidden3v|draw_chain6;boxed|cov3|hp_repeat4|hot2|perm3|hidden3v|draw_chain6,draw_chain6|col1x5|hot1x5|hot2x8|vstrx8
Combined,246,22,55,20.5,1,6,5,8,5,0,0,11,0,20,straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|draw_chain6;boxed|cov2|hp_repeat4|hot2|perm2|hidden3v|draw_chain6,draw_chain6|col1x5|hot1x5|hot2x8|vstrx11
Combined,677,20,51,24.5,2,4,1,4,4,0,0,8,11,11,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain4;straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x1|hot2x4|vstrx8|dblmirrorx11
Combined,477,28,48.5,21.5,2,4,1,4,4,0,0,9,11,11,straight|cov1|hp_repeat4|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain4;straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x1|hot2x4|vstrx9|dblmirrorx11
Combined,448,34,46.5,26,3,2,8,0,0,0,0,0,15,15,boxed|cov4|hp_repeat4|vstr2|vstr3|hot1|perm2|double_mirror|set_chain3;boxed|cov4|hp_repeat4|vstr2|vstr3|hot1|perm2|double_mirror|set_chain3,set_chain3|draw_chain2|hot1x8|dblmirrorx15
