date,state,section,overlap,stable_cols_count,stable_cols,consensus_col1,consensus_col2,cross_section_echo,hot_count,superhot_count,mask_drop,mirror_supported,double_hits,confidence_score,tier,flags,top_tokens,recommended_tokens,top_straights,section_prior,state_prior,why,source
,Connecticut4,Midday,1,2,"[2,1]",false,false,0,8,12,17,true,239,18.864,C,[],"[""V1x1_2x1_5x1""]","[""V1x1_2x1_5x1""]","[""084"",""048"",""086""]",1.0,1.0,overlap=0.693*1.00->0.69; stable=4.400*1.90->8.36; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; doubles=0.026*0.40->0.01; recency_lane=1.200*1.50->1.80; vt_lane_rescue=0.800*1.20->0.96; winner_lane_rescue=1.600*2.50->4.00; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Connecticut4,Evening,3,3,"[5,4,3]",false,false,0,8,12,19,true,276,11.96,B+,[],"[""V2x4_3x1_5x1"",""V2x3"",""V1x2_2x1""]","[""V1x2_2x1"",""V2x3"",""V2x4_3x1_5x1""]","[""086"",""645"",""847""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=3.600*1.90->6.84; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.667*0.80->0.53; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; straight_lane=1.500*0.80->1.20; section_prior=1.00,validation_report.json
,Connecticut4,Combined,2,3,"[3,2,1]",false,false,0,8,12,20,true,238,20.859,B,[],"[""V1x1_4x1_5x1"",""V3x1_4x1_5x1""]","[""V1x1_4x1_5x1"",""V3x1_4x1_5x1""]","[""084"",""048"",""847""]",1.15,1.0,overlap=1.099*1.00->1.10; stable=6.000*1.90->11.40; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,Delaware4,Midday,2,3,"[3,2,1]",false,false,1,8,12,18,true,702,20.458,B,[],"[""V1x2_5x1"",""V5x2_2x1""]","[""V1x2_5x1"",""V5x2_2x1""]","[""194"",""941"",""964""]",1.0,1.0,overlap=1.099*1.00->1.10; stable=6.000*1.90->11.40; echo=1.000*2.00->2.00; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.875*0.80->0.70; mirror=1.000*0.60->0.60; doubles=0.647*0.40->0.26; recency_lane=1.200*1.50->1.80; straight_lane=2.000*0.80->1.60; section_prior=1.00,validation_report.json
,Delaware4,Evening,3,4,"[4,3,2,1]",false,false,0,8,12,19,true,781,20.916,B+,[],"[""V5x3_2x2"",""V5x4_2x2_3x2"",""V5x4_2x2_3x1""]","[""V5x3_2x2"",""V5x4_2x2_3x1"",""V5x4_2x2_3x2""]","[""194"",""941"",""964""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Delaware4,Combined,1,2,"[2,1]",false,false,1,8,12,11,true,557,25.948,C,[],"[""V1x2_5x1""]","[""V1x2_5x1""]","[""194"",""941"",""964""]",1.15,1.0,overlap=0.693*1.00->0.69; stable=4.400*1.90->8.36; echo=1.000*2.00->2.00; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; vt_lane_rescue=1.050*1.20->1.26; winner_lane_rescue=2.100*2.50->5.25; straight_lane=2.000*0.80->1.60; section_prior=1.15,validation_report.json
,Florida4,Midday,4,4,"[4,3,2,1]",false,false,0,8,12,13,true,535,20.319,A,[],"[""V2x4_4x3_1x1"",""V2x4_4x3"",""V2x3_4x3"",""V2x2_4x2""]","[""V2x2_4x2"",""V2x3_4x3"",""V2x4_4x3""]","[""138"",""836"",""831""]",1.0,1.0,overlap=1.609*1.00->1.61; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; doubles=0.950*0.40->0.38; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Florida4,Evening,1,1,[1],false,false,0,8,12,23,true,536,15.333,C,[],"[""V2x1_3x1_5x1""]","[""V2x1_3x1_5x1""]","[""138"",""836"",""831""]",1.0,1.0,overlap=0.693*1.00->0.69; stable=2.400*1.90->4.56; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.000*1.50->1.50; vt_lane_rescue=0.700*1.20->0.84; winner_lane_rescue=1.400*2.50->3.50; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Florida4,Combined,1,1,[1],false,false,0,8,12,17,true,516,16.621,C,[],"[""V2x1_4x1_5x1""]","[""V2x1_4x1_5x1""]","[""138"",""836"",""831""]",1.15,1.0,overlap=0.693*1.00->0.69; stable=2.400*1.90->4.56; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.400*0.80->0.32; mirror=1.000*0.60->0.60; recency_lane=1.000*1.50->1.50; vt_lane_rescue=0.700*1.20->0.84; winner_lane_rescue=1.400*2.50->3.50; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,Indiana4,Midday,1,1,[1],false,false,1,8,12,23,true,531,19.043,C,[],"[""V2x2_4x2_3x1""]","[""V2x2_4x2_3x1""]","[""683"",""386"",""836""]",1.0,1.0,overlap=0.693*1.00->0.69; stable=2.400*1.90->4.56; echo=1.000*2.00->2.00; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.000*1.50->1.50; vt_lane_rescue=0.950*1.20->1.14; winner_lane_rescue=1.900*2.50->4.75; straight_lane=2.000*0.80->1.60; section_prior=1.00,validation_report.json
