state,analyzer_label,analyzer_json,picked_html,combined_overlap_count,combined_overlap_tokens,combined_hot,combined_superhot,combined_consensus_col1,combined_consensus_col2,combined_stable_columns,combined_mask_drop,combined_reduction_hits,combined_mirror_supported,combined_double_hits,combined_analyzer_top_straights,midday_overlap_count,midday_overlap_tokens,midday_hot,midday_superhot,midday_consensus_col1,midday_consensus_col2,midday_stable_columns,midday_mask_drop,midday_reduction_hits,midday_mirror_supported,midday_double_hits,midday_analyzer_top_straights,evening_overlap_count,evening_overlap_tokens,evening_hot,evening_superhot,evening_consensus_col1,evening_consensus_col2,evening_stable_columns,evening_mask_drop,evening_reduction_hits,evening_mirror_supported,evening_double_hits,evening_analyzer_top_straights
Connecticut4,primary,data/outputs/analysis/vtrac/Connecticut4/Connecticut4_vtrac_enhanced_20260105_054814.json,reports/stable/winners_by_date/2026-01-03/Connecticut4/Connecticut4_vtrac18_winner_181_20260105_054534.html,2,V1x1_4x1_5x1;V3x1_4x1_5x1,8,12,0,0,3;2;1,20,120,22,238,084;048;847;864;874;548,1,V1x1_2x1_5x1,8,12,0,0,2;1,17,142,19,239,084;048;086;645;068;864,3,V1x2_2x1;V2x3;V2x4_3x1_5x1,8,12,0,0,5;4;3,19,144,22,276,086;645;847;068;864;874
Delaware4,primary,data/outputs/analysis/vtrac/Delaware4/Delaware4_vtrac_enhanced_20260105_054815.json,reports/stable/winners_by_date/2026-01-03/Delaware4/Delaware4_vtrac28_winner_797_20260105_054536.html,1,V1x2_5x1,8,12,0,0,2;1,11,214,6,557,194;941;964;471;179;417,2,V1x2_5x1;V5x2_2x1,8,12,0,0,3;2;1,18,258,11,702,194;941;964;471;934;179,3,V5x3_2x2;V5x4_2x2_3x1;V5x4_2x2_3x2,8,12,0,0,4;3;2;1,19,266,14,781,194;941;964;471;934;179
Florida4,primary,data/outputs/analysis/vtrac/Florida4/Florida4_vtrac_enhanced_20260105_054816.json,reports/stable/winners_by_date/2026-01-03/Florida4/Florida4_vtrac16_winner_611_20260105_054538.html,1,V2x1_4x1_5x1,8,12,0,0,1,17,181,20,516,138;836;831;813;386;683,4,V2x2_4x2;V2x3_4x3;V2x4_4x3;V2x4_4x3_1x1,8,12,0,0,4;3;2;1,13,155,16,535,138;836;831;813;386;683,1,V2x1_3x1_5x1,8,12,0,0,1,23,196,27,536,138;836;831;813;386;683
Indiana4,primary,data/outputs/analysis/vtrac/Indiana4/Indiana4_vtrac_enhanced_20260105_054817.json,reports/stable/winners_by_date/2026-01-03/Indiana4/Indiana4_vtrac25_winner_199_20260105_054540.html,3,V2x2_4x1;V2x2_4x2;V2x2_4x2_3x1,8,12,0,0,3;2;1,19,113,20,401,683;386;836;681;138;183,1,V2x2_4x2_3x1,8,12,0,0,1,23,224,26,531,683;386;836;681;138;183,1,V2x2_3x2_5x2,8,12,0,0,4;3;2;1,10,138,12,392,683;386;836;681;138;183
Michigan4,primary,data/outputs/analysis/vtrac/Michigan4/Michigan4_vtrac_enhanced_20260105_054817.json,reports/stable/winners_by_date/2026-01-03/Michigan4/Michigan4_vtrac31_winner_479_20260105_054542.html,2,V2x2_1x1;V2x2_5x1,8,12,0,0,4;3;2;1,14,150,5,209,016;061;610;096;196;906,3,V2x3;V2x3_1x1;V2x3_4x2_1x1,8,12,0,0,4;3;2;1,15,239,6,338,016;061;610;096;906;124,2,V1x2_2x2_4x2;V2x2_1x1_4x1,8,12,0,0,3;2;1,11,220,3,250,016;061;610;196;916;124
NewJersey4,primary,data/outputs/analysis/vtrac/NewJersey4/NewJersey4_vtrac_enhanced_20260105_054818.json,reports/stable/winners_by_date/2026-01-03/NewJersey4/NewJersey4_vtrac24_winner_963_20260105_054545.html,1,V5x2_3x1_4x1,8,12,0,0,3;2;1,15,106,24,699,924;982;928;824;182;284,0,,8,12,0,0,,17,115,28,779,924;982;928;824;182;284,2,V3x3_5x2;V3x3_5x3_4x1,8,12,0,0,5;4;3;2;1,13,101,24,743,924;982;928;824;182;284
NewYork4,primary,data/outputs/analysis/vtrac/NewYork4/NewYork4_vtrac_enhanced_20260105_054819.json,reports/stable/winners_by_date/2026-01-03/NewYork4/NewYork4_vtrac22_winner_679_20260105_054549.html,1,V4x2_1x1,8,12,0,0,1,11,274,7,634,206;062;837;387;783;067,4,V1x2_2x1_3x1;V1x2_3x2_2x1;V1x4_2x2_3x2;V1x4_2x3_3x3,8,12,0,0,6;5;4;3;2;1,11,217,6,487,206;062;067;625;872;287,5,V3x2_4x2_5x1;V3x3_4x2_5x2;V3x4_4x2_5x2;V3x4_5x3_4x2;V4x2_3x1_5x1,8,12,0,0,6;5;4;3;2;1,9,244,3,499,837;387;783;872;287;782
NorthCarolina4,primary,data/outputs/analysis/vtrac/NorthCarolina4/NorthCarolina4_vtrac_enhanced_20260105_054820.json,reports/stable/winners_by_date/2026-01-03/NorthCarolina4/NorthCarolina4_vtrac21_winner_178_20260105_054552.html,2,V3x2_4x1_5x1;V3x2_5x1,8,12,0,0,3;2;1,13,106,18,820,093;932;034;290;540;503,1,V3x2_1x1_5x1,8,12,0,0,1,9,95,15,712,093;932;034;290;540;503,2,V1x2_4x1_5x1;V1x2_5x1,8,12,0,0,3;2;1,13,101,15,571,093;034;540;503;590;059
Ohio4,primary,data/outputs/analysis/vtrac/Ohio4/Ohio4_vtrac_enhanced_20260105_054821.json,reports/stable/winners_by_date/2026-01-03/Ohio4/Ohio4_vtrac19_winner_411_20260105_054556.html,1,V1x3_3x1_4x1,8,12,0,0,3;2;1,22,265,19,323,527;725;987;257;752;825,4,V1x2_3x1;V1x2_3x2;V1x3_3x2_2x1;V1x3_3x3_2x2,8,12,0,0,6;5;4;3;2;1,18,246,16,313,527;725;987;257;752;825,2,V1x2_2x1_4x1;V1x2_4x1,8,12,0,0,3;2;1,15,234,14,185,527;725;987;257;752;825
OntarioCanada4,primary,data/outputs/analysis/vtrac/OntarioCanada4/OntarioCanada4_vtrac_enhanced_20260105_054821.json,reports/stable/winners_by_date/2026-01-03/OntarioCanada4/OntarioCanada4_vtrac11_winner_032_20260105_054559.html,3,V1x2_3x1;V2x2_3x1;V2x3_1x1_3x1,8,12,0,0,4;3;2;1,16,168,17,228,267;675;567;752;762;027,2,V3x2_1x1_2x1;V3x2_2x1,8,12,0,0,2;1,21,206,21,303,267;675;567;752;762;027,2,V1x1_2x1_4x1;V2x2_4x2,8,12,0,0,2;1,21,165,21,204,675;567;752;027;257;072
