section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,why
Evening,Set1,Draw2,1,009,straight,26.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,straight|cov4|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Evening,Set2,Draw1,1,003,straight,25.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,straight|cov4|span2|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Combined,Set3,Draw1,1,002,straight,24.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,straight|cov4|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Evening,Set3,Draw1,1,003,straight,24.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,straight|cov4|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Evening,Set1,Draw1,2,003,straight,24.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,straight|cov4|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Evening,Set1,Draw4,1,249,boxed,24.0,"R2,R4,R6,R8",True,False,False,False,True,True,False,True,False,2,boxed|cov4|span4|mirror|cons_full|hot2|dom_last|cons_3v
Combined,Set1,Draw1,1,249,boxed,23.0,"R2,R4,R6,R8",True,False,False,False,True,True,False,True,False,2,boxed|cov4|span3|mirror|cons_full|hot2|dom_last|cons_3v
Midday,Set2,Draw1,1,002,boxed,23.0,"R2,R4,R6,R8",False,False,False,False,True,True,False,True,False,1,boxed|cov4|span5|cons_full|hot1|dom_last|cons_3v
Midday,Set1,Draw3,1,002,boxed,23.0,"R2,R4,R6,R8",False,False,False,False,True,True,False,True,False,2,boxed|cov4|span3|cons_full|hot2|dom_last|cons_3v
Combined,Set1,Draw2,1,249,boxed,22.0,"R2,R4,R6,R8",True,False,False,False,True,True,False,True,False,2,boxed|cov4|span2|mirror|cons_full|hot2|dom_last|cons_3v
Evening,Set1,Draw2,2,039,straight,22.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,2,straight|cov4|span2|vstr2|vstr3|cons_full|hot2|cons_3v
Evening,Set1,Draw3,1,029,boxed,22.0,"R2,R4,R6,R8",False,False,False,False,True,True,False,True,False,2,boxed|cov4|span3|cons_full|hot2|dom_last|cons_3v
Evening,Set1,Draw5,1,224499,boxed,22.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,boxed|cov4|span3|mirror|hot2|dom_last
Evening,Set1,Draw5,1,22449,straight,22.0,"R2,R6,R8",True,True,True,False,False,False,False,False,False,2,straight|cov3|span3|vstr2|vstr3|mirror|hot2
Midday,Set3,Draw1,1,002,boxed,22.0,"R2,R4,R6,R8",False,False,False,False,True,True,False,True,False,1,boxed|cov4|span4|cons_full|hot1|dom_last|cons_3v
Midday,Set1,Draw5,1,249,straight,22.0,"R2,R6,R8",True,True,True,True,False,False,False,False,False,2,straight|cov3|vstr2|vstr3|mirror|single_left|hot2
Combined,Set2,Draw1,4,2249,straight,21.0,"R2,R6,R8",True,True,True,False,False,False,False,False,False,1,straight|cov3|span6|vstr2|vstr3|mirror|hot1
Combined,Set2,Draw1,3,2249,straight,21.0,"R2,R6,R8",True,True,True,False,False,False,False,False,False,1,straight|cov3|span6|vstr2|vstr3|mirror|hot1
Evening,Set2,Draw1,2,003,straight,21.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,straight|cov4|span2|vstr2|vstr3|cons_full|hot1|cons_3v
Evening,Set1,Draw5,1,2249,straight,21.0,"R2,R6,R8",True,True,True,False,False,False,False,False,False,2,straight|cov3|span3|vstr2|vstr3|mirror|hot2
Evening,Set1,Draw7,1,2244,straight,20.5,"R2,R6,R8",False,True,True,True,False,False,False,True,False,0,straight|cov3|vstr2|vstr3|single_left|dom_last
Combined,Set2,Draw1,5,2249,straight,20.0,"R2,R6,R8",True,True,True,False,False,False,False,False,False,0,straight|cov3|span6|vstr2|vstr3|mirror
