section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v
Evening,Set1,Draw1,5,12,3,2,0.0,4,1.0,False,False,False,False,False,False,True,3,7,3,7,5,5,0,0,2259:1;259:1;2245:1,5922:1;592:1;2245:1,6,4,1,0.0,0,1,0,0,0,0,0.5,0,10,1,1,0.0,24.5,58.5,2,True,False
Combined,Set1,Draw3,5,12,4,2,0.0,5,0.0,True,False,False,False,False,False,True,2,3,2,3,24,0,0,0,245599:1;24599:1;25599:1,559924:2;59924:2;55992:2,8,5,1,0.0,0,0,2,0,0,0,0.5,0,4,4,0,0.0,24.5,58.5,3,False,False
Combined,Set1,Draw3,4,12,4,2,0.0,5,0.0,True,False,False,False,False,False,True,2,3,2,3,19,0,0,0,245599:1;24599:1;25599:1,559924:2;59924:2;55992:2,8,5,1,0.0,0,0,2,0,0,0,0.5,0,4,4,0,0.0,24.5,58.5,3,False,False
Evening,Set1,Draw1,4,12,3,2,0.0,4,1.0,False,False,False,False,False,False,True,3,7,3,7,5,5,0,0,2259:1;259:1;2245:1,5922:1;592:1;2245:1,6,4,1,0.0,0,1,0,0,0,0,0.5,0,10,1,1,0.0,24.5,58.5,2,True,False
Combined,Set1,Draw4,2,12,4,2,0.0,4,1.0,True,False,False,False,False,True,True,2,5,2,5,11,0,11,0,259:1;00259:1;2459:1,592:2;5924:2;25900:1,8,4,1,0.0,0,1,2,0,0,1,0.5,0,6,1,0,0.0,24.5,58.5,2,False,False
Evening,Set1,Draw3,4,12,3,2,0.0,3,0.0,False,False,False,False,False,False,True,3,7,3,7,12,0,0,0,2259:1;259:1;22459:1,5922:1;592:1;59224:1,6,3,1,0.0,0,0,0,0,0,0,0.5,0,10,4,0,0.0,24.5,58.5,3,False,False
Midday,Set3,Draw1,7,20,4,2,0.0,5,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,226:1;677:1;177:1,622:1;677:1;771:1,8,5,1,0.0,0,0,0,0,0,0,0.0,1,4,4,1,0.0,24.0,38.0,3,True,False
Midday,Set1,Draw2,5,12,4,2,0.0,4,0.0,False,False,False,False,False,False,True,3,3,3,3,6,0,0,0,2259:1;579:1;259:1,5922:1;759:1;592:1,8,4,1,0.0,0,0,0,0,0,0,0.5,0,6,4,0,0.0,23.5,58.5,3,False,False
Evening,Set1,Draw4,4,12,3,2,0.0,2,0.0,False,False,False,False,False,False,True,3,7,3,7,18,0,0,0,2259:1;259:1;22459:1,5922:1;592:1;59224:1,6,2,1,0.0,0,0,0,0,0,0,0.5,0,10,4,0,0.0,23.5,58.5,3,False,False
Evening,Set1,Draw4,1,12,4,3,0.0,3,1.0,True,False,False,True,False,True,True,1,6,1,6,11,0,11,0,002249:1;02249:1;0224:1,009224:2;09224:2;0922:2,8,3,2,0.0,0,1,2,0,0,1,0.5,0,5,1,0,0.0,23.5,58.5,2,False,False
Midday,Set1,Draw1,6,12,4,2,0.0,4,0.0,True,False,False,False,False,False,True,3,3,3,3,16,0,0,0,2259:1;259:1;22459:1,5922:2;592:2;59224:2,8,4,1,0.0,0,0,2,0,0,0,0.5,0,6,1,1,0.0,23.5,58.5,2,True,False
Evening,Set1,Draw3,1,12,4,3,0.0,3,1.0,True,False,False,True,False,True,True,1,6,1,6,6,0,6,0,02249:1;0224:1;024:1,09224:2;0922:2;092:2,8,3,2,0.0,0,1,2,0,0,1,0.5,0,5,1,0,0.0,23.5,58.5,2,False,False
Evening,Set1,Draw1,7,12,3,2,0.0,4,0.0,False,False,False,False,False,False,True,3,7,3,7,12,0,0,0,2245:1;245:1;224599:1,2245:1;245:1;599224:1,6,4,1,0.0,0,0,0,0,0,0,0.5,0,10,1,1,0.0,23.5,58.5,2,True,False
Midday,Set1,Draw1,5,12,4,2,0.0,4,1.0,True,False,False,False,False,False,True,3,3,3,3,9,9,0,0,2259:1;259:1;22459:1,5922:2;592:2;59224:2,8,4,1,0.0,0,1,2,0,0,0,0.5,0,6,1,0,0.0,23.5,58.5,2,False,False
Midday,Set1,Draw2,6,12,4,2,0.0,4,0.0,False,False,False,False,False,False,True,3,3,3,3,8,0,0,0,2259:1;579:1;259:1,5922:1;759:1;592:1,8,4,1,0.0,0,0,0,0,0,0,0.5,0,6,4,0,0.0,23.5,58.5,3,False,False
Evening,Set1,Draw1,6,12,3,2,0.0,4,0.0,False,False,False,False,False,False,True,3,7,3,7,10,0,0,0,2259:1;2245:1;259:1,5922:1;2245:1;592:1,6,4,1,0.0,0,0,0,0,0,0,0.5,0,10,1,1,0.0,23.5,58.5,2,True,False
Evening,Set1,Draw2,4,12,3,2,0.0,4,1.0,False,False,False,False,False,False,True,3,7,3,7,11,11,0,0,2259:1;259:1;2245:1,5922:1;592:1;2245:1,6,4,1,0.0,0,1,0,0,0,0,0.5,0,10,1,0,0.0,23.5,58.5,2,False,False
Combined,Set1,Draw5,2,12,4,2,0.0,3,1.0,True,False,False,False,False,True,True,2,5,2,5,17,0,17,0,22459:1;259:1;2259:1,59224:2;592:2;5922:2,8,3,1,0.0,0,1,2,0,0,1,0.5,0,6,1,0,0.0,23.5,58.5,2,False,False
Combined,Set1,Draw4,4,12,4,2,0.0,4,0.0,True,False,False,False,False,False,True,2,3,2,3,24,0,0,0,245599:1;24599:1;25599:1,559924:2;59924:2;55992:2,8,4,1,0.0,0,0,2,0,0,0,0.5,0,4,4,0,0.0,23.5,58.5,3,False,False
Midday,Set3,Draw1,3,20,4,3,0.0,5,1.0,True,False,False,False,False,False,False,3,1,3,1,0,3,0,0,226:1;2267:1;267:1,226:2;2267:2;267:2,8,5,2,0.0,0,1,2,0,0,0,0.0,1,4,0,0,0.0,23.0,38.0,1,False,False
Midday,Set1,Draw1,7,12,4,2,0.0,3,0.0,True,False,False,False,False,False,True,3,3,3,3,21,0,0,0,2259:1;22459:1;259:1,5922:2;59224:2;592:2,8,3,1,0.0,0,0,2,0,0,0,0.5,0,6,1,1,0.0,22.5,58.5,2,True,False
Midday,Set1,Draw3,5,12,4,2,0.0,3,0.0,False,False,False,False,False,False,True,3,3,3,3,6,0,0,0,2259:1;579:1;259:1,5922:1;759:1;592:1,8,3,1,0.0,0,0,0,0,0,0,0.5,0,6,4,0,0.0,22.5,58.5,3,False,False
Evening,Set2,Draw1,2,12,4,3,0.0,4,1.0,True,False,False,False,False,False,True,3,1,3,1,2,2,0,0,2259:1;259:1,5922:2;592:2,8,4,2,0.0,0,1,2,0,0,0,0.5,0,4,0,0,0.0,21.5,58.5,1,False,False
Combined,Set1,Draw7,1,12,4,2,0.0,1,0.0,False,False,False,False,False,True,True,2,5,2,5,20,0,0,0,00259:1;002259:1;0259:1,25900:1;225900:1;2590:1,8,1,1,0.0,0,0,0,0,0,1,0.5,0,6,4,0,0.0,21.5,58.5,3,False,False
Combined,Set1,Draw6,1,12,3,2,0.0,2,1.0,False,False,False,False,False,True,True,2,5,2,5,18,18,0,0,00259:1;002259:1;0259:1,25900:1;225900:1;2590:1,6,2,1,0.0,0,1,0,0,0,1,0.5,0,6,4,0,0.0,21.5,58.5,3,False,False
Midday,Set1,Draw7,1,12,4,2,0.0,1,0.0,False,False,False,False,False,True,True,3,3,3,3,20,0,0,0,00244559:1;259:1;005579:1,55924400:1;592:1;700559:1,8,1,1,0.0,0,0,0,0,0,1,0.5,0,6,4,0,0.0,21.5,58.5,3,False,False
Evening,Set3,Draw1,7,12,3,2,0.0,4,0.0,False,False,False,False,False,False,True,3,1,3,1,8,0,0,0,224599:1;22599:1;2599:1,599224:1;59922:1;5992:1,6,4,1,0.0,0,0,0,0,0,0,0.5,0,4,4,1,0.0,20.5,58.5,3,True,False
Evening,Set2,Draw1,7,12,4,2,0.0,5,0.0,False,False,False,False,False,False,True,3,1,3,1,14,0,0,0,224599:1;2245:1;2245599:1,599224:1;2245:1;5599224:1,8,5,1,0.0,0,0,0,0,0,0,0.5,0,4,1,1,0.0,20.5,58.5,2,True,False
Combined,Set1,Draw6,2,12,3,2,0.0,2,0.0,False,False,False,False,False,True,True,2,5,2,5,18,0,0,0,00259:1;002259:1;0259:1,25900:1;225900:1;2590:1,6,2,1,0.0,0,0,0,0,0,1,0.5,0,6,4,0,0.0,20.5,58.5,3,False,False
Midday,Set1,Draw1,7,20,3,1,0.0,3,0.0,True,False,False,False,False,False,False,3,3,3,3,0,0,0,0,677:1;226:1;2266:1,677:2;622:1;6622:1,6,3,0,0.0,0,0,2,0,0,0,0.0,1,6,1,1,0.0,20.0,38.0,2,True,False
Midday,Set1,Draw2,6,20,4,2,0.0,2,0.0,True,False,False,False,False,False,False,3,3,3,3,0,0,0,0,177:1;226:1;677:1,771:2;622:1;677:1,8,2,1,0.0,0,0,2,0,0,0,0.0,1,6,0,0,0.0,20.0,38.0,1,False,False
Evening,Set1,Draw4,2,12,3,3,0.0,3,1.0,False,False,False,False,False,True,True,1,6,1,6,11,0,11,0,002249:1;02249:1;0224:1,922400:1;92240:1;2240:1,6,3,2,0.0,0,1,0,0,0,1,0.5,0,5,1,0,0.0,19.5,58.5,2,False,False
Evening,Set2,Draw1,3,12,3,2,0.0,5,1.0,False,False,False,False,False,True,True,3,1,3,1,5,5,0,0,22459:1;2245:1;245:1,59224:1;2245:1;245:1,6,5,1,0.0,0,1,0,0,0,1,0.5,0,4,0,1,0.0,19.5,58.5,1,True,False
Evening,Set1,Draw3,2,12,3,3,0.0,3,1.0,False,False,False,False,False,True,True,1,6,1,6,6,0,6,0,02249:1;0224:1;024:1,92240:1;2240:1;240:1,6,3,2,0.0,0,1,0,0,0,1,0.5,0,5,1,0,0.0,19.5,58.5,2,False,False
Midday,Set2,Draw1,6,12,4,2,0.0,2,0.0,True,False,False,False,False,False,True,3,1,3,1,16,0,0,0,2259:1;259:1;224459:1,5922:2;592:2;592244:2,8,2,1,0.0,0,0,2,0,0,0,0.5,0,4,1,1,0.0,19.5,58.5,2,True,False
Midday,Set2,Draw1,7,12,4,2,0.0,2,0.0,True,False,False,False,False,False,True,3,1,3,1,19,0,0,0,2244599:1;224599:1;22599:1,5992244:2;599224:2;59922:2,8,2,1,0.0,0,0,2,0,0,0,0.5,0,4,1,1,0.0,19.5,58.5,2,True,False
Midday,Set2,Draw1,6,20,3,1,0.0,4,0.0,True,False,False,False,False,False,False,3,1,3,1,0,0,0,0,677:1;226:1,677:2;622:1,6,4,0,0.0,0,0,2,0,0,0,0.0,1,4,1,1,0.0,19.0,38.0,2,True,False
Midday,Set1,Draw1,6,20,3,1,0.0,3,0.0,True,False,False,False,False,False,False,3,3,3,3,0,0,0,0,677:1;226:1;2266:1,677:2;622:1;6622:1,6,3,0,0.0,0,0,2,0,0,0,0.0,1,6,0,1,0.0,19.0,38.0,1,True,False
Midday,Set3,Draw1,7,12,3,2,0.0,2,0.0,False,False,False,False,False,False,True,3,1,3,1,7,0,0,0,2259:1;259:1;02259:1,5922:1;592:1;59220:1,6,2,1,0.0,0,0,0,0,0,0,0.5,0,4,4,1,0.0,18.5,58.5,3,True,False
Evening,Set2,Draw1,4,12,3,2,0.0,5,1.0,False,False,False,False,False,False,True,3,1,3,1,5,5,0,0,2259:1;22459:1;2245:1,5922:1;59224:1;2245:1,6,5,1,0.0,0,1,0,0,0,0,0.5,0,4,0,1,0.0,18.5,58.5,1,True,False
