section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Evening,1338,23.0,13.0,11.5,1,2,0,False,0,0,0,0,0,1,0,3,boxed|cov2|hp_repeat2|mirror|perm2|hidden3v|draw_chain2;boxed|cov2|hp_repeat2|mirror|perm2|hidden3v|draw_chain2,draw_chain2|vstrx1
Evening,05568,8.0,13.0,11.0,1,1,0,False,0,0,1,0,0,1,0,1,straight|cov1|mirror|vtrac_straight,draw_chain1|col1x1|vstrx1
Evening,22349,30.0,13.0,11.0,1,1,0,False,0,0,1,0,0,1,0,1,straight|cov1|mirror|vtrac_straight,draw_chain1|col1x1|vstrx1
Evening,678,21.0,13.0,10.5,2,1,0,False,0,0,0,0,0,0,0,3,boxed|cov2|hp_repeat2|perm2|hidden3v|set_chain2;straight|cov1|hp_repeat2|hidden3v|set_chain2,set_chain2|draw_chain1
Evening,22455,12.0,13.0,10.5,2,1,0,False,0,0,0,0,0,0,0,2,straight|cov1|hidden3v|set_chain2;straight|cov1|hidden3v|set_chain2,set_chain2|draw_chain1
Evening,11399,24.0,13.0,10.5,2,1,0,False,0,0,0,0,0,0,0,2,straight|cov1|hidden3v|set_chain2;straight|cov1|hidden3v|set_chain2,set_chain2|draw_chain1
Evening,3678,21.0,13.0,10.5,2,1,0,False,0,0,0,0,0,0,0,2,straight|cov1|mirror|hidden3v|set_chain2;straight|cov1|mirror|hidden3v|set_chain2,set_chain2|draw_chain1
Evening,11799,22.0,13.0,10.5,2,1,0,False,0,0,0,0,0,0,0,2,straight|cov1|hidden3v|set_chain2;straight|cov1|hidden3v|set_chain2,set_chain2|draw_chain1
Evening,1179,22.0,13.0,10.5,2,1,0,False,0,0,0,0,0,0,0,3,straight|cov1|hp_repeat2|hidden3v|set_chain2;straight|cov1|hp_repeat2|hidden3v|set_chain2,set_chain2|draw_chain1
Evening,3446,24.0,13.0,10.5,1,1,0,False,1,0,1,0,0,0,0,1,boxed|cov2|hot1|perm2|hidden3v,draw_chain1|col1x1|hot1x1
Evening,3468,24.0,13.0,10.5,1,2,0,False,0,0,1,0,0,1,0,2,straight|cov1|mirror|hidden3v|vtrac_straight;boxed|cov2|mirror|perm2|hidden3v,draw_chain2|col1x1|vstrx1
Evening,3448,33.0,13.0,10.5,1,2,0,False,0,0,1,0,0,1,0,2,straight|cov1|mirror|hidden3v|vtrac_straight;straight|cov1|mirror|hidden3v,draw_chain2|col1x1|vstrx1
Evening,22445,12.0,13.0,10.5,1,2,0,False,0,0,1,0,0,1,0,2,straight|cov1|hidden3v|vtrac_straight;boxed|cov2|perm2|hidden3v,draw_chain2|col1x1|vstrx1
Evening,1558,8.0,13.0,10.0,1,2,0,True,0,0,0,0,0,2,0,2,straight|cov1|vtrac_straight|draw_chain2;straight|cov1|vtrac_straight|draw_chain2,draw_chain2|vstrx2
Evening,568,8.0,13.0,10.0,2,1,0,False,0,0,0,0,0,1,0,2,straight|cov1|vtrac_straight|set_chain2;straight|cov1|set_chain2,set_chain2|draw_chain1|vstrx1
Evening,22599,12.0,12.5,12.5,1,0,0,False,0,0,0,0,0,0,0,1,straight|cov2|vstr2|hidden3v,
Evening,22455799,12.0,12.5,12.5,1,0,0,False,0,0,0,0,0,0,0,1,straight|cov1|mirror|hidden3v,
Evening,1136899,24.0,12.5,12.5,1,0,0,False,0,0,0,0,0,0,0,1,boxed|cov2|mirror|perm2|hidden3v,
Evening,1136678,21.0,12.5,12.5,1,0,0,False,0,0,0,0,0,0,0,1,boxed|cov2|mirror|perm2|hidden3v,
Evening,3668,23.0,12.5,12.5,1,0,0,False,0,0,0,0,0,0,0,1,boxed|cov3|mirror|perm3|hidden3v,
Evening,668,18.0,12.5,12.0,1,0,0,False,0,0,0,0,0,0,1,1,boxed|cov3|vstr2|perm2|double_mirror,dblmirrorx1
Evening,1177,17.0,12.5,12.0,1,1,0,False,0,0,0,0,0,0,0,1,boxed|cov3|vstr2|perm2,draw_chain1
Evening,2334499,30.0,12.5,12.0,1,1,0,False,0,0,0,0,0,0,0,1,boxed|cov2|mirror|perm2,draw_chain1
Evening,11348,24.0,12.5,11.5,1,2,0,False,0,0,0,0,0,0,0,2,boxed|cov2|mirror|perm2|hidden3v|draw_chain2;straight|cov1|mirror|hidden3v|draw_chain2,draw_chain2
Evening,34558,14.0,12.5,11.5,1,2,0,False,0,0,0,0,0,0,0,2,boxed|cov2|mirror|perm2|hidden3v|draw_chain2;straight|cov1|mirror|hidden3v|draw_chain2,draw_chain2
Evening,12449,22.0,12.5,11.5,1,1,0,False,0,0,0,0,0,1,0,1,straight|cov1|mirror|hidden3v|vtrac_straight,draw_chain1|vstrx1
Evening,13368,23.0,12.5,11.5,1,1,0,False,0,0,0,0,0,1,0,1,straight|cov1|mirror|hidden3v|vtrac_straight,draw_chain1|vstrx1
Evening,33689,24.0,12.5,11.5,1,2,0,False,0,0,0,0,0,0,0,2,boxed|cov2|mirror|perm2|hidden3v|draw_chain2;boxed|cov2|mirror|perm2|hidden3v|draw_chain2,draw_chain2
Evening,13389,24.0,12.5,11.5,1,1,0,False,0,0,0,0,0,1,0,1,straight|cov1|mirror|hidden3v|vtrac_straight,draw_chain1|vstrx1
Evening,24599,12.0,12.5,11.5,1,1,0,False,0,0,0,0,0,1,0,1,straight|cov1|mirror|hidden3v|vtrac_straight,draw_chain1|vstrx1
Evening,24499,31.0,12.5,11.5,1,1,0,False,0,0,0,0,0,1,0,1,straight|cov1|mirror|hidden3v|vtrac_straight,draw_chain1|vstrx1
Evening,335599,14.0,12.5,11.5,1,1,0,False,0,0,0,0,0,1,0,1,straight|cov1|hidden3v|vtrac_straight,draw_chain1|vstrx1
Evening,33899,33.0,12.5,11.5,1,1,0,False,0,0,0,0,0,1,0,1,straight|cov1|mirror|hidden3v|vtrac_straight,draw_chain1|vstrx1
Evening,123,21.0,12.5,10.5,1,1,0,False,1,0,0,0,0,1,0,2,straight|cov1|hp_repeat2|hot1|hidden3v|vtrac_straight;straight|cov1|hp_repeat2|hidden3v,draw_chain1|hot1x1|vstrx1
Evening,02244,12.0,12.5,10.5,1,1,0,False,0,0,1,0,0,1,0,1,straight|cov1|hidden3v|vtrac_straight,draw_chain1|col1x1|vstrx1
Evening,0348,14.0,12.5,10.5,1,1,0,False,0,0,1,0,0,1,0,1,straight|cov1|mirror|hidden3v|vtrac_straight,draw_chain1|col1x1|vstrx1
Evening,0389,14.0,12.5,10.5,1,1,0,False,0,0,1,0,0,1,0,1,straight|cov1|mirror|hidden3v|vtrac_straight,draw_chain1|col1x1|vstrx1
Evening,2368,21.0,12.5,10.5,1,1,0,False,0,0,1,0,0,1,0,1,straight|cov1|mirror|hidden3v|vtrac_straight,draw_chain1|col1x1|vstrx1
Evening,22446,22.0,12.5,10.5,1,1,0,False,0,0,1,0,0,1,0,1,straight|cov1|hidden3v|vtrac_straight,draw_chain1|col1x1|vstrx1
Evening,1368,18.0,12.5,10.0,2,1,0,False,0,0,0,0,0,0,0,2,straight|cov1|mirror|set_chain2;straight|cov1|mirror|set_chain2,set_chain2|draw_chain1
Evening,1168,18.0,12.5,10.0,2,1,0,False,0,0,0,0,0,0,0,2,straight|cov1|mirror|set_chain2;straight|cov1|mirror|set_chain2,set_chain2|draw_chain1
Evening,0569,9.0,12.5,10.0,1,2,0,False,0,0,1,0,0,1,0,2,straight|cov1|mirror|vtrac_straight;straight|cov1|mirror,draw_chain2|col1x1|vstrx1
Evening,369,24.0,12.5,9.5,1,2,0,False,1,0,1,0,0,0,0,3,boxed|cov2|hot1|perm2|hidden3v;boxed|cov2|hp_repeat2|perm2|hidden3v,draw_chain2|col1x1|hot1x1
Evening,667,17.0,12.5,9.0,2,1,0,False,0,0,0,0,0,0,2,2,straight|cov1|double_mirror|set_chain2;straight|cov1|double_mirror|set_chain2,set_chain2|draw_chain1|dblmirrorx2
Evening,1155699,9.0,12.0,12.0,1,0,0,False,0,0,0,0,0,0,0,1,boxed|cov2|mirror|perm2,
Evening,1556699,9.0,12.0,12.0,1,0,0,False,0,0,0,0,0,0,0,1,boxed|cov2|mirror|perm2,
Evening,1134699,24.0,12.0,11.5,1,1,0,False,0,0,0,0,0,0,0,1,straight|cov1|mirror|hidden3v,draw_chain1
Evening,1134669,24.0,12.0,11.5,1,1,0,False,0,0,0,0,0,0,0,1,straight|cov1|mirror|hidden3v,draw_chain1
Evening,346699,24.0,12.0,11.5,1,1,0,False,0,0,0,0,0,0,0,1,boxed|cov2|mirror|perm2|hidden3v,draw_chain1
