area,col,combined.core,combined.first3_step,draw,method,mode.agree_core,mode.len_delta_abs,mode.only_one,mode.time_to3_delta_abs,own.core,own.first3_step,section,set,state
LS1,7,1566,3,Draw1,A,0,2,0,0,56677,3,Midday,Set3,Michigan4
LS1,7,1466,2,Draw1,B,0,0,0,0,1566,2,Midday,Set3,Michigan4
LS1,7,16677,1,Draw1,C,1,0,0,0,16677,1,Midday,Set3,Michigan4
LS1,7,16677,1,Draw1,D,1,0,0,0,16677,1,Midday,Set3,Michigan4
LS1,7,1669,3,Draw1,E,0,0,0,0,5667,3,Midday,Set3,Michigan4
LS1,7,16677,1,Draw1,T,1,0,0,0,16677,1,Midday,Set3,Michigan4
LS1,6,4566,2,Draw1,A,0,2,0,0,56677,2,Midday,Set3,Michigan4
LS1,6,466,2,Draw1,B,0,0,0,0,566,2,Midday,Set3,Michigan4
LS1,6,6677,1,Draw1,C,1,0,0,0,6677,1,Midday,Set3,Michigan4
LS1,6,6677,1,Draw1,D,1,0,0,0,6677,1,Midday,Set3,Michigan4
LS1,6,669,3,Draw1,E,0,0,0,0,567,3,Midday,Set3,Michigan4
LS1,6,6677,1,Draw1,T,1,0,0,0,6677,1,Midday,Set3,Michigan4
LS1,5,4566,2,Draw1,A,0,2,0,0,56677,2,Midday,Set3,Michigan4
LS1,5,46677,1,Draw1,B,1,0,0,0,46677,1,Midday,Set3,Michigan4
LS1,5,6677,1,Draw1,C,1,0,0,0,6677,1,Midday,Set3,Michigan4
LS1,5,6677,1,Draw1,D,1,0,0,0,6677,1,Midday,Set3,Michigan4
LS1,5,46677,1,Draw1,E,1,0,0,0,46677,1,Midday,Set3,Michigan4
LS1,5,6677,1,Draw1,T,1,0,0,0,6677,1,Midday,Set3,Michigan4
LS1,7,566,3,Draw1,A,0,2,0,1,56677,2,Midday,Set2,Michigan4
LS1,7,2466,2,Draw1,B,0,0,0,0,56677,2,Midday,Set2,Michigan4
LS1,7,26677,1,Draw1,C,1,0,0,0,26677,1,Midday,Set2,Michigan4
LS1,7,26677,1,Draw1,D,1,0,0,0,26677,1,Midday,Set2,Michigan4
LS1,7,6679,3,Draw1,E,0,0,0,1,077,4,Midday,Set2,Michigan4
LS1,7,26677,1,Draw1,T,1,0,0,0,26677,1,Midday,Set2,Michigan4
LS1,6,566,3,Draw1,A,0,2,0,1,56677,2,Midday,Set2,Michigan4
LS1,6,2466,2,Draw1,B,0,0,0,0,6677,2,Midday,Set2,Michigan4
LS1,6,26677,1,Draw1,C,1,0,0,0,26677,1,Midday,Set2,Michigan4
LS1,6,26677,1,Draw1,D,1,0,0,0,26677,1,Midday,Set2,Michigan4
LS1,6,667,3,Draw1,E,0,0,0,1,6677,2,Midday,Set2,Michigan4
LS1,6,26677,1,Draw1,T,1,0,0,0,26677,1,Midday,Set2,Michigan4
LS1,5,56,3,Draw1,A,0,2,0,1,5677,2,Midday,Set2,Michigan4
LS1,5,246,2,Draw1,B,0,0,0,0,677,2,Midday,Set2,Michigan4
LS1,5,2677,1,Draw1,C,1,0,0,0,2677,1,Midday,Set2,Michigan4
LS1,5,2677,1,Draw1,D,1,0,0,0,2677,1,Midday,Set2,Michigan4
LS1,5,67,3,Draw1,E,0,0,0,1,677,2,Midday,Set2,Michigan4
LS1,5,2677,1,Draw1,T,1,2,0,0,2677,1,Midday,Set2,Michigan4
LS1,7,15566,4,Draw1,A,0,2,0,0,778,4,Midday,Set1,Michigan4
LS1,7,166,3,Draw1,B,0,0,0,1,16677,2,Midday,Set1,Michigan4
LS1,7,166,2,Draw1,C,1,0,0,0,166,2,Midday,Set1,Michigan4
LS1,7,166,2,Draw1,D,0,0,0,1,567,3,Midday,Set1,Michigan4
LS1,7,1667,3,Draw1,E,0,0,0,0,56677,3,Midday,Set1,Michigan4
LS1,7,166,2,Draw1,T,1,0,0,0,166,2,Midday,Set1,Michigan4
LS1,6,556,3,Draw1,A,0,2,0,1,55677,2,Midday,Set1,Michigan4
LS1,6,246,2,Draw1,B,0,0,0,0,677,2,Midday,Set1,Michigan4
LS1,6,2677,1,Draw1,C,1,0,0,0,2677,1,Midday,Set1,Michigan4
LS1,6,6,2,Draw1,D,0,0,0,0,567,2,Midday,Set1,Michigan4
LS1,6,67,3,Draw1,E,0,0,0,1,5677,2,Midday,Set1,Michigan4
