Section,Set,Draw,Column,Pattern,Score,dbg_vertical_coverage,dbg_permutation_strength,dbg_vtrac_strength,dbg_mirror_bonus,dbg_straight_bonus,dbg_box_bonus,dbg_length_bonus,dbg_hot_zone_points,dbg_nested_cluster_bonus,dbg_consensus_digit_bonus,dbg_hot_zone_consensus_synergy,dbg_horizontal_persistence,dbg_lingering_bonus,dbg_remaining_3value_bonus,dbg_order_persistence
Evening,Set1,Draw5,3,/AN,37,4,1,2,0,14,1,0,0,1,0,0,2.0,4.0,4.0,
Combined,Set1,Draw5,3,/AN,37,4,1,2,0,14,1,0,0,1,0,0,2.0,4.0,4.0,
Midday,Set1,Draw5,6,0013368,37,4,4,1,2,0,1,6,0,15,0,0,,,,
Combined,Set3,Draw1,1,11336778,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw4,4,00113568,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw1,2,11224467,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw4,2,/AN,36,4,1,2,0,14,1,0,0,1,0,0,2.0,3.0,4.0,
Evening,Set1,Draw7,7,33447788,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw1,2,1122667,36,2,2,2,2,0,1,6,0,15,0,0,2.0,2.0,,
Combined,Set1,Draw7,7,34455899,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw7,7,34477899,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw6,5,/AN,36,4,1,2,0,14,1,0,0,1,0,0,,5.0,4.0,
Midday,Set1,Draw6,6,00133568,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set2,Draw1,1,11223388,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw5,5,11223368,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set2,Draw1,1,02233588,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw4,2,/AN,36,4,1,2,0,14,1,0,0,1,0,0,2.0,3.0,4.0,
Midday,Set1,Draw1,1,11344668,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw5,5,00223378,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw3,3,11223668,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw6,6,03445589,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw1,1,11236678,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw1,1,11223668,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw1,1,11236778,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set1,Draw1,1,11223778,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw7,7,23344889,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw7,7,03344889,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw6,6,00344889,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw6,6,22344889,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw5,5,22334488,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw5,7,23447788,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Midday,Set3,Draw1,3,1136677,36,3,3,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set3,Draw1,1,11336677,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw1,1,00445588,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw3,3,02445779,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw1,1,00225588,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw2,2,00244579,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw4,4,12233668,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw4,2,/AN,36,4,1,2,0,14,1,0,0,1,0,0,2.0,3.0,4.0,
Evening,Set1,Draw6,5,/AN,36,4,1,2,0,14,1,0,0,1,0,0,,5.0,4.0,
Midday,Set1,Draw1,2,12244667,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Combined,Set1,Draw6,5,/AN,36,4,1,2,0,14,1,0,0,1,0,0,,5.0,4.0,
Combined,Set1,Draw6,6,02244559,36,1,1,1,2,0,1,8,0,21,0,0,,,,
Evening,Set1,Draw6,6,3447788,35,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,3.0
Combined,Set1,Draw5,4,/AN,35,4,1,2,0,14,1,0,0,1,0,0,,4.0,4.0,
Evening,Set1,Draw5,4,/AN,35,4,1,2,0,14,1,0,0,1,0,0,,4.0,4.0,
Midday,Set2,Draw1,3,1124667,35,2,2,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set1,Draw5,4,/AN,35,4,1,2,0,14,1,0,0,1,0,0,,4.0,4.0,
Midday,Set2,Draw1,1,1136678,35,2,2,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set2,Draw1,1,1136778,35,2,2,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set1,Draw4,3,/AN,34,4,1,2,0,14,1,0,0,1,0,0,,3.0,4.0,
Combined,Set1,Draw4,3,/AN,34,4,1,2,0,14,1,0,0,1,0,0,,3.0,4.0,
Midday,Set1,Draw1,3,1122667,34,2,2,2,2,0,1,6,0,15,0,0,,2.0,,
Evening,Set1,Draw4,3,/AN,34,4,1,2,0,14,1,0,0,1,0,0,,3.0,4.0,
Combined,Set1,Draw5,5,0033788,34,3,3,1,2,0,1,6,0,15,0,0,,,,
Evening,Set2,Draw1,2,0022445,33,2,2,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set1,Draw1,3,1122466,33,2,2,1,2,0,1,6,0,15,0,0,,2.0,,
Combined,Set1,Draw3,2,/AN,33,4,1,2,0,14,1,0,0,1,0,0,,2.0,4.0,
Evening,Set1,Draw5,6,3447788,33,1,1,1,2,0,1,6,0,15,0,0,2.0,3.0,,
Midday,Set2,Draw1,2,1136778,33,2,2,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set2,Draw1,2,1136678,33,2,2,1,2,0,1,6,0,15,0,0,,2.0,,
Evening,Set1,Draw3,2,/AN,33,4,1,2,0,14,1,0,0,1,0,0,,2.0,4.0,
Midday,Set3,Draw1,5,112667,33,4,4,2,2,0,1,4,0,10,0,0,,2.0,,
Evening,Set1,Draw5,5,3447788,33,1,1,1,2,0,1,6,0,15,0,0,2.0,3.0,,
Midday,Set1,Draw3,2,/AN,33,4,1,2,0,14,1,0,0,1,0,0,,2.0,4.0,
Midday,Set2,Draw1,1,1134468,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set1,Draw5,5,1223368,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set2,Draw1,1,1366778,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set2,Draw1,1,1134668,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set3,Draw1,2,1123667,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set2,Draw1,1,1123778,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set2,Draw1,1,1123668,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set3,Draw1,2,1123677,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set2,Draw1,1,1166778,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Evening,Set1,Draw5,5,2234488,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set1,Draw2,2,1126678,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set1,Draw2,2,1122668,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set1,Draw1,2,1122467,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Combined,Set1,Draw4,4,0022337,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set1,Draw1,4,112246,32,4,4,1,2,0,1,4,0,10,0,0,,2.0,,
Evening,Set2,Draw1,1,0022445,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set1,Draw1,2,1122466,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set1,Draw4,5,001136,32,4,3,1,2,3,1,4,0,10,0,0,,,,
Combined,Set3,Draw1,1,0113368,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw4,4,1122368,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Midday,Set1,Draw5,5,1133678,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw3,3,0113668,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw5,5,0023388,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Evening,Set1,Draw1,1,0224455,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw4,4,0011368,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw1,3,1124667,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set3,Draw1,6,116,31,4,2,2,2,6,1,0,0,1,0,0,2.0,7.0,,
Evening,Set1,Draw2,2,0024459,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Evening,Set1,Draw2,1,/AN,31,4,1,2,0,14,1,0,0,1,0,0,,,4.0,
Evening,Set1,Draw1,7,448,31,4,2,2,0,6,1,0,0,1,0,0,,7.0,4.0,
Combined,Set1,Draw5,5,0022337,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Combined,Set1,Draw5,5,0033488,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw1,2,1144667,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Evening,Set1,Draw5,7,3447788,31,1,1,1,2,0,1,6,0,15,0,0,,3.0,,
Midday,Set2,Draw1,3,1144667,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set2,Draw1,3,1124466,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw4,5,0023378,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw4,5,0022338,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Evening,Set1,Draw5,7,1237788,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw3,5,0022378,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw6,6,0013368,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw2,2,116678,31,3,3,1,2,0,1,4,0,10,0,0,2.0,2.0,,
Evening,Set1,Draw6,6,2234488,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Combined,Set1,Draw4,4,0013368,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw4,4,0133668,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw1,1,1136778,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw6,7,2344789,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw2,1,/AN,31,4,1,2,0,14,1,0,0,1,0,0,,,4.0,
Combined,Set2,Draw1,1,0113388,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw2,1,/AN,31,4,1,2,0,14,1,0,0,1,0,0,,,4.0,
Midday,Set1,Draw6,6,1223368,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Midday,Set1,Draw5,5,0113368,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw5,5,0011338,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw1,1,1136678,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw2,5,002238,30,3,3,1,2,0,1,4,0,10,0,0,,3.0,,
Midday,Set3,Draw1,5,11667,30,4,4,2,2,0,1,2,0,6,0,0,,5.0,,
Midday,Set3,Draw1,3,1123667,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set3,Draw1,3,1123677,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set1,Draw2,3,1122668,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Combined,Set1,Draw5,7,234478,30,4,4,1,2,0,1,4,0,10,0,0,,,,
Combined,Set1,Draw5,5,003388,30,3,2,2,2,3,1,4,0,10,0,0,,,,
Midday,Set1,Draw2,3,1126678,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Combined,Set1,Draw4,5,0022337,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set2,Draw1,2,1123778,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set2,Draw1,2,1123668,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Evening,Set1,Draw5,6,2234488,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Evening,Set1,Draw5,7,137788,30,3,3,1,2,0,1,4,0,10,0,0,,3.0,,
Midday,Set1,Draw1,3,1122467,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set2,Draw1,2,1134668,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Evening,Set1,Draw6,7,3447788,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set2,Draw1,2,1134468,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set2,Draw1,2,1366778,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set2,Draw1,2,1166778,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set1,Draw5,6,1223368,30,1,1,1,2,0,1,6,0,15,0,0,,2.0,,
Midday,Set3,Draw1,7,116,29,4,2,2,2,6,1,0,0,1,0,0,,7.0,,
Evening,Set1,Draw5,5,344778,29,1,1,1,2,0,1,4,0,10,0,0,2.0,3.0,,3.0
Midday,Set3,Draw1,4,112667,29,2,2,2,2,0,1,4,0,10,0,0,2.0,2.0,,
Midday,Set3,Draw1,4,11667,29,3,3,2,2,0,1,2,0,6,0,0,2.0,5.0,,
Midday,Set1,Draw2,3,116678,29,3,3,1,2,0,1,4,0,10,0,0,,2.0,,
Midday,Set2,Draw1,3,112667,29,2,2,2,2,0,1,4,0,10,0,0,2.0,2.0,,
Midday,Set1,Draw1,2,112667,29,2,2,2,2,0,1,4,0,10,0,0,2.0,2.0,,
Evening,Set3,Draw1,3,002445,29,3,3,1,2,0,1,4,0,10,0,0,,2.0,,
Midday,Set2,Draw1,1,113668,29,2,2,2,2,0,1,4,0,10,0,0,2.0,2.0,,
Combined,Set3,Draw1,1,1123368,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set2,Draw1,1,0334588,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set2,Draw1,1,0223357,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set3,Draw1,1,1336778,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set2,Draw1,1,1123388,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set2,Draw1,1,1223388,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set2,Draw1,1,2233488,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set2,Draw1,2,1122388,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw6,6,0033568,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw3,4,0113568,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw6,6,0013568,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw1,1,1366778,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set3,Draw1,7,023,28,4,2,1,0,6,1,0,0,1,0,0,,5.0,4.0,
Midday,Set1,Draw1,1,1134668,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw4,6,00136,28,4,3,1,2,3,1,2,0,6,0,0,,2.0,,
Combined,Set1,Draw5,5,0023378,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw3,3,011368,28,2,2,1,2,0,1,4,0,10,0,0,2.0,2.0,,
Combined,Set2,Draw1,1,0233588,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw7,7,2344899,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw1,1,1122388,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw7,7,3447789,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw1,1,0223588,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw1,1,0344588,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set2,Draw1,1,1133788,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set2,Draw1,1,0223588,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw6,7,3445589,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw1,1,1166778,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Evening,Set3,Draw1,1,0024459,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Evening,Set3,Draw1,1,0011569,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw1,2,1122446,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw1,2,1124466,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Evening,Set1,Draw1,1,0025588,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Evening,Set1,Draw1,1,0012255,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Evening,Set1,Draw1,1,0022455,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Evening,Set1,Draw1,1,0015588,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Evening,Set1,Draw1,1,0045588,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Evening,Set2,Draw1,1,0011358,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Evening,Set2,Draw1,1,0022358,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Evening,Set2,Draw1,1,0034458,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw6,6,2234489,28,1,1,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw6,6,0344589,28,1,1,1,2,0,1,6,0,15,0,0,,,,
