section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,024,12.0,66.0,29.0,3,7,13,5,3,0,0,7,0,30,boxed|cov4|hp_repeat7|vstr2|hot1|dom_last|perm3|set_chain3;boxed|cov4|hp_repeat7|vstr2|hot1|perm3|set_chain3,set_chain3|draw_chain7|col1x3|hot1x13|hot2x5|vstrx7
Combined,468,24.0,50.5,29.0,1,4,4,5,3,0,0,5,0,15,boxed|cov4|hp_repeat6|vstr2|hot2|dom_last|perm3|draw_chain4;boxed|cov4|hp_repeat5|vstr2|hot2|dom_last|perm3|draw_chain4,draw_chain4|col1x3|hot1x4|hot2x5|vstrx5
Combined,688,23.0,44.5,24.5,1,4,1,4,4,0,0,0,10,10,boxed|cov4|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain4;boxed|cov4|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|dblmirrorx10
Combined,246,22.0,44.5,20.5,1,7,5,4,3,0,0,9,0,17,straight|cov1|hp_repeat5|hot2|hidden3v|vtrac_straight|draw_chain7;straight|cov1|hp_repeat5|hot1|hidden3v|vtrac_straight|draw_chain7,draw_chain7|col1x3|hot1x5|hot2x4|vstrx9
Combined,068,8.0,44.0,23.0,1,6,5,4,1,0,0,8,0,16,boxed|cov4|hp_repeat3|vstr2|hot2|perm3|draw_chain6;boxed|cov4|hp_repeat3|vstr2|hot2|perm3|draw_chain6,draw_chain6|col1x1|hot1x5|hot2x4|vstrx8
Combined,224,28.0,41.5,28.0,3,3,0,1,0,0,0,3,9,9,straight|cov3|vstr2|vstr3|single_left|double_mirror|vtrac_straight|set_chain3|draw_chain2;straight|cov3|hp_repeat2|vstr2|vstr3|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain2,set_chain3|draw_chain3|hot2x1|vstrx3|dblmirrorx9
Combined,244,31.0,38.0,26.0,1,4,3,0,0,0,0,4,10,10,straight|cov3|hp_repeat4|vstr2|vstr3|hot1|double_mirror|vtrac_straight|draw_chain4;straight|cov3|vstr2|vstr3|single_left|double_mirror|vtrac_straight|draw_chain4,draw_chain4|hot1x3|vstrx4|dblmirrorx10
Combined,239,30.0,36.5,20.0,3,3,1,2,3,0,0,6,0,8,straight|cov1|hp_repeat3|hot2|vtrac_straight|set_chain3|draw_chain3;straight|cov1|hp_repeat3|hot2|vtrac_straight|set_chain3|draw_chain3,set_chain3|draw_chain3|col1x3|hot1x1|hot2x2|vstrx6
Combined,8,,36.0,28.0,1,1,0,2,2,1,0,1,0,2,straight|cov4|vstr2|vstr3|cons_full|consensus_tail|hot2|vtrac_straight;consensus_stub,draw_chain1|col1x2|hot2x2|consensusx1|vstrx1
Combined,36889,24.0,36.0,24.0,1,3,1,2,3,0,0,5,0,6,boxed|cov3|hp_repeat3|mirror|hot2|dom_last|perm3|draw_chain3;straight|cov1|hp_repeat3|mirror|hot2|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx5
Combined,388,32.0,36.0,22.5,1,4,1,2,3,0,0,0,7,7,boxed|cov3|hp_repeat3|vstr2|mirror|hot2|perm2|hidden3v|double_mirror|draw_chain4;boxed|cov3|hp_repeat3|vstr2|mirror|hot2|perm2|hidden3v|double_mirror|draw_chain4,draw_chain4|col1x3|hot1x1|hot2x2|dblmirrorx7
Combined,559,5.0,35.0,26.0,3,2,0,0,0,0,0,0,8,8,straight|cov3|vstr2|vstr3|single_left|double_mirror|set_chain3|draw_chain2;straight|cov3|hp_repeat3|vstr2|vstr3|double_mirror|set_chain3,set_chain3|draw_chain2|dblmirrorx8
Combined,229,28.0,35.0,23.0,3,3,0,1,0,0,0,0,9,9,straight|cov3|hp_repeat3|vstr2|vstr3|double_mirror|set_chain3;straight|cov3|hp_repeat2|vstr2|vstr3|double_mirror|set_chain3,set_chain3|draw_chain3|hot2x1|dblmirrorx9
Combined,348,33.0,34.0,19.5,2,4,1,2,3,0,0,5,0,8,boxed|cov2|hp_repeat3|mirror|hot2|perm2|hidden3v|set_chain2|draw_chain4;straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x3|hot1x1|hot2x2|vstrx5
Combined,2249,28.0,33.0,24.0,3,3,0,1,0,0,0,3,0,9,straight|cov3|hp_repeat3|vstr2|vstr3|mirror|set_chain3;straight|cov3|hp_repeat2|vstr2|vstr3|mirror|set_chain3,set_chain3|draw_chain3|hot2x1|vstrx3
