area,col,degenerate.empty,draw,final.canon3,final.len_is1,final.len_is2,final.len_is3,final.value,final_3canon,method,method.agree_count,methods.core_agreement,methods.early_fraction,mode,mode.agree_core,mode.len_delta_abs,mode.only_one,mode.time_to3_delta_abs,perm.count,perm.density,post3_span,pre.core3_hint,pre.mirror_pair,pre.orig_unique,score,sec.consensus_any,sec.consensus_strong,sec.pairwise_jaccard,sec.time_to3_max,sec.time_to3_min,section,sequence.steps_kept,sequence.steps_total,set,set.linger,set.memory_strength,set.repeat_new_box,stability.order_cue,stability.survival_frac3,state,tail.exact_len3,tail.final_len,tail.final_unique,tail.unique2,tail.wobble,terminal.is_3value,terminal.len,terminal.len_is1,terminal.len_is2,terminal.len_is3,terminal.unique,terminal.unique_1,terminal.unique_2,time_to_3,time_to_3_fast,traj.early_terminal,traj.first3,traj.reduction_slope,traj.time_to_3,vtrac.hot_source,vtrac.set,vtrac.v_hot,xcol.agree_count
LS1,7,1,Draw1,,0,0,0,,,C,2,2,0.8333333333333334,combined,1,0,0,0,0.0,0.0,5.0,0,1,8,100.0,0,0,0.611111111111111,2,1,Midday,5,7,Set2,0,0,0,0.3333333333333333,0.375,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2.75,1,derived_from_DR,,0.0,0
LS1,7,1,Draw1,,0,0,0,,,D,2,2,0.6666666666666666,own,0,0,0,0,0.0,0.0,5.0,0,1,8,90.79444444444445,0,0,0.37222222222222223,3,2,Midday,6,8,Set2,0,0,0,0.3333333333333333,0.375,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2.2,2,derived_from_DR,,0.0,0
LS1,7,1,Draw1,,0,0,0,,,D,2,2,0.8333333333333334,combined,0,0,0,0,0.0,0.0,4.0,0,1,8,82.13888888888889,0,0,0.7777777777777777,2,2,Midday,5,7,Set2,0,0,0,0.5,0.25,Connecticut4,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2.75,2,derived_from_DR,,0.0,0
LS1,7,0,Draw1,7,1,0,0,7,7,E,2,2,0.6666666666666666,own,0,1,0,2,1.0,0.5,3.0,0,1,8,100.0,0,0,0.39999999999999997,4,3,Midday,8,29,Set2,0,0,0,0.3333333333333333,0.375,Connecticut4,1,1,1,1,0,1,1,1,0,0,1,1,0,4,0,0,4,1.4285714285714286,4,derived_from_DR,3,1.0,0
LS1,7,1,Draw1,,0,0,0,,,E,2,2,0.8333333333333334,combined,0,1,0,2,0.0,0.0,3.0,0,1,8,67.41666666666666,0,0,0.39999999999999997,6,3,Midday,10,10,Set2,0,0,0,0.25,0.375,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,6,1.2222222222222223,6,derived_from_DR,,0.0,0
LS1,7,0,Draw1,7,1,0,0,7,7,T,2,2,0.6666666666666666,own,1,1,0,0,1.0,0.5,6.0,0,1,8,100.0,0,0,0.25,3,1,Midday,5,29,Set2,0,0,0,0.3333333333333333,0.375,Connecticut4,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,2.5,1,derived_from_DR,3,1.0,0
LS1,7,1,Draw1,,0,0,0,,,T,2,2,0.8333333333333334,combined,1,1,0,0,0.0,0.0,12.0,0,1,8,93.51984126984127,0,0,0.611111111111111,2,1,Midday,8,14,Set2,0,0,0,0.25,0.375,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1.5714285714285714,1,derived_from_DR,,0.0,0
LS1,6,0,Draw1,337,0,0,1,337,337,A,2,2,1.0,own,0,3,0,0,3.0,0.5,2.0,0,1,7,100.0,0,0,0.3,4,1,Midday,5,29,Set2,0,0,0,0.5,0.42857142857142855,Connecticut4,1,3,2,1,1,1,3,0,0,1,2,0,1,2,1,1,2,1.5,2,derived_from_DR,34,0.24819494584837545,0
LS1,6,1,Draw1,,0,0,0,,,A,1,1,0.8333333333333334,combined,0,3,0,0,0.0,0.0,5.0,0,1,7,69.46428571428572,0,0,0.39999999999999997,2,1,Midday,7,8,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1.5,2,derived_from_DR,,0.0,0
LS1,6,1,Draw1,,0,0,0,,,B,2,2,1.0,own,0,0,0,0,0.0,0.0,5.0,0,1,7,77.96428571428571,0,0,0.3,3,1,Midday,7,8,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1.5,2,derived_from_DR,,0.0,0
LS1,6,1,Draw1,,0,0,0,,,B,1,1,0.8333333333333334,combined,0,0,0,0,0.0,0.0,5.0,0,1,7,59.73730158730157,0,0,0.47222222222222215,2,1,Midday,6,8,Set2,0,0,0,0.3333333333333333,0.2857142857142857,Connecticut4,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,1.8,2,derived_from_DR,,0.0,0
LS1,6,1,Draw1,,0,0,0,,,C,2,2,1.0,own,1,0,0,0,0.0,0.0,6.0,0,1,7,100.0,0,0,0.1111111111111111,3,1,Midday,5,8,Set2,1,1,1,0.3333333333333333,0.2857142857142857,Connecticut4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2.25,1,derived_from_DR,,0.0,0
LS1,6,1,Draw1,,0,0,0,,,C,1,1,0.8333333333333334,combined,1,0,0,0,0.0,0.0,5.0,0,1,7,94.83730158730155,0,0,0.2222222222222222,2,1,Midday,5,7,Set2,1,1,1,0.3333333333333333,0.2857142857142857,Connecticut4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2.25,1,derived_from_DR,,0.0,0
LS1,6,1,Draw1,,0,0,0,,,D,2,2,1.0,own,1,0,0,0,0.0,0.0,6.0,0,1,7,95.78095238095237,0,0,0.08333333333333333,3,1,Midday,6,8,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1.8,1,derived_from_DR,,0.0,0
LS1,6,1,Draw1,,0,0,0,,,D,1,1,0.8333333333333334,combined,1,0,0,0,0.0,0.0,5.0,0,1,7,74.13095238095237,0,0,0.16666666666666666,2,1,Midday,5,7,Set2,0,0,0,0.3333333333333333,0.42857142857142855,Connecticut4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2.25,1,derived_from_DR,,0.0,0
LS1,6,1,Draw1,,0,0,0,,,E,2,2,1.0,own,1,0,0,1,0.0,0.0,4.0,0,1,7,92.98809523809523,0,0,0.2333333333333333,3,2,Midday,8,8,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,3,1.2857142857142858,3,derived_from_DR,,0.0,0
LS1,6,1,Draw1,,0,0,0,,,E,1,1,0.8333333333333334,combined,1,0,0,1,0.0,0.0,5.0,0,1,7,56.96428571428571,0,0,0.39999999999999997,4,2,Midday,10,10,Set2,0,0,0,0.25,0.42857142857142855,Connecticut4,1,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,4,1.0,4,derived_from_DR,,0.0,0
