final.canon3,hits,methods,score_sum,sections
224,22,2,2197.24,1
22,18,2,1800.0,1
7,13,4,1300.0,1
337,8,1,768.32,1
77,7,3,700.0,1
2244,4,1,392.8,1
3377,3,1,254.48,1
277,2,1,200.0,1
