area,col,combined.core,combined.first3_step,draw,method,mode.agree_core,mode.len_delta_abs,mode.only_one,mode.time_to3_delta_abs,own.core,own.first3_step,section,set,state
LS1,7,2677,2,Draw1,A,0,4,0,0,23377,2,Midday,Set3,Connecticut4
LS1,7,277,2,Draw1,B,0,2,0,0,23377,2,Midday,Set3,Connecticut4
LS1,7,2677,1,Draw1,C,1,0,0,0,2677,1,Midday,Set3,Connecticut4
LS1,7,277,2,Draw1,D,0,1,0,0,2377,2,Midday,Set3,Connecticut4
LS1,7,2779,4,Draw1,E,1,2,0,1,2779,3,Midday,Set3,Connecticut4
LS1,7,2677,1,Draw1,T,1,2,0,0,2677,1,Midday,Set3,Connecticut4
LS1,6,67,2,Draw1,A,0,3,0,0,337,2,Midday,Set3,Connecticut4
LS1,6,3367,1,Draw1,B,1,0,0,0,3367,1,Midday,Set3,Connecticut4
LS1,6,67,1,Draw1,C,1,0,0,0,67,1,Midday,Set3,Connecticut4
LS1,6,7,2,Draw1,D,0,0,0,0,37,2,Midday,Set3,Connecticut4
LS1,6,379,2,Draw1,E,0,0,0,0,3379,2,Midday,Set3,Connecticut4
LS1,6,67,1,Draw1,T,1,1,0,0,67,1,Midday,Set3,Connecticut4
LS1,5,67,2,Draw1,A,0,3,0,0,337,2,Midday,Set3,Connecticut4
LS1,5,3367,1,Draw1,B,1,0,0,0,3367,1,Midday,Set3,Connecticut4
LS1,5,67,1,Draw1,C,1,0,0,0,67,1,Midday,Set3,Connecticut4
LS1,5,367,1,Draw1,D,1,0,0,0,367,1,Midday,Set3,Connecticut4
LS1,5,379,2,Draw1,E,0,0,0,0,3379,2,Midday,Set3,Connecticut4
LS1,5,567,1,Draw1,T,1,1,0,0,567,1,Midday,Set3,Connecticut4
LS1,7,247,3,Draw1,A,0,3,0,1,2337,4,Midday,Set2,Connecticut4
LS1,7,247,2,Draw1,B,1,1,0,1,247,3,Midday,Set2,Connecticut4
LS1,7,267,1,Draw1,C,1,0,0,0,267,1,Midday,Set2,Connecticut4
LS1,7,27,2,Draw1,D,0,0,0,0,237,2,Midday,Set2,Connecticut4
LS1,7,249,6,Draw1,E,0,1,0,2,279,4,Midday,Set2,Connecticut4
LS1,7,267,1,Draw1,T,1,1,0,0,267,1,Midday,Set2,Connecticut4
LS1,6,467,2,Draw1,A,0,3,0,0,3347,2,Midday,Set2,Connecticut4
LS1,6,47,2,Draw1,B,0,0,0,0,3347,2,Midday,Set2,Connecticut4
LS1,6,67,1,Draw1,C,1,0,0,0,67,1,Midday,Set2,Connecticut4
LS1,6,367,1,Draw1,D,1,0,0,0,367,1,Midday,Set2,Connecticut4
LS1,6,479,4,Draw1,E,1,0,0,1,479,3,Midday,Set2,Connecticut4
LS1,6,567,1,Draw1,T,1,1,0,0,567,1,Midday,Set2,Connecticut4
LS1,5,3347,1,Draw1,A,1,3,0,0,3347,1,Midday,Set2,Connecticut4
LS1,5,3347,1,Draw1,B,1,0,0,0,3347,1,Midday,Set2,Connecticut4
LS1,5,7,1,Draw1,C,1,0,0,0,7,1,Midday,Set2,Connecticut4
LS1,5,37,1,Draw1,D,1,0,0,0,37,1,Midday,Set2,Connecticut4
LS1,5,3347,1,Draw1,E,1,0,0,0,3347,1,Midday,Set2,Connecticut4
LS1,5,47,1,Draw1,T,1,1,0,0,47,1,Midday,Set2,Connecticut4
LS1,7,4667,2,Draw1,A,0,3,0,0,3347,2,Midday,Set1,Connecticut4
LS1,7,47,2,Draw1,B,0,0,0,0,3347,2,Midday,Set1,Connecticut4
LS1,7,667,1,Draw1,C,1,0,0,0,667,1,Midday,Set1,Connecticut4
LS1,7,3667,1,Draw1,D,1,0,0,0,3667,1,Midday,Set1,Connecticut4
LS1,7,479,4,Draw1,E,1,0,0,1,479,3,Midday,Set1,Connecticut4
LS1,7,667,1,Draw1,T,1,1,0,0,667,1,Midday,Set1,Connecticut4
LS1,6,467,2,Draw1,A,0,3,0,0,3347,2,Midday,Set1,Connecticut4
LS1,6,47,2,Draw1,B,0,0,0,0,3347,2,Midday,Set1,Connecticut4
LS1,6,67,1,Draw1,C,1,0,0,0,67,1,Midday,Set1,Connecticut4
LS1,6,367,1,Draw1,D,1,0,0,0,367,1,Midday,Set1,Connecticut4
LS1,6,347,2,Draw1,E,0,0,0,0,3347,2,Midday,Set1,Connecticut4
LS1,6,467,1,Draw1,T,1,1,0,0,467,1,Midday,Set1,Connecticut4
LS1,5,47,2,Draw1,A,0,3,0,2,337,4,Midday,Set1,Connecticut4
LS1,5,337,1,Draw1,B,1,0,0,0,337,1,Midday,Set1,Connecticut4
LS1,5,7,1,Draw1,C,1,0,0,0,7,1,Midday,Set1,Connecticut4
LS1,5,37,1,Draw1,D,1,0,0,0,37,1,Midday,Set1,Connecticut4
LS1,5,337,1,Draw1,E,1,0,0,0,337,1,Midday,Set1,Connecticut4
LS1,5,47,1,Draw1,T,1,1,0,0,47,1,Midday,Set1,Connecticut4
LS1,7,22447,2,Draw1,A,0,0,0,2,22449,4,Evening,Set3,Connecticut4
