triad,vt_triad,support_count,hot_hits,superhot_hits,vertical_hits,set1_hits,col1_hits,precol1_hits,vt_straight_hits,vt_only_lane_hits,guard_hits,literal_hits,variant_span,set_span,column_span,score_mean,score_max,evidence_tags
006,12,14,14,0,4,9,0,2,7,3,0,0,3,3,5,17.171,23.25,"funnel_precol1,hot12,hot16,hot20,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
466,25,19,19,1,1,12,0,0,1,0,0,0,3,3,6,16.805,23.25,"hot12,hot16,hot20,hot4,hot8,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vt_straight"
799,35,15,15,3,4,13,1,1,2,2,0,0,3,2,6,16.073,23.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
788,34,10,10,0,2,8,0,0,1,1,0,0,3,3,4,15.615,23.25,"hot12,hot16,hot20,hot8,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vt_only_lane,vt_straight"
445,15,34,34,12,4,30,3,8,9,4,0,0,3,3,7,15.516,23.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
236,234,25,25,3,3,15,0,3,3,0,0,0,3,3,6,15.466,23.25,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_straight"
178,234,25,25,3,3,15,0,0,3,2,0,0,3,3,6,14.59,23.25,"hot12,hot16,hot20,hot4,hot8,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vt_only_lane,vt_straight"
389,445,20,20,3,2,14,0,1,3,3,0,0,3,3,6,14.29,23.25,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
447,35,29,29,11,4,23,1,3,5,3,0,0,3,3,7,13.84,23.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
223,34,9,9,0,1,3,0,1,0,0,0,0,3,3,5,17.15,22.95,"funnel_precol1,hot16,hot20,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,vertical1"
225,13,10,10,4,2,6,2,3,0,0,0,0,3,3,5,16.5,22.95,"col1,funnel_precol1,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2"
667,23,10,10,2,1,9,1,1,0,0,0,0,3,2,6,16.405,22.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1"
169,225,7,7,0,1,4,0,0,4,4,0,0,2,3,4,19.529,21.85,"hot16,hot20,ls_col_42,set1_bonus,vertical1,vt_only_lane,vt_straight"
116,22,9,9,0,1,4,0,0,5,5,0,0,2,3,4,19.183,21.85,"hot16,hot20,ls_col_42,set1_bonus,vertical1,vt_only_lane,vt_straight"
166,22,9,9,0,1,4,0,0,5,5,0,0,2,3,4,19.183,21.85,"hot16,hot20,ls_col_42,set1_bonus,vertical1,vt_only_lane,vt_straight"
679,235,20,20,2,3,9,1,0,5,4,0,0,3,3,5,17.845,21.85,"col1,hot12,hot16,hot20,hot4,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
124,235,20,20,2,3,9,1,0,5,5,0,0,3,3,5,17.715,21.85,"col1,hot12,hot16,hot20,hot4,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical3,vt_only_lane,vt_straight"
012,123,18,18,4,4,11,1,1,7,7,0,0,3,3,6,17.511,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
369,245,28,28,0,2,16,0,0,7,7,0,0,3,3,5,17.47,21.85,"hot12,hot16,hot20,hot8,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vt_only_lane,vt_straight"
136,224,18,18,0,2,13,0,0,7,7,0,0,3,3,5,17.333,21.85,"hot12,hot16,hot20,hot8,ls_col_42,set1_bonus,vertical1,vertical2,vt_only_lane,vt_straight"
567,123,18,18,4,4,11,1,1,7,7,0,0,3,3,6,17.261,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
046,125,17,17,2,4,10,1,3,7,7,0,0,3,3,7,17.062,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
159,125,17,17,2,4,10,1,3,7,7,0,0,3,3,7,16.926,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
015,112,19,19,6,4,12,1,3,8,5,0,0,3,3,6,16.668,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
056,112,19,19,6,4,12,1,3,8,4,0,0,3,3,6,16.5,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
067,123,12,12,4,4,5,1,1,4,4,0,0,3,3,5,16.462,21.85,"col1,funnel_precol1,hot16,hot20,hot4,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
058,114,26,26,10,4,19,3,8,10,8,0,0,3,3,7,16.248,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
346,245,30,30,1,2,19,0,1,5,5,0,0,3,3,6,15.995,21.85,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
339,45,37,37,1,2,27,0,1,4,4,0,0,3,3,6,15.889,21.85,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
025,113,14,14,6,4,8,1,1,5,5,0,0,3,3,4,15.882,21.85,"col1,funnel_precol1,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
125,123,12,12,4,4,5,1,1,4,4,0,0,3,3,5,15.846,21.85,"col1,funnel_precol1,hot16,hot20,hot4,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
234,345,30,30,5,4,20,1,4,5,2,0,0,3,3,7,15.79,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
235,134,14,14,4,4,11,1,1,5,4,0,0,3,3,6,15.521,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
123,234,17,17,4,4,15,1,1,4,4,0,0,3,3,6,15.426,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
113,24,25,25,6,2,16,0,0,2,1,0,0,3,3,7,15.084,21.85,"hot12,hot16,hot20,hot4,hot8,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
045,115,26,26,10,4,19,1,4,10,9,0,0,3,3,7,15.071,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
035,114,26,26,10,4,19,1,4,10,10,0,0,3,3,7,15.037,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
789,345,30,30,5,4,20,1,1,5,5,0,0,3,3,7,14.86,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
007,13,24,24,12,4,18,1,3,9,8,0,0,3,3,7,14.277,21.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
188,24,11,11,0,3,9,0,1,2,0,0,0,3,3,5,15.95,21.8,"funnel_precol1,hot12,hot16,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vertical3,vt_straight"
356,124,20,20,1,2,10,0,1,7,7,0,0,3,3,6,18.195,21.75,"funnel_precol1,hot12,hot16,hot20,hot8,set1_bonus,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
126,223,7,7,0,1,4,0,0,3,3,0,0,2,3,3,19.336,21.55,"hot16,hot20,set1_bonus,vertical1,vt_only_lane,vt_straight"
016,122,7,7,0,1,3,0,0,3,3,0,0,2,3,3,19.157,21.55,"hot16,hot20,set1_bonus,vertical1,vt_only_lane,vt_straight"
156,122,7,7,0,1,3,0,0,3,3,0,0,2,3,3,19.157,21.55,"hot16,hot20,set1_bonus,vertical1,vt_only_lane,vt_straight"
367,234,15,15,0,1,5,0,0,3,3,0,0,2,3,4,18.9,21.55,"hot16,hot20,set1_bonus,straight_lane,vertical1,vt_only_lane,vt_straight"
467,235,12,12,2,4,6,1,1,3,2,0,0,1,3,6,17.021,21.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
279,335,7,7,0,1,4,0,0,1,0,0,0,2,3,3,16.95,21.55,"hot12,hot16,hot20,ls_col_42,set1_bonus,straight_lane,vertical1,vt_straight"
247,335,7,7,0,1,4,0,0,1,1,0,0,2,3,3,16.907,21.55,"hot12,hot16,hot20,ls_col_42,set1_bonus,vertical1,vt_only_lane,vt_straight"
129,235,12,12,2,4,6,1,1,3,3,0,0,1,3,6,16.896,21.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
155,12,14,14,0,4,9,0,2,7,7,0,0,3,3,5,16.679,21.55,"funnel_precol1,hot12,hot16,hot20,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
566,12,17,17,3,1,6,0,0,4,4,0,0,2,3,6,16.609,21.55,"hot16,hot20,hot4,hot8,set1_bonus,superhot_set1,vertical1,vt_only_lane,vt_straight"
036,124,14,14,0,2,5,0,0,4,4,0,0,3,3,5,16.432,21.55,"hot12,hot16,hot20,hot8,set1_bonus,straight_lane,vertical1,vertical2,vt_only_lane,vt_straight"
099,15,34,34,12,4,30,1,15,9,4,0,0,3,3,7,16.431,21.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
779,35,13,13,0,1,5,0,0,1,1,0,0,3,3,5,16.415,21.55,"hot16,hot20,hot8,ls_col_42,set1_bonus,vertical1,vt_only_lane,vt_straight"
158,124,14,14,0,1,5,0,1,4,4,0,0,3,3,5,16.139,21.55,"funnel_precol1,hot12,hot16,hot20,hot8,ls2_lane,set1_bonus,straight_lane,vertical1,vt_only_lane,vt_straight"
119,25,19,19,1,1,12,0,0,1,1,0,0,3,3,6,15.995,21.55,"hot12,hot16,hot20,hot4,hot8,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vt_only_lane,vt_straight"
299,35,29,29,11,4,23,4,11,5,1,0,0,3,3,7,15.833,21.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
157,123,19,19,6,3,15,0,1,4,4,0,0,3,3,6,15.587,21.55,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
033,14,28,28,4,1,16,0,1,1,1,0,0,3,3,7,15.53,21.55,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vt_only_lane,vt_straight"
038,144,14,14,3,2,11,0,6,3,2,0,0,3,3,5,15.475,21.55,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
026,123,19,19,6,3,15,0,1,4,4,0,0,3,3,6,15.471,21.55,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
233,34,10,10,0,2,8,0,0,1,1,0,0,3,3,4,15.395,21.55,"hot12,hot16,hot20,hot8,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vt_only_lane,vt_straight"
256,123,26,26,10,4,17,3,3,7,6,0,0,3,3,7,14.919,21.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
477,35,16,16,4,1,9,0,0,1,1,0,0,3,3,7,14.875,21.55,"hot16,hot20,hot4,hot8,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vt_only_lane,vt_straight"
177,23,17,17,4,1,9,0,0,1,1,0,0,3,3,7,14.859,21.55,"hot16,hot20,hot4,hot8,ls_col_42,set1_bonus,superhot_set1,vertical1,vt_only_lane,vt_straight"
457,135,29,29,9,4,23,0,2,5,5,0,0,3,3,7,14.26,21.55,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
238,344,14,14,2,2,10,0,0,3,3,0,0,3,3,6,14.182,21.55,"hot12,hot16,hot20,hot8,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
338,44,16,16,3,3,12,0,0,2,2,0,0,3,3,6,13.716,21.55,"hot12,hot16,hot20,hot4,hot8,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
047,135,23,23,12,4,17,1,3,5,5,0,0,3,3,7,13.326,21.55,"col1,funnel_precol1,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
358,144,14,14,3,2,11,0,0,3,3,0,0,3,3,5,13.289,21.55,"hot12,hot16,hot20,hot4,hot8,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
257,133,3,3,0,0,2,0,0,0,0,0,0,1,2,2,18.167,21.25,"hot16,hot20,set1_bonus"
022,13,15,15,4,1,9,2,2,0,0,0,0,3,3,7,15.363,21.25,"col1,funnel_precol1,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1"
