state,analyzer_label,analyzer_json,picked_html,combined_overlap_count,combined_overlap_tokens,combined_hot,combined_superhot,combined_consensus_col1,combined_consensus_col2,combined_stable_columns,combined_mask_drop,combined_reduction_hits,combined_mirror_supported,combined_double_hits,combined_analyzer_top_straights,midday_overlap_count,midday_overlap_tokens,midday_hot,midday_superhot,midday_consensus_col1,midday_consensus_col2,midday_stable_columns,midday_mask_drop,midday_reduction_hits,midday_mirror_supported,midday_double_hits,midday_analyzer_top_straights,evening_overlap_count,evening_overlap_tokens,evening_hot,evening_superhot,evening_consensus_col1,evening_consensus_col2,evening_stable_columns,evening_mask_drop,evening_reduction_hits,evening_mirror_supported,evening_double_hits,evening_analyzer_top_straights
Connecticut4,primary,data/outputs/analysis/vtrac/Connecticut4/Connecticut4_vtrac_enhanced_20260105_053638.json,reports/stable/winners_by_date/2026-01-01/Connecticut4/Connecticut4_vtrac9_winner_109_20260105_053357.html,3,V1x1_2x1_4x1;V1x2_4x1;V4x2_2x1,8,12,0,0,3;2;1,21,164,26,338,093;903;687;683;386;867,2,V1x1_4x1_5x1;V1x2_4x1,8,12,0,0,4;3;2,15,132,18,343,093;903;687;683;386;867,4,V1x2_2x1;V2x2_1x1;V2x3_1x1_5x1;V2x3_5x1,8,12,0,0,4;3;2;1,22,167,25,356,093;903;687;683;386;867
Delaware4,primary,data/outputs/analysis/vtrac/Delaware4/Delaware4_vtrac_enhanced_20260105_053639.json,reports/stable/winners_by_date/2026-01-01/Delaware4/Delaware4_vtrac30_winner_937_20260105_053400.html,2,V2x2_5x2;V2x2_5x2_1x1,8,12,0,0,4;3;2;1,10,192,7,402,194;041;014;401;104;109,1,V1x1_2x1_5x1,8,12,0,0,2;1,17,230,17,469,194;041;014;401;104;109,2,V5x3_2x2;V5x3_2x2_3x1,8,12,0,0,2;1,17,241,12,459,194;041;014;401;104;109
Florida4,primary,data/outputs/analysis/vtrac/Florida4/Florida4_vtrac_enhanced_20260105_053639.json,reports/stable/winners_by_date/2026-01-01/Florida4/Florida4_vtrac22_winner_291_20260105_053403.html,3,V2x2_5x1;V2x4_5x1;V2x4_5x2,8,12,0,0,4;3;2;1,10,23,28,685,138;386;836;683;183;831,2,V4x3_2x2;V4x4_2x2_3x1,8,12,0,0,4;3;2;1,8,29,21,515,138;386;836;683;183;831,0,,8,12,0,0,,12,34,27,581,138;386;836;683;183;831
Indiana4,primary,data/outputs/analysis/vtrac/Indiana4/Indiana4_vtrac_enhanced_20260105_053640.json,reports/stable/winners_by_date/2026-01-01/Indiana4/Indiana4_vtrac15_winner_909_20260105_053406.html,4,V3x2_2x1;V3x2_2x1_4x1;V3x3_2x1_4x1;V3x4_2x2_4x1,8,12,0,0,4;3;2;1,17,174,21,573,267;762;506;687;367;637,1,V2x2_3x1_4x1,8,12,0,0,1,17,196,18,691,267;762;506;687;386;683,4,V1x4_2x4_5x2;V2x2_5x2;V2x3_5x2_1x1;V2x4_1x3_5x2,8,12,0,0,6;5;4;3;2;1,12,178,10,510,506;687;386;683;836;367
Michigan4,primary,data/outputs/analysis/vtrac/Michigan4/Michigan4_vtrac_enhanced_20260105_053641.json,reports/stable/winners_by_date/2026-01-01/Michigan4/Michigan4_vtrac12_winner_204_20260105_053408.html,4,V1x1_2x1_5x1;V1x2_2x1;V2x1_4x1_5x1;V2x2_5x2_4x1,8,12,0,0,4;3;2;1,24,238,25,397,605;506;625;568;865;685,2,V1x1_2x1_4x1;V1x2_2x1,8,12,0,0,2;1,20,209,23,346,605;506;625;568;865;685,4,V1x2_2x2_4x2;V1x2_4x2_2x1;V2x3_4x3_1x2;V4x4_2x3_1x2,8,12,0,0,5;4;3;2;1,15,197,15,282,605;506;625;568;865;685
NewJersey4,primary,data/outputs/analysis/vtrac/NewJersey4/NewJersey4_vtrac_enhanced_20260105_053642.json,reports/stable/winners_by_date/2026-01-01/NewJersey4/NewJersey4_vtrac5_winner_504_20260105_053411.html,3,V3x3_5x2_4x1;V3x3_5x3_4x2;V3x4_5x4_4x2,8,12,0,0,5;4;3;2;1,12,133,4,641,924;982;248;847;824;487,3,V2x1_3x1_4x1;V2x2_3x2_4x1;V2x3_3x2_4x1,8,12,0,0,4;3;2;1,5,123,7,366,281;182;287;732;218;832,3,V3x2_4x2_5x2;V3x2_5x2;V3x2_5x2_4x1,8,12,0,0,4;3;2;1,13,169,7,824,924;982;248;847;824;487
NewYork4,primary,data/outputs/analysis/vtrac/NewYork4/NewYork4_vtrac_enhanced_20260105_053642.json,reports/stable/winners_by_date/2026-01-01/NewYork4/NewYork4_vtrac22_winner_174_20260105_053413.html,2,V2x2_3x2_4x1;V3x2_2x1_4x1,8,12,0,0,2;1,16,173,12,408,847;487;784;687;798;987,3,V1x1_2x1_3x1;V2x2_1x1_3x1;V2x3_3x2_1x1,8,12,0,0,4;3;2;1,17,193,14,448,847;487;784;687;798;987,3,V3x2_4x1_5x1;V3x3_4x1_5x1;V3x3_5x2_4x1,8,12,0,0,4;3;2;1,22,222,21,465,847;487;784;687;798;987
NorthCarolina4,primary,data/outputs/analysis/vtrac/NorthCarolina4/NorthCarolina4_vtrac_enhanced_20260105_053643.json,reports/stable/winners_by_date/2026-01-01/NorthCarolina4/NorthCarolina4_vtrac4_winner_053_20260105_053415.html,0,,8,12,0,0,,18,91,20,807,034;240;053;032;085;093,0,,8,12,0,0,,14,85,15,762,034;240;053;032;085;093,4,V1x3;V1x4;V1x4_3x1;V1x4_3x1_4x1,8,12,0,0,4;3;2;1,21,104,23,764,034;240;053;032;085;093
Ohio4,primary,data/outputs/analysis/vtrac/Ohio4/Ohio4_vtrac_enhanced_20260105_053644.json,reports/stable/winners_by_date/2026-01-01/Ohio4/Ohio4_vtrac19_winner_416_20260105_053418.html,3,V1x3;V1x3_2x1;V1x3_2x1_3x1,8,12,0,0,4;3;2;1,15,130,20,424,506;906;605;065;940;609,3,V1x2_3x1;V1x2_3x2;V1x3_3x2_5x2,8,12,0,0,5;4;3;2;1,12,108,14,330,506;906;605;065;940;609,1,V1x1_2x1_4x1,8,12,0,0,1,14,120,17,361,506;906;605;065;940;609
OntarioCanada4,primary,data/outputs/analysis/vtrac/OntarioCanada4/OntarioCanada4_vtrac_enhanced_20260105_053645.json,reports/stable/winners_by_date/2026-01-01/OntarioCanada4/OntarioCanada4_vtrac9_winner_546_20260105_053420.html,2,V1x2_4x1;V1x2_4x2_2x1,8,12,0,0,3;2;1,19,124,28,680,183;813;924;817;841;718,4,V3x2_1x1;V3x2_2x1_4x1;V3x2_4x1;V4x3_2x2_3x2,8,12,0,0,5;4;3;2;1,18,127,18,538,183;813;924;817;841;718,2,V2x2_4x2_5x1;V2x2_4x2_5x2,8,12,0,0,4;3;2;1,18,130,22,593,183;813;924;817;841;718
