date,state,section,overlap,stable_cols_count,stable_cols,consensus_col1,consensus_col2,cross_section_echo,hot_count,superhot_count,mask_drop,mirror_supported,double_hits,confidence_score,tier,flags,top_tokens,recommended_tokens,top_straights,section_prior,state_prior,why,source
,NewJersey4,Midday,3,4,"[4,3,2,1]",false,false,0,8,12,5,true,366,19.716,B+,[],"[""V2x1_3x1_4x1"",""V2x3_3x2_4x1"",""V2x2_3x2_4x1""]","[""V2x1_3x1_4x1"",""V2x2_3x2_4x1"",""V2x3_3x2_4x1""]","[""281"",""182"",""287""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,NewJersey4,Evening,3,4,"[4,3,2,1]",false,false,0,8,12,13,true,824,20.916,B+,[],"[""V3x2_5x2_4x1"",""V3x2_4x2_5x2"",""V3x2_5x2""]","[""V3x2_4x2_5x2"",""V3x2_5x2"",""V3x2_5x2_4x1""]","[""924"",""982"",""248""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,NewJersey4,Combined,3,5,"[5,4,3,2,1]",false,false,0,8,12,12,true,641,25.721,B+,[],"[""V3x3_5x3_4x2"",""V3x4_5x4_4x2"",""V3x3_5x2_4x1""]","[""V3x3_5x2_4x1"",""V3x3_5x3_4x2"",""V3x4_5x4_4x2""]","[""924"",""982"",""248""]",1.15,1.0,overlap=1.386*1.00->1.39; stable=8.000*1.90->15.20; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.875*0.80->0.70; mirror=1.000*0.60->0.60; doubles=0.600*0.40->0.24; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,NewYork4,Midday,3,4,"[4,3,2,1]",false,false,0,8,12,17,true,448,20.13,B+,[],"[""V1x1_2x1_3x1"",""V2x3_3x2_1x1"",""V2x2_1x1_3x1""]","[""V1x1_2x1_3x1"",""V2x2_1x1_3x1"",""V2x3_3x2_1x1""]","[""847"",""487"",""784""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.167*0.80->0.13; mirror=1.000*0.60->0.60; doubles=0.702*0.40->0.28; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,NewYork4,Evening,3,4,"[4,3,2,1]",false,false,0,8,12,22,true,465,20.916,B+,[],"[""V3x2_4x1_5x1"",""V3x3_5x2_4x1"",""V3x3_4x1_5x1""]","[""V3x2_4x1_5x1"",""V3x3_4x1_5x1"",""V3x3_5x2_4x1""]","[""847"",""487"",""784""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,NewYork4,Combined,2,2,"[2,1]",false,false,0,8,12,16,true,408,16.443,B,[],"[""V2x2_3x2_4x1"",""V3x2_2x1_4x1""]","[""V3x2_2x1_4x1"",""V2x2_3x2_4x1""]","[""847"",""487"",""784""]",1.15,1.0,overlap=1.099*1.00->1.10; stable=4.400*1.90->8.36; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,NorthCarolina4,Midday,0,0,[],false,false,0,8,12,14,true,762,4.8,Z,"[""zero_overlap""]",[],[],"[""034"",""240"",""053""]",1.0,1.0,hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; vt_only=2.000*1.00->2.00; straight_lane=1.500*0.80->1.20; section_prior=1.00,validation_report.json
,NorthCarolina4,Evening,4,4,"[4,3,2,1]",false,false,0,8,12,21,true,764,20.757,A,[],"[""V1x4_3x1_4x1"",""V1x4_3x1"",""V1x4"",""V1x3""]","[""V1x3"",""V1x4"",""V1x4_3x1""]","[""034"",""240"",""053""]",1.0,1.0,overlap=1.609*1.00->1.61; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=0.044*0.40->0.02; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,NorthCarolina4,Combined,0,0,[],false,false,0,8,12,18,true,807,6.506,Z,"[""zero_overlap""]",[],[],"[""034"",""240"",""053""]",1.15,1.0,hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.571*0.80->0.46; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; vt_only=2.000*1.00->2.00; straight_lane=1.500*0.80->1.20; section_prior=1.15,validation_report.json
,Ohio4,Midday,3,5,"[5,4,3,2,1]",false,false,0,8,12,12,true,330,21.426,B+,[],"[""V1x2_3x1"",""V1x3_3x2_5x2"",""V1x2_3x2""]","[""V1x2_3x1"",""V1x2_3x2"",""V1x3_3x2_5x2""]","[""506"",""906"",""605""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=8.000*1.90->15.20; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
