section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why,family_id,is_exact_straight
Combined,Set2,Draw1,6,13889,straight,10.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,19883,1.0,straight|cov1|span2|mirror,24,False
Combined,Set1,Draw3,4,34699,straight,10.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,99634,1.0,straight|cov1|span2|mirror,24,False
Combined,Set1,Draw3,3,3699,boxed,10.0,"R4,R8",False,False,False,False,False,False,False,False,False,1,2.0,0.0,2.0,9963,1.0,boxed|cov2|span2|hot1|perm2,24,False
Combined,Set1,Draw3,3,3469,straight,10.0,R4,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,9634,1.0,straight|cov1|span2|mirror|hot1,24,False
Combined,Set1,Draw4,3,344699,straight,10.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,996344,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw5,3,33468,boxed,10.0,"R2,R4",True,False,False,False,False,False,False,False,False,0,2.0,0.0,1.0,43386,1.0,boxed|cov2|mirror|perm2,24,False
Combined,Set1,Draw5,3,33689,boxed,10.0,"R4,R8",True,False,False,False,False,False,False,False,False,0,2.0,0.0,1.0,96833,1.0,boxed|cov2|mirror|perm2,24,False
Combined,Set1,Draw5,3,334689,straight,10.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,968334,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw6,2,33468,boxed,10.0,"R2,R4",True,False,False,False,False,False,False,False,False,0,2.0,0.0,1.0,43386,1.0,boxed|cov2|mirror|perm2,24,False
Combined,Set1,Draw6,2,33689,boxed,10.0,"R4,R8",True,False,False,False,False,False,False,False,False,0,2.0,0.0,1.0,96833,1.0,boxed|cov2|mirror|perm2,24,False
Combined,Set1,Draw6,2,334689,straight,10.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,968334,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw7,1,33468,boxed,10.0,"R2,R4",True,False,False,False,False,False,False,False,False,0,2.0,0.0,1.0,43386,1.0,boxed|cov2|mirror|perm2,24,False
Combined,Set1,Draw7,1,33689,boxed,10.0,"R4,R8",True,False,False,False,False,False,False,False,False,0,2.0,0.0,1.0,96833,1.0,boxed|cov2|mirror|perm2,24,False
Combined,Set1,Draw7,1,334689,straight,10.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,968334,1.0,straight|cov1|mirror,24,False
Combined,Set3,Draw1,5,0358,straight,10.0,R2,True,False,False,False,False,False,False,False,False,0,1.0,0.0,3.0,5038,1.0,straight|cov1|span3|mirror,4,False
Combined,Set3,Draw1,7,34688,straight,10.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,68834,1.0,straight|cov1|span2|mirror,24,False
Combined,Set3,Draw1,7,0355,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,3.0,0553,1.0,straight|cov1|span3|mirror,4,False
Combined,Set3,Draw1,6,0355,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,3.0,0553,1.0,straight|cov1|span3|mirror,4,False
Combined,Set1,Draw1,5,0035,straight,10.0,R6,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,0053,1.0,straight|cov1|span2|mirror|hot1,4,False
Combined,Set1,Draw2,6,00335,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,00533,1.0,straight|cov1|span2|mirror,4,False
Combined,Set1,Draw2,5,00335,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,00533,1.0,straight|cov1|span2|mirror,4,False
Combined,Set3,Draw1,7,1389,straight,9.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,1983,1.0,straight|cov1|span2|mirror,24,False
Combined,Set3,Draw1,6,1389,straight,9.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,1983,1.0,straight|cov1|span2|mirror,24,False
Combined,Set2,Draw1,7,13889,straight,9.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,19883,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw2,6,3446,boxed,9.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,4436,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw2,5,3446,boxed,9.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,4436,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw2,6,3699,boxed,9.0,"R4,R8",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,9963,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw2,6,3469,straight,9.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,9634,1.0,straight|cov1|span2|mirror,24,False
Combined,Set1,Draw2,5,3699,boxed,9.0,"R4,R8",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,9963,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw2,5,3469,straight,9.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,9634,1.0,straight|cov1|span2|mirror,24,False
Combined,Set1,Draw4,3,6899,boxed,9.0,"R4,R8",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,9968,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw5,2,689,straight,9.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,2.0,968,1.0,straight|cov1|span2|hot2,24,False
Combined,Set1,Draw6,2,3468,boxed,9.0,"R2,R4",True,False,False,False,False,False,False,False,False,0,2.0,0.0,1.0,4386,1.0,boxed|cov2|mirror|perm2,24,False
Combined,Set1,Draw6,1,346,boxed,9.0,"R2,R4",False,False,False,False,False,False,False,False,False,1,2.0,0.0,1.0,436,1.0,boxed|cov2|hot1|perm2,24,False
Combined,Set1,Draw6,2,3689,boxed,9.0,"R4,R8",True,False,False,False,False,False,False,False,False,0,2.0,0.0,1.0,9683,1.0,boxed|cov2|mirror|perm2,24,False
Combined,Set1,Draw6,1,369,boxed,9.0,"R4,R8",False,False,False,False,False,False,False,False,False,1,2.0,0.0,1.0,963,1.0,boxed|cov2|hot1|perm2,24,False
Combined,Set3,Draw1,7,11389,straight,9.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,11983,1.0,straight|cov1|mirror,24,False
Combined,Set2,Draw1,7,189,straight,9.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,4.0,198,1.0,straight|cov1|span4,24,False
Combined,Set2,Draw1,6,189,straight,9.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,4.0,198,1.0,straight|cov1|span4,24,False
Combined,Set1,Draw1,5,148,boxed,9.0,"R2,R4",False,False,False,False,False,False,False,False,False,1,2.0,0.0,2.0,418,1.0,boxed|cov2|span2|hot1|perm2,24,False
Combined,Set1,Draw1,7,34688,straight,9.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,68834,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw1,6,4689,boxed,9.0,"R4,R8",True,False,False,False,False,False,False,False,False,0,2.0,0.0,1.0,9684,1.0,boxed|cov2|mirror|perm2,24,False
Combined,Set1,Draw1,7,13889,straight,9.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,19883,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw1,5,189,straight,9.0,R8,False,False,False,False,False,False,False,False,False,1,1.0,0.0,3.0,198,1.0,straight|cov1|span3|hot1,24,False
Combined,Set1,Draw3,3,346,boxed,9.0,"R2,R4",False,False,False,False,False,False,False,False,False,1,2.0,0.0,2.0,436,1.0,boxed|cov2|span2|hot1|perm2,24,False
Combined,Set1,Draw3,4,3699,boxed,9.0,"R4,R8",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,9963,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw3,4,3469,straight,9.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,9634,1.0,straight|cov1|span2|mirror,24,False
Combined,Set1,Draw3,3,369,boxed,9.0,"R4,R8",False,False,False,False,False,False,False,False,False,1,2.0,0.0,2.0,963,1.0,boxed|cov2|span2|hot1|perm2,24,False
Combined,Set1,Draw3,5,36899,straight,9.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,99836,1.0,straight|cov1|mirror,24,False
